onset	duration	stim	cond	RT	resp	cresp	acc
4.051	0.666656449	ESTEEM	lure	n/a	n/a	n/a	1
4.717	0.483331285	SPIDER	lure	n/a	n/a	n/a	1
5.201	0.4499873	RESEARCHER	lure	n/a	n/a	n/a	1
5.651	0.449997286	ARCHERY	lure	n/a	n/a	n/a	1
6.101	0.416659995	CONTENTION	lure	n/a	n/a	n/a	1
6.517	0.604764754	BOARDWALK	lure	n/a	n/a	n/a	1
7.122	0.578552074	RESPIRATOR	lure	n/a	n/a	n/a	1
7.701	0.566657719	GELATIN	lure	n/a	n/a	n/a	1
8.267	2.016641947	ENGINE	long	n/a	n/a	n/a	1
10.284	0.483323686	POSTULATE	lure	n/a	n/a	n/a	1
10.767	0.483324859	WOE	lure	n/a	n/a	n/a	1
11.251	0.716660101	GUNPLAY	lure	n/a	n/a	n/a	1
11.967	0.666693594	CURATOR	lure	n/a	n/a	n/a	1
12.634	0.566621637	PENCE	lure	n/a	n/a	n/a	1
13.201	0.749991231	POTHOLE	lure	n/a	n/a	n/a	1
13.951	0.499986487	ARITHMETIC	lure	n/a	n/a	n/a	1
14.451	0.399998658	GNAT	lure	n/a	n/a	n/a	1
14.851	0.583326553	TRADESMAN	lure	n/a	n/a	n/a	1
15.434	0.399990247	SLED	lure	n/a	n/a	n/a	1
15.834	0.549995473	CRIER	lure	n/a	n/a	n/a	1
16.384	2.01663807	CHISEL	long	n/a	n/a	n/a	1
18.401	0.616657866	SUMMATION	lure	n/a	n/a	n/a	1
19.017	0.516657299	WAISTBAND	lure	n/a	n/a	n/a	1
19.534	0.583325676	RAILHEAD	lure	n/a	n/a	n/a	1
20.117	0.66665754	JUDGESHIP	lure	n/a	n/a	n/a	1
20.784	0.616658792	GOATSKIN	lure	n/a	n/a	n/a	1
21.4	0.534929876	WOOD	lure	n/a	n/a	n/a	1
21.935	0.54839234	MOMMA	lure	n/a	n/a	n/a	1
22.484	0.549987521	ATTENDANCE	lure	n/a	n/a	n/a	1
23.034	0.583326769	YOUTH	lure	n/a	n/a	n/a	1
23.617	0.716653133	PENTAGRAM	lure	n/a	n/a	n/a	1
24.334	0.449998735	INADEQUACY	lure	n/a	n/a	n/a	1
24.784	0.616660723	ATLAS	short	n/a	n/a	n/a	1
