onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.038	11	MIST	practice	1	1067	0	n/a	2345	n/a	24,13,12,27
26.018	11	BATON	lure	1	1700	0	n/a	2345	n/a	73,09,25,24
46.001	11	JOURNAL	omit	3	485	1	2	2	1691	15,73,40,45
66.005	11	ENGINE	long	4	485	1	5	5	1595	17,58,53,56
86.001	11	COMPASS	short	4	493	1	4	4	1083	25,67,05,49
106.003	11	LEVER	lure	1	958	0	n/a	2345	n/a	40,17,81,09
126.002	11	SPEAR	lure	1	902	1	2	2345	1820	05,58,47,32
146.003	11	PEBBLE	lure	1	710	1	4	2345	956	12,17,78,24
166.003	11	ATLAS	short	5	590	1	4	4	1005	56,45,12,73
185.999	11	TARGET	omit	5	543	1	4	4	1213	33,56,09,67
205.999	11	LEAD	long	2	783	0	5	4	1861	24,40,58,81
225.999	11	EXIT	lure	1	808	1	4	2345	926	23,17,12,60
245.998	11	PELLET	lure	1	840	1	2	2345	1150	05,81,25,33
266	11	PYRAMID	short	4	536	0	3	2	1838	17,38,27,67
285.999	11	RIDGE	long	4	520	1	2	2	1286	49,73,27,82
305.998	11	CINDER	omit	4	569	1	4	4	829	12,67,47,05
326	11	OUTLET	lure	1	697	1	2	2345	1159	65,15,27,12
345.999	11	CHAIN	lure	2	569	1	5	2345	2511	13,06,82,17
365.996	11	CHROME	short	5	553	1	4	4	1480	78,23,82,58
385.996	11	RAKE	omit	5	610	1	5	5	1144	13,67,49,78
405.998	11	PARADE	long	4	626	1	3	3	1664	15,53,56,45
425.996	11	STATUE	lure	1	658	1	2	2345	1384	45,06,38,56
445.995	11	ROPE	short	3	563	1	2	2	1441	14,73,81,13
465.995	11	DENT	lure	1	731	1	4	2345	1041	06,25,82,49
485.995	11	STEEL	omit	5	555	1	2	2	1073	06,33,56,14
505.995	11	SACK	long	5	611	1	2	2	1130	33,25,13,56
525.994	11	DIAL	lure	1	1556	1	4	2345	714	27,53,65,24
545.994	11	BASIN	long	3	676	1	2	2	954	67,40,81,12
565.994	11	BADGE	omit	3	860	1	5	5	1498	65,09,05,60
585.993	11	JAIL	short	5	677	1	5	5	1275	73,09,06,65
605.993	11	NOVEL	lure	1	813	1	2	2345	1107	15,40,53,24
625.976	11	APRON	omit	5	542	1	4	4	1356	12,40,13,78
645.993	11	SAND	short	2	670	1	2	2	1428	45,82,65,38
665.976	11	WALLET	lure	1	1030	1	4	2345	949	25,67,65,09
685.975	11	RATTLE	long	2	887	1	3	3	2317	78,81,23,45
705.975	11	BUCKET	lure	1	815	1	2	2345	1117	47,40,14,67
725.975	11	BRIDGE	short	3	543	0	2	3	2157	33,23,38,56
745.975	11	CORD	omit	4	832	1	5	5	1230	58,65,32,40
765.974	11	TAPE	lure	1	1072	1	2	2345	1430	17,60,82,06
785.974	11	CHART	lure	1	896	1	2	2345	1398	56,33,09,82
805.974	11	BOAT	long	4	504	1	5	5	1695	33,15,14,32
825.973	11	SAWDUST	omit	5	753	1	5	5	1103	47,60,58,38
845.99	11	AXLE	lure	1	872	1	2	2345	1278	06,38,47,81
865.973	11	CABLE	long	3	617	1	3	3	2383	49,39,45,38
885.972	11	STAR	lure	1	818	1	2	2345	1296	45,14,67,49
905.972	11	PATCH	short	4	1170	1	5	5	1184	78,53,45,73
925.972	11	PANEL	short	4	690	1	5	5	1552	06,78,58,25
945.972	11	CHISEL	long	3	802	1	4	4	1272	67,81,24,32
965.972	11	FLAG	omit	5	539	1	2	2	1337	27,23,81,78
985.975	11	PIPE	lure	1	691	1	4	2345	985	24,58,27,06
1005.971	11	ASHES	lure	1	507	1	2	2345	1673	58,47,05,40
