onset	duration	cond	RT	resp	cresp	acc
4.981	0.917	car	n/a	n/a	n/a	1
5.998	0.917	car	n/a	n/a	n/a	1
7.014	0.917	car	584	2	2	1
7.998	0.917	car	n/a	n/a	n/a	1
8.998	0.917	car	n/a	n/a	n/a	1
9.998	0.917	car	472	2	2	1
10.998	0.9	car	n/a	n/a	n/a	1
11.998	0.917	car	576	2	2	1
13.014	0.917	car	n/a	n/a	n/a	1
14.014	0.917	car	480	2	2	1
14.998	0.917	car	n/a	n/a	n/a	1
15.998	0.917	car	409	2	2	1
17.014	0.917	car	n/a	n/a	n/a	1
18.014	0.918	car	360	2	2	1
18.997	0.9	car	n/a	n/a	n/a	1
19.997	0.917	car	n/a	n/a	n/a	1
31.047	0.917	scene	n/a	n/a	n/a	1
31.997	0.917	scene	673	2	2	1
33.014	0.9	scene	n/a	n/a	n/a	1
33.997	0.917	scene	361	2	2	1
35.014	0.917	scene	n/a	n/a	n/a	1
36.014	0.917	scene	376	2	2	1
36.997	0.917	scene	n/a	n/a	n/a	1
38.014	0.917	scene	432	2	n/a	0
39.014	0.917	scene	n/a	n/a	n/a	1
40.014	0.917	scene	416	2	2	1
40.997	0.917	scene	n/a	n/a	n/a	1
42.014	0.917	scene	n/a	n/a	n/a	1
43.014	0.917	scene	600	2	2	1
43.997	0.917	scene	n/a	n/a	n/a	1
45.014	0.917	scene	n/a	n/a	n/a	1
46.014	0.917	scene	448	2	2	1
57.084	0.913	word	n/a	n/a	n/a	1
58.03	0.917	word	464	2	2	1
58.997	0.9	word	n/a	n/a	n/a	1
59.997	0.917	word	n/a	n/a	n/a	1
60.997	0.917	word	513	2	2	1
61.98	0.917	word	n/a	n/a	n/a	1
62.997	0.9	word	n/a	n/a	n/a	1
63.997	0.917	word	417	2	2	1
65.014	0.917	word	n/a	n/a	n/a	1
66.013	0.917	word	505	2	2	1
67.013	0.917	word	n/a	n/a	n/a	1
68.013	0.9	word	n/a	n/a	n/a	1
68.997	0.917	word	713	2	2	1
69.997	0.917	word	n/a	n/a	n/a	1
70.997	0.917	word	505	2	2	1
72.013	0.9	word	n/a	n/a	n/a	1
83.063	0.917	face	n/a	n/a	n/a	1
84.03	0.917	face	n/a	n/a	n/a	1
85.013	0.919	face	521	2	2	1
85.997	0.917	face	n/a	n/a	n/a	1
86.997	0.917	face	n/a	n/a	n/a	1
88.013	0.917	face	401	2	2	1
88.997	0.9	face	n/a	n/a	n/a	1
90.013	0.917	face	465	2	2	1
91.013	0.917	face	n/a	n/a	n/a	1
92.013	0.9	face	n/a	n/a	n/a	1
93.013	0.917	face	537	2	2	1
94.013	0.917	face	n/a	n/a	n/a	1
95.013	0.917	face	505	2	2	1
96.013	0.9	face	n/a	n/a	n/a	1
97.013	0.917	face	481	2	2	1
98.013	0.917	face	n/a	n/a	n/a	1
109.063	0.9	scene	n/a	n/a	n/a	1
109.996	0.917	scene	n/a	n/a	n/a	1
110.996	0.9	scene	450	2	2	1
112.013	0.917	scene	n/a	n/a	n/a	1
113.013	0.917	scene	417	2	2	1
114.013	0.9	scene	n/a	n/a	n/a	1
115.014	0.915	scene	424	2	2	1
116.013	0.9	scene	n/a	n/a	n/a	1
117.013	0.917	scene	505	2	n/a	0
118.013	0.917	scene	n/a	n/a	n/a	1
119.013	0.917	scene	385	2	2	1
120.013	0.9	scene	n/a	n/a	n/a	1
121.013	0.917	scene	489	2	2	1
122.013	0.9	scene	n/a	n/a	n/a	1
123.013	0.917	scene	410	2	2	1
124.013	0.917	scene	n/a	n/a	n/a	1
135.079	0.917	car	n/a	n/a	n/a	1
136.029	0.917	car	n/a	n/a	n/a	1
137.012	0.9	car	n/a	n/a	n/a	1
138.015	0.915	car	528	2	2	1
139.012	0.917	car	n/a	n/a	n/a	1
140.012	0.917	car	n/a	n/a	n/a	1
