onset	duration	stim	cond	resp	acc	RT
4.044	0.413	GUMDROP	lure	NR	1	NR
4.461	0.594	WASHOUT	lure	NR	1	NR
5.061	0.485	SIDEBOARD	lure	NR	1	NR
5.561	0.438	HAWKER	lure	NR	1	NR
6.011	0.502	VERANDA	lure	NR	1	NR
6.594	2.001	DEPOT	long	NR	1	NR
8.611	0.499	HARLOT	lure	NR	1	NR
9.128	0.486	INDIGENCE	lure	NR	1	NR
9.628	0.43	HEADLINE	lure	NR	1	NR
10.061	0.627	FOWLER	lure	NR	1	NR
10.694	0.371	ZEST	lure	NR	1	NR
11.078	0.43	OKRA	lure	NR	1	NR
11.511	0.488	VISA	lure	NR	1	NR
12.011	0.502	SKETCHPAD	lure	NR	1	NR
12.527	0.602	CLOAK	short	NR	1	NR
13.144	0.6	CUTTER	lure	NR	1	NR
13.761	0.746	KRAUT	lure	NR	1	NR
14.511	0.682	EARPIECE	lure	NR	1	NR
15.211	0.535	HYPERBOLA	lure	NR	1	NR
15.761	0.672	OIL	lure	NR	1	NR
16.444	0.458	MERMAID	lure	NR	1	NR
16.911	0.739	CUPFUL	lure	NR	1	NR
17.662	0.337	COMMANDER	lure	NR	1	NR
18.011	0.501	HANDBALL	lure	NR	1	NR
18.527	1.001	GRAPE	fruit	detect	1	621
19.611	0.676	VALIDITY	lure	NR	1	NR
20.294	0.515	STRAIT	lure	NR	1	NR
20.827	0.73	COP	lure	NR	1	NR
21.561	0.591	PILGRIM	lure	NR	1	NR
22.161	0.583	MILLENNIA	lure	NR	1	NR
22.761	0.674	ARCHBISHOP	lure	NR	1	NR
23.444	0.423	DRAPERY	lure	NR	1	NR
23.878	0.457	PROPENSITY	lure	NR	1	NR
24.348	0.377	INCLINE	lure	NR	1	NR
24.744	0.337	AMAZEMENT	lure	NR	1	NR
25.094	0.383	VIGILANCE	lure	NR	1	NR
25.494	0.505	UNIFORMITY	lure	NR	1	NR
26.011	0.501	ANIMATION	lure	NR	1	NR
26.527	2.002	NOTE	long	NR	1	NR
28.544	0.617	LANDROVER	lure	NR	1	NR
29.177	0.364	DELEGATION	lure	NR	1	NR
29.561	0.338	STYLIST	lure	NR	1	NR
29.911	0.696	DEMOTION	lure	NR	1	NR
30.611	0.49	CUCUMBER	lure	NR	1	NR
31.111	0.744	APOSTLE	lure	NR	1	NR
31.944	0.54	GALLERY	lure	NR	1	NR
32.494	0.36	TONIC	lure	NR	1	NR
32.861	0.519	PERSONAGE	lure	NR	1	NR
33.394	0.44	VALENTINE	lure	NR	1	NR
33.844	0.154	HEYDAY	lure	NR	1	NR
34.011	0.501	MORALE	lure	NR	1	NR
34.527	1.002	ELDERBERRY	fruit	NR	0	NR
35.544	0.531	COWARDICE	lure	NR	1	NR
36.094	0.438	BUGABOO	lure	NR	1	NR
36.544	0.306	ALLOCATION	lure	NR	1	NR
36.861	0.448	INTRUDER	lure	NR	1	NR
37.327	0.411	WOODCUT	lure	NR	1	NR
37.744	0.46	NUTMEG	lure	NR	1	NR
38.21	0.718	DEFROSTER	lure	NR	1	NR
38.944	0.508	IMPUDENCE	lure	NR	1	NR
39.46	0.673	CHAPTER	lure	NR	1	NR
40.144	0.629	LATECOMER	lure	NR	1	NR
40.777	0.643	ECTOPLASM	lure	NR	1	NR
41.427	0.55	GRASSLAND	lure	NR	1	NR
41.994	0.34	HEATHER	lure	NR	1	NR
42.427	0.506	CAFFEINE	lure	NR	1	NR
42.944	0.646	ENDEARMENT	lure	NR	1	NR
43.594	0.405	STRENGTH	lure	NR	1	NR
44.01	0.502	MAGNITUDE	lure	NR	1	NR
44.527	2.003	SHELL	long	NR	1	NR
46.544	0.393	SOLOIST	lure	NR	1	NR
46.944	0.527	PERCUSSION	lure	NR	1	NR
47.477	0.593	CHILDREN	lure	NR	1	NR
48.077	0.604	SLANDERER	lure	NR	1	NR
48.694	0.417	VINE	lure	NR	1	NR
49.127	0.571	SWEETHEART	lure	NR	1	NR
49.711	0.39	INFAMY	lure	NR	1	NR
50.112	0.606	DOORWAY	lure	NR	1	NR
50.731	0.306	WINTERTIME	lure	NR	1	NR
51.044	0.565	ABDOMEN	lure	NR	1	NR
51.627	0.42	POLLUTANT	lure	NR	1	NR
52.06	0.676	RESENTMENT	lure	NR	1	NR
52.744	0.681	DISRESPECT	lure	NR	1	NR
53.444	0.555	GRADIENT	lure	NR	1	NR
54.012	0.501	WHOOP	lure	NR	1	NR
54.61	0.601	COAST	short	NR	1	NR
55.227	0.656	LOOKUP	lure	NR	1	NR
55.894	0.575	DEADWOOD	lure	NR	1	NR
56.477	0.751	WART	lure	NR	1	NR
57.244	0.438	SEGMENT	lure	NR	1	NR
57.694	0.324	INSURANCE	lure	NR	1	NR
58.027	0.65	VOLCANO	lure	NR	1	NR
58.694	0.536	POSSE	lure	NR	1	NR
59.244	0.448	ARCHETYPE	lure	NR	1	NR
59.71	0.46	LATTICE	lure	NR	1	NR
60.177	0.573	MALT	lure	NR	1	NR
60.76	0.536	POLICEMAN	lure	NR	1	NR
61.31	0.634	WINE	lure	NR	1	NR
61.96	0.039	BRONCO	lure	NR	1	NR
62.01	0.502	SPEEDUP	lure	NR	1	NR
62.527	0.602	ANCHOR	short	NR	1	NR
63.143	0.49	ILLITERACY	lure	NR	1	NR
63.643	0.366	FILAMENT	lure	NR	1	NR
64.027	0.717	BRAILLE	lure	NR	1	NR
64.76	0.473	OCCURRENCE	lure	NR	1	NR
65.31	0.337	FIREPLACE	lure	NR	1	NR
65.66	0.536	DUCKBILL	lure	NR	1	NR
66.21	0.547	ANGEL	lure	NR	1	NR
66.76	0.458	STUPIDITY	lure	NR	1	NR
67.227	0.337	CORNBREAD	lure	NR	1	NR
67.577	0.488	WOODSHED	lure	NR	1	NR
68.077	0.343	THEOLOGIAN	lure	NR	1	NR
68.427	0.409	GRANDAD	lure	NR	1	NR
68.843	0.345	PERIODICAL	lure	NR	1	NR
69.193	0.805	TERRY	lure	NR	1	NR
