onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.033	11	MIST	warmup	n/a	-1000	1	3	0	1894	05,13,18,49
26.615	11	PHONE	long	3	992	1	4	3	1655	24,58,02,16
47.013	11	EARTHQUAKE	lure	1	1649	1	3	0	1791	43,24,25,54
67.013	11	COAST	short	3	985	1	2	1	1422	24,25,17,40
87.013	11	SKETCH	lure	1	2537	1	2	0	1468	13,52,12,78
107.014	11	EXIT	omit	5	594	1	5	4	1619	40,21,62,51
127.012	11	ANCHOR	short	4	1818	1	2	1	2152	74,52,62,16
147.012	11	CARBON	lure	n/a	-1000	1	2	0	1185	29,05,17,56
166.995	11	BASKET	long	3	1147	0	3	4	2742	17,51,56,29
186.995	11	LAUNDRY	omit	4	1867	1	5	4	1349	21,18,56,13
206.995	11	SAND	lure	1	540	1	3	0	1448	69,49,56,51
227.011	11	POUCH	lure	1	867	1	2	0	1535	65,24,53,17
247.011	11	DISC	long	4	571	1	3	2	1505	44,43,21,25
267.01	11	BLIZZARD	short	5	516	1	2	1	1145	80,65,51,40
287.01	11	CONTRACT	lure	1	1220	1	3	0	1505	29,12,74,05
307.01	11	LEVEL	omit	5	668	1	3	2	1370	13,65,62,29
327.01	11	SOAP	short	4	2941	1	3	2	2105	53,49,52,78
347.009	11	MALLET	lure	1	1149	1	2	0	1266	26,44,58,24
366.996	11	SUMMIT	long	2	758	1	4	3	2044	15,24,17,53
386.992	11	WIRE	lure	1	526	1	5	0	2371	80,40,05,43
407.008	11	TEAR	omit	3	1118	1	4	3	1355	12,16,56,65
426.992	11	HAIRPIN	omit	2	727	1	2	1	1740	69,78,56,74
446.991	11	SIGN	short	5	1103	1	3	2	1173	49,40,15,17
466.991	11	CENT	lure	1	1927	1	3	0	1013	66,02,51,26
486.991	11	SPONGE	long	3	1512	1	4	3	1452	40,49,26,69
506.99	11	MAZE	lure	1	512	1	3	0	1278	12,78,52,74
526.99	11	MACHINE	lure	1	1096	1	3	0	1239	66,74,43,62
546.992	11	PILE	short	4	928	1	2	1	1338	66,69,52,25
566.99	11	NOTE	long	4	1113	1	2	1	1539	78,65,74,54
586.989	11	GLASS	lure	n/a	-1000	1	2	0	1816	44,62,54,78
606.989	11	CHART	omit	2	1609	1	2	1	2135	52,13,69,65
626.989	11	POWDER	lure	1	977	1	4	0	2047	26,78,25,18
646.989	11	SHELL	long	4	906	1	3	2	1552	80,62,53,56
666.988	11	THREAD	lure	1	786	1	5	0	1823	54,80,13,43
686.99	11	HAMMER	omit	3	2266	0	2	3	2456	69,24,18,40
706.989	11	CLOAK	short	2	683	1	3	2	2248	44,16,21,29
726.988	11	COAL	long	5	1115	1	3	2	1281	58,54,62,66
746.989	11	BOLT	short	4	691	1	5	4	1536	16,25,44,12
766.988	11	PLANK	lure	1	756	1	4	0	1866	78,12,49,62
786.987	11	COURT	lure	1	844	1	3	0	1323	26,16,43,51
806.986	11	CHASM	omit	5	1732	1	3	2	1425	21,58,17,12
826.986	11	TICKET	lure	1	828	1	2	0	2786	69,29,44,25
846.986	11	SUBWAY	omit	4	613	1	3	2	1459	52,05,24,12
866.985	11	DEPOT	long	4	645	1	5	4	1880	29,52,62,53
886.985	11	CORD	short	4	813	1	4	3	1873	53,02,15,05
906.985	11	PADDLE	lure	1	1197	1	3	0	1955	56,25,80,69
926.984	11	RAIL	long	3	798	1	3	2	1797	15,21,54,16
946.984	11	FOIL	short	3	862	1	3	2	1348	02,44,78,80
966.967	11	ISSUE	lure	1	1791	1	2	0	1348	21,40,12,74
986.967	11	BASIN	omit	3	1927	1	4	3	1443	02,58,25,12
1006.983	11	AXLE	lure	1	1263	1	3	0	1477	69,52,16,24
