onset	duration	stim	cond	RT	resp	cresp	acc
4.053	0.449996536	POSSE	lure	n/a	n/a	n/a	1
4.503	0.399992785	REBELLION	lure	n/a	n/a	n/a	1
4.903	0.349991349	CATACOMB	lure	n/a	n/a	n/a	1
5.253	0.549993668	FLOOZY	lure	n/a	n/a	n/a	1
5.803	0.649993695	MAMA	lure	n/a	n/a	n/a	1
6.453	0.600357735	DISSENTER	lure	n/a	n/a	n/a	1
7.053	0.649627242	CLIPPER	lure	n/a	n/a	n/a	1
7.703	2.016637563	CURTAIN	long	n/a	n/a	n/a	1
9.719	0.334002585	SPROCKET	lure	n/a	n/a	n/a	1
10.053	0.415983848	EXPEDITION	lure	n/a	n/a	n/a	1
10.469	0.333332686	BAGFUL	lure	n/a	n/a	n/a	1
10.803	0.599992277	PACKET	lure	n/a	n/a	n/a	1
11.403	0.750033386	APRON	lure	n/a	n/a	n/a	1
12.153	0.316620182	BLADE	lure	n/a	n/a	n/a	1
12.469	0.699988565	EPISTLE	lure	n/a	n/a	n/a	1
13.169	0.483325909	CONFETTI	lure	n/a	n/a	n/a	1
13.653	0.699993931	BOOZER	lure	n/a	n/a	n/a	1
14.353	0.533319077	FLASHBULB	lure	n/a	n/a	n/a	1
14.886	0.483329494	LUNGPOWER	lure	n/a	n/a	n/a	1
15.369	0.699991573	BOOKSHOP	lure	n/a	n/a	n/a	1
16.069	1.016655173	MULBERRY	fruit	633	2	2	1
17.086	0.566655233	KNACK	lure	n/a	n/a	n/a	1
17.653	0.466662711	LAXATIVE	lure	n/a	n/a	n/a	1
18.119	0.349992621	SURCHARGE	lure	n/a	n/a	n/a	1
18.469	0.533329186	URGENCY	lure	n/a	n/a	n/a	1
19.003	0.316664057	HYMNAL	lure	n/a	n/a	n/a	1
19.319	0.616655007	BURGLARY	lure	n/a	n/a	n/a	1
19.936	0.633324859	RAINBOW	lure	n/a	n/a	n/a	1
20.569	0.38332622	PETITIONER	lure	n/a	n/a	n/a	1
20.953	0.449992133	IMMOBILITY	lure	n/a	n/a	n/a	1
21.403	0.38333323	FIANCEE	lure	n/a	n/a	n/a	1
21.786	0.666694911	INCISOR	lure	n/a	n/a	n/a	1
22.453	0.466621527	GOLFER	lure	n/a	n/a	n/a	1
22.919	0.749988818	VAPOR	lure	n/a	n/a	n/a	1
23.669	0.66665671	SKINNER	lure	n/a	n/a	n/a	1
24.336	0.616662609	MOUNTAIN	short	n/a	n/a	n/a	1
24.953	0.499990192	DELEGATE	lure	n/a	n/a	n/a	1
25.453	0.466660681	DECANTER	lure	n/a	n/a	n/a	1
25.919	0.399990452	PREMIUM	lure	n/a	n/a	n/a	1
26.319	0.716709907	FOOTSIE	lure	n/a	n/a	n/a	1
27.036	0.568918988	WATERSPOUT	lure	n/a	n/a	n/a	1
27.605	0.647682202	DEJECTION	lure	n/a	n/a	n/a	1
28.252	0.533324827	OBSERVER	lure	n/a	n/a	n/a	1
28.786	0.333330491	INFLUENZA	lure	n/a	n/a	n/a	1
29.119	0.633320113	SPREADER	lure	n/a	n/a	n/a	1
29.752	0.58332789	ARTIFACT	lure	n/a	n/a	n/a	1
30.336	0.620358663	OVERLORD	lure	n/a	n/a	n/a	1
30.956	0.412962261	TRAJECTORY	lure	n/a	n/a	n/a	1
31.369	0.549989465	TRIVIALITY	lure	n/a	n/a	n/a	1
31.919	0.366712682	BRAVERY	lure	n/a	n/a	n/a	1
32.286	2.016592947	MAGNET	long	n/a	n/a	n/a	1
34.302	0.333325242	EUPHORIA	lure	n/a	n/a	n/a	1
34.636	0.483326515	THIMBLE	lure	n/a	n/a	n/a	1
35.119	0.349997185	ENTRY	lure	n/a	n/a	n/a	1
35.469	0.316659477	ARCHER	lure	n/a	n/a	n/a	1
35.786	0.683327246	CONVENTION	lure	n/a	n/a	n/a	1
