onset	duration	cond	RT	resp	cresp	acc
4.978	0.917	word	n/a	n/a	n/a	1
6.011	0.919	word	804	2	2	1
7.011	0.917	word	n/a	n/a	n/a	1
8.011	0.917	word	676	2	2	1
8.994	0.917	word	n/a	n/a	n/a	1
10.011	0.917	word	484	2	2	1
11.011	0.917	word	n/a	n/a	n/a	1
12.011	0.917	word	n/a	n/a	n/a	1
13.011	0.917	word	n/a	n/a	n/a	1
14.011	0.917	word	524	2	2	1
15.011	0.917	word	n/a	n/a	n/a	1
16.011	0.917	word	532	2	2	1
17.011	0.917	word	n/a	n/a	n/a	1
18.011	0.917	word	n/a	n/a	n/a	1
19.011	0.917	word	524	2	2	1
20.011	0.917	word	n/a	n/a	n/a	1
31.06	0.917	scene	n/a	n/a	n/a	1
32.01	0.917	scene	676	2	2	1
33.01	0.917	scene	n/a	n/a	n/a	1
34.01	0.917	scene	564	2	2	1
34.994	0.917	scene	n/a	n/a	n/a	1
36.01	0.917	scene	n/a	n/a	n/a	1
37.01	0.917	scene	556	2	2	1
38.01	0.917	scene	n/a	n/a	n/a	1
39.01	0.917	scene	n/a	n/a	n/a	1
40.01	0.917	scene	548	2	2	1
41.01	0.917	scene	n/a	n/a	n/a	1
42.01	0.917	scene	476	2	2	1
43.01	0.917	scene	n/a	n/a	n/a	1
44.01	0.917	scene	n/a	n/a	n/a	1
45.01	0.917	scene	n/a	n/a	n/a	1
46.01	0.917	scene	556	2	2	1
57.093	0.9	car	n/a	n/a	n/a	1
58.027	0.9	car	n/a	n/a	n/a	1
58.993	0.921	car	n/a	n/a	n/a	1
60.01	0.917	car	476	2	2	1
60.993	0.917	car	n/a	n/a	n/a	1
62.01	0.917	car	500	2	2	1
63.01	0.917	car	n/a	n/a	n/a	1
64.01	0.917	car	437	2	2	1
65.01	0.9	car	n/a	n/a	n/a	1
66.01	0.917	car	493	2	2	1
67.01	0.917	car	n/a	n/a	n/a	1
68.01	0.9	car	733	2	2	1
69.01	0.917	car	n/a	n/a	n/a	1
70.01	0.917	car	n/a	n/a	n/a	1
71.01	0.917	car	589	2	2	1
72.01	0.917	car	n/a	n/a	n/a	1
83.076	0.917	face	n/a	n/a	n/a	1
