onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.023	11	MIST	practice	1	407	1	5	2345	341	33,16,30,38
26.007	11	EARTHQUAKE	omit	3	2184	1	3	3	1382	47,46,02,32
46.006	11	SAWDUST	short	3	472	1	4	4	862	58,57,22,40
66.007	11	PAGE	long	3	377	1	3	3	1311	30,09,53,75
86.007	11	STAPLE	lure	1	505	1	3	2345	1191	51,38,71,09
106.006	11	HANDLE	lure	1	409	1	2	2345	463	35,82,81,19
126.007	11	ATLAS	short	3	1441	1	3	3	1447	65,35,09,12
146.004	11	PUPPET	lure	1	370	1	5	2345	592	38,65,19,82
166.005	11	RATTLE	long	3	610	1	3	3	1232	19,06,09,32
186.004	11	STICK	omit	3	1402	1	2	2	2264	81,72,75,51
206.005	11	AXLE	lure	1	522	1	4	2345	1185	71,19,46,53
226.007	11	ROPE	omit	3	507	1	4	4	745	16,57,38,06
246.003	11	DIAL	lure	1	467	1	4	2345	465	71,51,73,47
266.003	11	PUMP	lure	1	579	1	3	2345	1161	81,35,47,22
286.003	11	CORD	long	4	604	1	2	2	1530	75,02,58,82
306.002	11	SWORD	short	3	508	1	2	2	1600	42,19,12,75
326.002	11	TEXTILE	omit	3	1268	1	3	3	1282	82,19,18,47
346.002	11	PICK	short	3	468	1	5	5	1026	06,02,19,71
366.001	11	GOLF	long	3	613	1	5	5	1099	73,47,53,40
386.001	11	PASTEL	lure	1	421	1	5	2345	571	09,30,53,02
405.987	11	LEAF	lure	1	550	1	5	2345	428	30,38,82,42
425.987	11	PHOTO	long	2	558	1	4	4	1468	06,65,16,53
446	11	COLUMN	short	3	454	1	4	4	1076	51,71,33,42
465.983	11	CABLE	lure	1	639	1	4	2345	1277	60,16,18,38
485.983	11	CANDLE	omit	3	1175	1	4	4	1277	47,19,51,53
505.988	11	CLUB	lure	1	446	1	2	2345	341	06,12,16,73
525.983	11	VAULT	long	3	480	1	5	5	1526	75,09,16,53
545.982	11	RACKET	short	3	840	1	3	3	1926	65,57,02,42
565.982	11	GLOBE	lure	1	464	1	4	2345	766	81,71,47,65
585.982	11	EASEL	omit	3	809	1	4	4	1359	06,18,30,33
605.981	11	CART	lure	1	449	1	3	2345	543	81,35,02,19
625.982	11	RAIL	long	1	2209	1	4	4	3143	06,19,58,51
645.982	11	COAL	omit	4	577	1	3	3	1271	51,60,42,35
665.983	11	MAZE	lure	1	505	1	5	2345	360	60,58,32,16
685.981	11	SAND	short	3	642	1	3	3	2040	57,73,58,68
705.982	11	ACRE	lure	1	586	1	2	2345	1240	22,16,19,82
725.981	11	CHROME	lure	1	570	1	4	2345	713	16,19,22,06
745.98	11	HOOD	short	3	619	1	3	3	1391	38,32,46,51
765.981	11	DRUM	long	4	475	1	3	3	969	53,02,82,12
785.98	11	COLLAR	lure	1	659	1	5	2345	737	58,30,12,16
805.979	11	LABEL	omit	3	748	1	2	2	1746	68,40,51,60
825.978	11	CONTRACT	short	3	508	1	4	4	1066	57,42,72,33
845.981	11	PENNY	lure	1	516	1	4	2345	1115	47,22,57,82
865.978	11	RACK	omit	4	1245	1	2	2	1035	82,47,09,06
885.977	11	CLOTH	lure	1	493	1	3	2345	411	75,47,57,71
905.977	11	PENDULUM	long	3	933	1	4	4	1299	42,32,18,71
925.977	11	APRON	omit	3	373	1	2	2	1787	47,75,81,30
945.977	11	CURB	lure	3	470	1	4	2345	1004	19,18,71,51
965.976	11	ASHES	lure	1	478	1	4	2345	556	53,06,60,02
985.976	11	PIN	short	3	462	1	3	3	1484	73,65,19,16
1005.959	11	GIFT	long	3	487	1	5	5	1267	40,82,19,12
