onset	duration	stim	cond	RT	resp	cresp	acc
4.038	0.499994244	DUEL	lure	n/a	n/a	n/a	1
4.538	0.433323955	SORBET	lure	n/a	n/a	n/a	1
4.972	0.416665753	SUBURBIA	lure	n/a	n/a	n/a	1
5.388	0.383367431	DEFLATION	lure	n/a	n/a	n/a	1
5.772	0.383290346	MOPED	lure	n/a	n/a	n/a	1
6.155	0.733369547	CONVERSANT	lure	n/a	n/a	n/a	1
6.888	0.567643093	MARLIN	lure	n/a	n/a	n/a	1
7.456	0.415620984	QUIZMASTER	lure	n/a	n/a	n/a	1
7.872	2.016644572	PAGE	long	n/a	n/a	n/a	1
9.888	0.599988727	COLLISION	lure	n/a	n/a	n/a	1
10.488	0.649989671	FATSO	lure	n/a	n/a	n/a	1
11.138	0.666701036	CONVERTER	lure	n/a	n/a	n/a	1
11.805	0.649995632	HEATER	lure	n/a	n/a	n/a	1
12.455	0.699948462	DISUNION	lure	n/a	n/a	n/a	1
13.155	0.483326009	MIDSTREAM	lure	n/a	n/a	n/a	1
13.638	0.499985614	INCURSION	lure	n/a	n/a	n/a	1
14.138	0.649999944	APPOINTEE	lure	n/a	n/a	n/a	1
14.788	0.699989749	LION	lure	n/a	n/a	n/a	1
15.488	0.583321963	PHYSICIAN	lure	n/a	n/a	n/a	1
16.071	0.649989492	PICK	short	n/a	n/a	n/a	1
16.721	0.450042278	FLUENCY	lure	n/a	n/a	n/a	1
17.171	0.71661409	POSTMAN	lure	n/a	n/a	n/a	1
17.888	0.366660668	POLLEN	lure	n/a	n/a	n/a	1
18.255	0.566651018	CANAL	lure	n/a	n/a	n/a	1
18.821	0.450037512	ROPEWALK	lure	n/a	n/a	n/a	1
19.271	0.416616084	CHAMPAGNE	lure	n/a	n/a	n/a	1
19.688	0.49999439	BURGLARY	lure	n/a	n/a	n/a	1
20.188	0.734301732	DRIFTER	lure	n/a	n/a	n/a	1
20.922	0.699017987	RESOURCE	lure	n/a	n/a	n/a	1
21.621	0.350052215	TIDEWAY	lure	n/a	n/a	n/a	1
21.971	0.549927227	BULL	lure	n/a	n/a	n/a	1
22.521	0.366661557	PUMPKIN	lure	n/a	n/a	n/a	1
22.888	0.483335112	SHEET	lure	n/a	n/a	n/a	1
23.371	0.349994819	COMMANDO	lure	n/a	n/a	n/a	1
23.721	0.383321198	JEWELRY	lure	n/a	n/a	n/a	1
24.105	2.016645598	VAULT	long	n/a	n/a	n/a	1
26.121	0.383325478	PANEL	lure	n/a	n/a	n/a	1
26.505	0.316711546	TRAY	lure	n/a	n/a	n/a	1
26.821	0.433323307	COUNCILMAN	lure	n/a	n/a	n/a	1
27.255	0.41661234	PRECISION	lure	n/a	n/a	n/a	1
27.671	0.63332952	GASMASK	lure	n/a	n/a	n/a	1
28.305	0.399987329	PENTHOUSE	lure	n/a	n/a	n/a	1
28.705	0.600033831	DRUGSTORE	lure	n/a	n/a	n/a	1
29.305	0.5999493	IGNORANCE	lure	n/a	n/a	n/a	1
29.905	0.716697168	HISTORY	lure	n/a	n/a	n/a	1
30.621	0.733288957	DEPLOYMENT	lure	n/a	n/a	n/a	1
31.355	0.399988764	MOLEHILL	lure	n/a	n/a	n/a	1
31.755	0.36666379	TRAGEDY	lure	n/a	n/a	n/a	1
32.121	2.016643867	DRUM	long	n/a	n/a	n/a	1
34.138	0.399988858	MILLIMETER	lure	n/a	n/a	n/a	1
34.538	0.683322651	OFFSHOOT	lure	n/a	n/a	n/a	1
35.221	0.483334335	CELL	lure	n/a	n/a	n/a	1
35.704	0.583323421	HANDBILL	lure	n/a	n/a	n/a	1
36.288	0.766656378	GRANNY	lure	n/a	n/a	n/a	1
37.054	0.583320572	NECESSITY	lure	n/a	n/a	n/a	1
37.638	0.699989551	SOUNDTRACK	lure	n/a	n/a	n/a	1
38.338	0.317622938	CHAIRMAN	lure	n/a	n/a	n/a	1
38.655	0.582371998	ASPHALT	lure	n/a	n/a	n/a	1
39.238	0.333318886	NIGHT	lure	n/a	n/a	n/a	1
39.571	0.616718836	SPOILSPORT	lure	n/a	n/a	n/a	1
40.188	0.616606019	HOOD	short	n/a	n/a	n/a	1
40.804	0.566650296	DAMSEL	lure	n/a	n/a	n/a	1
41.371	0.566666288	FOXHOLE	lure	n/a	n/a	n/a	1
41.938	0.753581142	FISSION	lure	n/a	n/a	n/a	1
42.691	0.329738582	WONDERLAND	lure	n/a	n/a	n/a	1
43.021	0.633323367	HOCKEY	lure	n/a	n/a	n/a	1
43.654	0.333360942	PATROLMEN	lure	n/a	n/a	n/a	1
43.988	0.316622016	SHOWCASE	lure	n/a	n/a	n/a	1
44.304	0.466660443	ASTRONOMY	lure	n/a	n/a	n/a	1
44.771	0.700049091	FLAX	lure	n/a	n/a	n/a	1
45.471	0.349936211	AIRMEN	lure	n/a	n/a	n/a	1
45.821	0.550003233	ENAMEL	lure	n/a	n/a	n/a	1
46.371	0.699988117	BANISHMENT	lure	n/a	n/a	n/a	1
47.071	0.499992112	ADVISEMENT	lure	n/a	n/a	n/a	1
47.571	0.46665203	JOKER	lure	n/a	n/a	n/a	1
48.038	0.466668575	LOBSTER	lure	n/a	n/a	n/a	1
48.504	1.020247737	CHERRY	fruit	596	2	2	1
49.525	0.679725623	PROCESSOR	lure	n/a	n/a	n/a	1
50.204	0.483362183	TAILPIECE	lure	n/a	n/a	n/a	1
50.688	0.749954135	DISTEMPER	lure	n/a	n/a	n/a	1
51.438	0.733326798	VALIDITY	lure	n/a	n/a	n/a	1
52.171	0.399994585	SUNSPOT	lure	n/a	n/a	n/a	1
52.571	0.38332755	SATIRIST	lure	n/a	n/a	n/a	1
52.954	0.451220919	SCRIBE	lure	n/a	n/a	n/a	1
53.405	0.332098711	CLOSEOUT	lure	n/a	n/a	n/a	1
53.738	0.716692829	SALTWATER	lure	n/a	n/a	n/a	1
54.454	0.666623738	DRUMMER	lure	n/a	n/a	n/a	1
55.121	0.60003657	ANYTHING	lure	n/a	n/a	n/a	1
55.721	0.716605909	RECAP	lure	n/a	n/a	n/a	1
56.438	0.416662895	GYM	lure	n/a	n/a	n/a	1
56.854	2.016643767	GIFT	long	n/a	n/a	n/a	1
58.871	0.48337537	MAILMAN	lure	n/a	n/a	n/a	1
59.354	0.366611959	PRANK	lure	n/a	n/a	n/a	1
59.721	0.366653421	DESERT	lure	n/a	n/a	n/a	1
60.087	0.650039714	COMMITMENT	lure	n/a	n/a	n/a	1
60.737	0.766613624	MOUTHFUL	lure	n/a	n/a	n/a	1
61.504	0.366655772	DECADENCE	lure	n/a	n/a	n/a	1
61.871	0.333335252	PLAZA	lure	n/a	n/a	n/a	1
62.204	0.416693906	HOMETOWN	lure	n/a	n/a	n/a	1
62.621	0.76661558	INITIATION	lure	n/a	n/a	n/a	1
63.387	0.666659357	DEVELOPER	lure	n/a	n/a	n/a	1
64.054	0.63333079	HALFBACK	lure	n/a	n/a	n/a	1
64.687	0.716702349	ABDOMEN	lure	n/a	n/a	n/a	1
65.404	1.016607214	MULBERRY	fruit	n/a	n/a	2	0
66.421	0.399988049	NATURISM	lure	n/a	n/a	n/a	1
66.821	0.649997147	TRIPOD	lure	n/a	n/a	n/a	1
67.471	0.616649156	COMMANDER	lure	n/a	n/a	n/a	1
68.087	0.366663702	WOMEN	lure	n/a	n/a	n/a	1
68.454	0.39999458	AEROSPACE	lure	n/a	n/a	n/a	1
68.854	0.49999442	CRYPT	lure	n/a	n/a	n/a	1
69.354	0.616660139	INSTIGATOR	lure	n/a	n/a	n/a	1
69.971	0.733317909	HISTAMINE	lure	n/a	n/a	n/a	1
70.704	0.71665842	KNOB	lure	n/a	n/a	n/a	1
71.421	0.649988939	AGENDA	lure	n/a	n/a	n/a	1
72.071	0.45000229	SAVAGERY	lure	n/a	n/a	n/a	1
72.521	0.733315401	REVOLUTION	lure	n/a	n/a	n/a	1
73.254	0.616665742	FENDER	lure	n/a	n/a	n/a	1
73.871	0.616658124	RACKET	short	n/a	n/a	n/a	1
74.487	0.366660628	DOCKET	lure	n/a	n/a	n/a	1
74.854	0.549988752	HAIRDO	lure	n/a	n/a	n/a	1
75.404	0.61665391	TELECAST	lure	n/a	n/a	n/a	1
76.021	0.549992733	PROTEGE	lure	n/a	n/a	n/a	1
76.571	0.649990766	COMMUNION	lure	n/a	n/a	n/a	1
77.221	0.499992802	BOOKBINDER	lure	n/a	n/a	n/a	1
77.721	0.449994044	SNEAKER	lure	n/a	n/a	n/a	1
78.171	0.733326467	IRRITATION	lure	n/a	n/a	n/a	1
78.904	0.583321331	ANTENNA	lure	n/a	n/a	n/a	1
79.487	0.516666353	PLATITUDE	lure	n/a	n/a	n/a	1
80.004	0.49999179	LUMINOSITY	lure	n/a	n/a	n/a	1
80.504	0.449988593	BOOKWORM	lure	n/a	n/a	n/a	1
80.954	0.316662212	PIGSKIN	lure	n/a	n/a	n/a	1
81.27	0.499995888	LACROSSE	lure	n/a	n/a	n/a	1
81.77	2.016638019	PENDULUM	long	n/a	n/a	n/a	1
83.787	0.449991602	DRIFTWOOD	lure	n/a	n/a	n/a	1
84.237	0.733324959	SIGMA	lure	n/a	n/a	n/a	1
84.97	0.499996973	JAB	lure	n/a	n/a	n/a	1
85.47	0.533329291	DOUGHNUT	lure	n/a	n/a	n/a	1
86.004	0.616648887	TALE	lure	n/a	n/a	n/a	1
86.62	0.499993175	HOMEMAKER	lure	n/a	n/a	n/a	1
87.12	0.500058991	LONGSHOT	lure	n/a	n/a	n/a	1
87.62	0.685333949	CARNIVAL	lure	n/a	n/a	n/a	1
88.306	0.517565694	SULTAN	lure	n/a	n/a	n/a	1
88.823	0.449561782	BOATHOUSE	lure	n/a	n/a	n/a	1
89.273	0.430785927	CORNFLOWER	lure	n/a	n/a	n/a	1
89.704	0.616651599	ATLAS	short	n/a	n/a	n/a	1
90.32	0.483324895	ADOBE	lure	n/a	n/a	n/a	1
90.804	0.649996345	BOURBON	lure	n/a	n/a	n/a	1
91.454	0.6166956	LIQUIDITY	lure	n/a	n/a	n/a	1
92.07	0.51662505	CROSSFIRE	lure	n/a	n/a	n/a	1
92.587	0.549988912	INSECURITY	lure	n/a	n/a	n/a	1
93.137	0.46666058	CHAIRMEN	lure	n/a	n/a	n/a	1
93.604	0.483361779	REPAIRMEN	lure	n/a	n/a	n/a	1
94.087	0.399958822	PESSIMIST	lure	n/a	n/a	n/a	1
94.487	0.499997246	MENTALITY	lure	n/a	n/a	n/a	1
94.987	0.383322403	MORTUARY	lure	n/a	n/a	n/a	1
95.37	0.383330321	COGNITION	lure	n/a	n/a	n/a	1
95.754	0.583381483	ORACLE	lure	n/a	n/a	n/a	1
96.337	0.366604907	THYROID	lure	n/a	n/a	n/a	1
96.704	0.616660104	BAPTISM	lure	n/a	n/a	n/a	1
97.32	0.750047659	SEGMENT	lure	n/a	n/a	n/a	1
98.07	0.502383639	CONDOLENCE	lure	n/a	n/a	n/a	1
98.573	1.014255602	LEMON	fruit	912	2	2	1
99.587	0.46717097	MATCHSTICK	lure	n/a	n/a	n/a	1
100.054	0.382763735	BREADFRUIT	lure	n/a	n/a	n/a	1
100.437	0.600030801	COMPOSER	lure	n/a	n/a	n/a	1
101.037	0.56661957	COMBUSTION	lure	n/a	n/a	n/a	1
101.604	0.633375	CHURCHYARD	lure	n/a	n/a	n/a	1
102.237	0.583310006	DORM	lure	n/a	n/a	n/a	1
102.82	0.499957955	MEDIUM	lure	n/a	n/a	n/a	1
103.32	0.550027658	BUREAU	lure	n/a	n/a	n/a	1
103.87	0.516669295	OUTBACK	lure	n/a	n/a	n/a	1
104.387	0.516616186	SPECTER	lure	n/a	n/a	n/a	1
104.904	0.699981904	SATURATION	lure	n/a	n/a	n/a	1
105.603	0.466660359	DEPOT	lure	n/a	n/a	n/a	1
106.07	0.518174875	TORQUE	lure	n/a	n/a	n/a	1
106.588	0.648484604	ALGAE	lure	n/a	n/a	n/a	1
107.237	1.016651799	NECTARINE	fruit	792	2	2	1
108.253	0.716648682	LOT	lure	n/a	n/a	n/a	1
108.97	0.583374168	RIPTIDE	lure	n/a	n/a	n/a	1
109.553	0.670595871	INTERLINK	lure	n/a	n/a	n/a	1
110.224	0.346050763	LEOPARD	lure	n/a	n/a	n/a	1
110.57	0.36666711	STATUARY	lure	n/a	n/a	n/a	1
110.937	0.399948001	TONIC	lure	n/a	n/a	n/a	1
111.337	0.68337788	VILLAGER	lure	n/a	n/a	n/a	1
112.02	0.63326823	DOLT	lure	n/a	n/a	n/a	1
112.653	0.553170646	TIGHTROPE	lure	n/a	n/a	n/a	1
113.207	0.413485891	CUTBACK	lure	n/a	n/a	n/a	1
113.62	0.649987521	CHINAWARE	lure	n/a	n/a	n/a	1
114.27	0.566661933	DISBELIEF	lure	n/a	n/a	n/a	1
114.837	0.433393446	GODSON	lure	n/a	n/a	n/a	1
115.27	2.016573591	CORD	long	n/a	n/a	n/a	1
