onset	duration	cond	RT	resp	cresp	acc
4.972	0.917	face	n/a	n/a	n/a	1
6.005	0.917	face	n/a	n/a	n/a	1
7.005	0.917	face	850	2	2	1
7.989	0.917	face	n/a	n/a	n/a	1
8.989	0.917	face	n/a	n/a	n/a	1
10.005	0.917	face	836	2	2	1
11.005	0.917	face	n/a	n/a	n/a	1
12.005	0.917	face	715	2	2	1
13.005	0.917	face	n/a	n/a	n/a	1
14.005	0.917	face	713	2	2	1
15.005	0.917	face	n/a	n/a	n/a	1
16.005	0.917	face	625	2	2	1
17.005	0.917	face	n/a	n/a	n/a	1
18.005	0.917	face	547	2	2	1
19.005	0.917	face	n/a	n/a	n/a	1
19.988	0.917	face	n/a	n/a	n/a	1
31.059	0.912	word	n/a	n/a	n/a	1
32.005	0.917	word	814	2	2	1
33.005	0.9	word	n/a	n/a	n/a	1
34.005	0.917	word	765	2	2	1
34.988	0.917	word	n/a	n/a	n/a	1
36.005	0.917	word	565	2	2	1
37.005	0.917	word	n/a	n/a	n/a	1
38.005	0.917	word	n/a	n/a	n/a	1
39.005	0.917	word	n/a	n/a	n/a	1
40.005	0.917	word	637	2	2	1
40.988	0.917	word	n/a	n/a	n/a	1
42.005	0.917	word	n/a	n/a	n/a	1
43.005	0.917	word	667	2	2	1
44.005	0.917	word	n/a	n/a	n/a	1
45.005	0.917	word	n/a	n/a	n/a	1
46.005	0.9	word	642	2	2	1
57.055	0.917	scene	n/a	n/a	n/a	1
58.005	0.917	scene	714	2	2	1
58.988	0.917	scene	n/a	n/a	n/a	1
59.971	0.917	scene	n/a	n/a	n/a	1
61.004	0.917	scene	570	2	2	1
61.988	0.917	scene	n/a	n/a	n/a	1
63.004	0.917	scene	n/a	n/a	n/a	1
64.004	0.917	scene	564	2	2	1
65.004	0.917	scene	n/a	n/a	n/a	1
66.004	0.917	scene	466	2	2	1
67.004	0.917	scene	n/a	n/a	n/a	1
68.004	0.917	scene	n/a	n/a	n/a	1
69.004	0.917	scene	575	2	2	1
70.004	0.917	scene	n/a	n/a	n/a	1
71.004	0.917	scene	574	2	2	1
