onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.031	11	MIST	practice	1	1141	1	2	2345	1349	02,48,45,68
26.01	11	RELIC	omit	n/a	n/a	0	5	4	1043	16,74,80,20
46.009	11	PUZZLE	lure	1	1059	1	3	2345	957	80,48,56,40
66.012	11	RAMP	lure	2	2099	1	4	2345	1514	24,28,80,46
86.009	11	SANDPAPER	short	4	700	1	2	2	2904	31,74,46,16
106.009	11	HAMMER	long	5	604	1	3	3	1032	74,40,30,20
126.008	11	ROPE	long	n/a	n/a	1	4	4	1720	74,68,06,28
146.008	11	POOL	lure	1	757	1	5	2345	954	68,05,40,56
166.012	11	PYRAMID	short	3	1082	1	5	5	2196	74,06,23,05
186.007	11	RAIL	omit	3	506	1	2	2	2210	46,45,11,05
206.007	11	BELT	lure	1	663	1	5	2345	930	46,68,61,25
226.007	11	PHOTO	omit	5	915	1	2	2	2274	24,01,16,22
246.006	11	HURDLE	lure	1	607	1	2	2345	1705	68,70,74,23
266.006	11	DENT	short	4	893	1	3	3	1546	67,16,45,06
286.006	11	NAIL	lure	1	550	1	5	2345	809	35,28,23,67
306.006	11	CONE	long	5	603	1	5	5	1110	68,45,35,61
326.005	11	BRIDGE	long	4	766	1	2	2	1374	49,74,45,08
346.005	11	MATCH	short	5	1061	1	3	3	1115	80,28,49,36
366.005	11	PASTEL	lure	1	655	1	4	2345	1226	68,45,76,11
386.004	11	SOAP	lure	2	1324	1	2	2345	957	28,45,36,02
406.004	11	GIFT	omit	5	737	1	3	3	917	08,25,67,01
425.987	11	WHEEL	omit	4	856	1	2	2	1476	74,24,46,70
445.987	11	SUDS	short	4	763	1	4	4	1057	70,49,76,01
466.003	11	CHART	lure	1	759	1	2	2345	1438	16,20,67,48
485.986	11	BUCKLE	long	4	706	1	5	5	1314	28,61,36,08
506.003	11	TEXTILE	lure	2	607	1	2	2345	1673	01,48,02,06
526.002	11	SCREEN	short	4	1139	1	2	2	1157	70,61,48,01
545.985	11	FRONTIER	omit	5	1460	1	2	2	1400	01,70,74,02
565.987	11	GATEWAY	lure	1	585	1	5	2345	633	31,30,23,80
586.001	11	TRUCK	long	5	1003	1	4	4	1594	76,74,23,02
606.001	11	DOCK	lure	1	1538	1	2	2345	1407	76,35,30,11
625.988	11	BUBBLE	long	4	1017	1	2	2	1152	67,56,16,35
645.984	11	CURTAIN	short	5	721	1	2	2	1121	30,45,40,28
665.985	11	RULER	lure	2	565	1	5	2345	1148	68,11,01,49
685.983	11	PARCEL	omit	4	644	1	5	5	1676	80,31,25,20
705.987	11	CANYON	lure	2	857	1	2	2345	1209	08,05,25,02
725.983	11	PIPE	omit	4	1011	1	5	5	1532	36,20,76,56
745.983	11	CENT	lure	1	851	1	4	2345	603	30,20,61,40
765.982	11	LETTER	lure	2	728	1	2	2345	1042	67,48,22,46
785.982	11	DIRT	long	4	960	1	4	4	1134	01,22,11,45
805.982	11	MATTER	short	4	1703	1	2	2	1387	45,22,80,02
825.982	11	TUNNEL	short	5	711	1	5	5	1699	06,45,24,02
845.981	11	CAPSULE	lure	1	1625	1	2	2345	847	24,01,20,61
865.981	11	LIGHT	long	3	1392	1	4	4	983	20,68,35,01
885.98	11	HOOD	lure	1	641	1	5	2345	904	68,40,02,31
905.98	11	CABLE	omit	5	767	1	2	2	1277	48,67,40,35
925.98	11	RACKET	lure	1	1250	1	4	2345	773	40,48,68,49
945.98	11	RAVINE	omit	4	1368	1	4	4	1215	56,24,36,20
965.979	11	LUMBER	lure	2	514	1	2	2345	1126	45,80,22,76
985.962	11	TERRACE	long	4	1615	1	5	5	1689	31,80,76,22
1005.979	11	VAULT	short	5	1199	1	3	3	2055	76,68,56,11
