onset	duration	stim        	cond    	RT  	resp	cresp	acc 
4.045	0.649991677	WIDOWHOOD   	lure    	n/a  	n/a  	n/a  	1
4.695	0.599987487	MILE        	lure    	n/a  	n/a  	n/a  	1
5.295	0.400035642	JUDGESHIP   	lure    	n/a  	n/a  	n/a  	1
5.695	0.716618728	PELICAN     	lure    	n/a  	n/a  	n/a  	1
6.412	0.466662499	DEFICIENCY  	lure    	n/a  	n/a  	n/a  	1
6.879	0.433325356	WILDCAT     	lure    	n/a  	n/a  	n/a  	1
7.312	0.61665833	REGISTER    	short   	n/a  	n/a  	n/a  	1
7.929	0.599992801	GRAVITY     	lure    	n/a  	n/a  	n/a  	1
8.529	0.316751822	ATTENTION   	lure    	n/a  	n/a  	n/a  	1
8.845	0.799897147	EMOTION     	lure    	n/a  	n/a  	n/a  	1
9.645	0.566660459	GREENHORN   	lure    	n/a  	n/a  	n/a  	1
10.212	0.516717276	MISDEED     	lure    	n/a  	n/a  	n/a  	1
10.729	0.399936194	HILARITY    	lure    	n/a  	n/a  	n/a  	1
11.129	0.583320183	SCRUBBER    	lure    	n/a  	n/a  	n/a  	1
11.712	0.4834143	HANDCART    	lure    	n/a  	n/a  	n/a  	1
12.195	0.499909482	MONOTONY    	lure    	n/a  	n/a  	n/a  	1
12.695	0.599990974	INCEPTION   	lure    	n/a  	n/a  	n/a  	1
13.295	0.616696116	OPTICIAN    	lure    	n/a  	n/a  	n/a  	1
13.912	0.383289618	GRANITE     	lure    	n/a  	n/a  	n/a  	1
14.295	0.649988489	APPENDAGE   	lure    	n/a  	n/a  	n/a  	1
14.945	0.749993048	HUSSY       	lure    	n/a  	n/a  	n/a  	1
15.695	1.021478785	KIWI        	fruit   	862	2	2	1
16.717	0.561829854	LUCK        	lure    	n/a  	n/a  	n/a  	1
17.279	0.449996205	RESIDENCY   	lure    	n/a  	n/a  	n/a  	1
17.729	0.716654385	SAILOR      	lure    	n/a  	n/a  	n/a  	1
18.445	0.316716745	DIVINITY    	lure    	n/a  	n/a  	n/a  	1
18.762	0.466605563	CATARACT    	lure    	n/a  	n/a  	n/a  	1
19.229	0.566657829	OBSESSION   	lure    	n/a  	n/a  	n/a  	1
19.795	0.467443784	TRUSTEE     	lure    	n/a  	n/a  	n/a  	1
20.263	0.632540931	DUGOUT      	lure    	n/a  	n/a  	n/a  	1
20.895	0.699990914	GODFATHER   	lure    	n/a  	n/a  	n/a  	1
21.595	0.466661756	SHOWGIRL    	lure    	n/a  	n/a  	n/a  	1
22.062	0.516659184	JUBILATION  	lure    	n/a  	n/a  	n/a  	1
22.578	0.433325095	ARMADILLO   	lure    	n/a  	n/a  	n/a  	1
23.012	0.466723033	LADYSHIP    	lure    	n/a  	n/a  	n/a  	1
23.479	0.583308518	DOLLY       	lure    	n/a  	n/a  	n/a  	1
24.062	2.016593107	FOAM        	long    	n/a  	n/a  	n/a  	1
26.078	0.349995794	LANDHOLDER  	lure    	n/a  	n/a  	n/a  	1
26.428	0.616706828	DENIM       	lure    	n/a  	n/a  	n/a  	1
27.045	0.399944818	MAYONNAISE  	lure    	n/a  	n/a  	n/a  	1
27.445	0.666717216	COURTHOUSE  	lure    	n/a  	n/a  	n/a  	1
28.112	0.633265289	PSEUDONYM   	lure    	n/a  	n/a  	n/a  	1
28.745	0.400055254	INABILITY   	lure    	n/a  	n/a  	n/a  	1
