onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.026	11	MIST	practice	1	782	1	3	2345	724	79,23,74,46
26.008	11	COAT	long	4	903	1	2	2	1005	56,51,63,12
46.007	11	OUTLET	lure	1	495	1	4	2345	709	19,12,44,80
66.007	11	SEAT	short	4	624	1	5	5	902	63,51,64,36
86.006	11	LAKE	omit	5	944	1	5	5	918	36,63,12,54
106.006	11	COMPASS	lure	1	696	1	3	2345	646	66,30,12,64
126.005	11	GLOBE	omit	4	544	1	3	3	951	63,10,74,59
146.005	11	SPARK	lure	1	449	1	4	2345	671	51,44,36,08
166.006	11	CRAYON	long	4	825	1	5	5	855	54,46,63,12
186.005	11	MORNING	short	3	481	1	3	3	807	63,35,32,12
206.005	11	NOTE	lure	1	610	1	5	2345	928	12,08,58,07
225.987	11	PAPER	lure	1	1307	1	4	2345	777	62,59,10,51
246.004	11	DOCK	omit	3	442	1	4	4	904	56,44,66,59
266.004	11	APRON	long	5	1043	1	5	5	1297	30,10,23,80
286.003	11	ARCTIC	short	4	571	1	5	5	1169	56,36,66,44
306.003	11	CHART	lure	1	651	1	4	2345	745	49,32,46,79
326.003	11	TRIPOD	long	4	675	1	3	3	1009	10,63,56,54
346.002	11	FIDDLE	omit	3	548	1	5	5	2930	64,69,37,59
366.002	11	POOL	lure	1	412	1	3	2345	474	58,59,66,08
385.987	11	MAZE	lure	1	685	1	4	2345	979	74,76,49,69
406.002	11	ARROW	short	3	485	1	2	2	1067	62,08,42,12
425.985	11	PARADE	lure	1	1982	1	4	2345	1020	08,44,07,37
445.985	11	PISTOL	short	4	494	1	5	5	1476	07,66,64,46
465.984	11	RAIL	omit	4	774	1	4	4	900	66,54,32,08
485.984	11	HILL	lure	1	574	1	4	2345	428	07,58,19,08
505.988	11	BELT	long	4	423	1	5	5	1149	42,59,26,23
525.987	11	WALLET	omit	4	453	1	3	3	1085	44,74,26,51
545.983	11	FLAG	lure	1	455	1	3	2345	1037	23,26,56,42
565.999	11	PICK	long	4	831	1	4	4	1285	58,23,26,44
585.982	11	PENNY	lure	1	536	1	4	2345	862	10,32,08,80
605.986	11	CANDLE	short	4	957	1	5	5	910	19,46,56,08
625.982	11	LABEL	long	3	1480	1	4	4	1766	64,76,49,56
645.981	11	COLUMN	lure	1	1065	1	4	2345	1615	49,80,44,74
665.981	11	ISSUE	lure	1	513	1	5	2345	383	58,08,37,54
685.981	11	SKETCH	omit	4	1065	1	2	2	1071	69,44,19,66
705.983	11	REGISTER	short	3	473	1	2	2	856	79,69,63,35
725.982	11	PYRAMID	long	4	410	1	4	4	672	58,46,64,44
745.981	11	DITCH	omit	3	610	1	3	3	1656	66,07,44,37
765.981	11	COAL	lure	1	514	1	4	2345	520	35,26,12,32
785.98	11	SOCKET	lure	1	619	1	5	2345	561	07,12,58,66
805.979	11	PIN	short	5	795	1	5	5	1105	46,36,62,37
825.979	11	POLE	long	3	435	1	4	4	865	35,42,30,58
845.979	11	HOOK	omit	5	556	1	4	4	1913	08,63,76,07
865.978	11	CHROME	short	3	660	1	3	3	1442	59,58,69,51
885.978	11	CARBON	lure	1	460	0	n/a	2345	n/a	07,19,30,51
905.978	11	HOSE	lure	1	444	1	4	2345	394	76,80,30,51
925.978	11	ELBOW	lure	1	869	1	3	2345	411	59,56,10,12
945.977	11	MOUNTAIN	short	3	613	1	2	2	1483	42,66,56,19
965.977	11	MATTRESS	omit	4	413	1	4	4	779	63,42,51,23
985.977	11	HIGHWAY	lure	1	534	1	5	2345	404	79,54,63,42
1005.976	11	FOAM	long	3	574	1	4	4	1260	23,32,19,12
