onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.037	11	MIST	practice	1	1467	1	3	2345	873	79,80,07,23
26	11	PICK	long	3	1757	1	5	5	1771	35,46,36,26
46.002	11	REGISTER	short	3	1334	1	4	4	1580	80,66,79,10
66.003	11	DOCK	omit	3	1438	1	2	2	1660	66,30,59,26
86.003	11	JOURNAL	lure	1	750	1	5	2345	764	32,12,08,42
106.004	11	PIANO	lure	1	766	1	4	2345	1949	62,12,19,69
126.003	11	MORNING	short	3	783	1	3	3	989	30,35,66,58
145.999	11	TRIPOD	long	4	703	1	3	3	1269	46,63,80,08
166.003	11	MATTER	lure	1	887	1	4	2345	1621	59,80,62,19
186.002	11	SCREEN	lure	1	1192	1	2	2345	1030	69,80,30,42
205.998	11	HOOK	omit	4	648	1	2	2	1228	76,69,08,66
225.998	11	GLOBE	omit	3	1232	1	5	5	1318	30,32,37,10
245.998	11	SOAP	lure	1	969	1	5	2345	1247	07,19,26,58
265.998	11	POLE	long	3	1001	1	5	5	1031	08,36,49,30
285.998	11	FLEET	lure	1	729	1	3	2345	1255	44,58,46,26
305.998	11	SEAT	short	3	1129	1	4	4	1479	62,51,36,30
325.997	11	BROOM	lure	1	690	1	2	2345	2056	35,08,10,26
345.999	11	LAKE	omit	4	1050	1	3	3	1280	74,54,10,62
365.996	11	ATLAS	lure	1	1058	1	2	2345	1120	58,51,26,23
385.999	11	LABEL	long	3	1467	1	5	5	1153	54,30,19,49
405.996	11	CANDLE	short	3	699	1	5	5	1033	56,80,58,08
425.995	11	FIDDLE	omit	3	891	1	2	2	1385	59,63,79,07
445.994	11	COAT	long	n/a	n/a	1	4	4	25	63,23,56,37
465.994	11	MAGNET	lure	1	1084	1	3	2345	1506	32,26,46,56
485.994	11	CITY	lure	1	1468	0	n/a	2345	n/a	36,35,12,62
505.993	11	ARROW	short	3	836	1	3	3	898	19,62,59,80
525.993	11	BRAKE	lure	1	797	1	4	2345	1299	08,35,23,51
545.993	11	PYRAMID	long	5	749	1	4	4	827	35,44,64,08
565.993	11	RAIL	omit	4	757	1	5	5	1059	76,37,59,32
585.992	11	MOUNTAIN	short	3	710	1	4	4	1012	59,62,42,35
605.979	11	EASEL	lure	1	812	1	3	2345	1245	56,26,49,36
625.98	11	APRON	long	4	567	1	5	5	1029	64,58,62,80
645.975	11	MOON	lure	1	1015	1	4	2345	845	08,76,10,37
665.975	11	WALLET	omit	4	567	1	5	5	1205	07,80,46,74
685.979	11	CHROME	short	3	424	1	4	4	1038	42,76,58,44
705.974	11	CLOAK	lure	3	2264	0	n/a	2345	n/a	49,23,26,12
725.974	11	FOAM	long	3	528	1	3	3	1142	63,19,62,44
745.973	11	PIN	short	4	705	1	4	4	1143	44,12,37,35
765.973	11	MATTRESS	omit	4	793	1	2	2	999	51,07,49,74
785.974	11	PLANE	lure	1	769	1	3	2345	1255	32,07,59,69
805.989	11	MALLET	lure	1	745	1	4	2345	959	54,42,30,46
825.973	11	SPONGE	lure	1	730	1	2	2345	824	59,30,42,37
845.972	11	SKETCH	omit	3	786	1	3	3	1216	26,69,63,79
865.972	11	DECK	lure	1	810	1	4	2345	961	19,66,12,58
885.971	11	CRAYON	long	4	1154	1	2	2	1705	12,51,30,49
905.972	11	ARCTIC	short	3	595	1	3	3	1121	12,44,66,69
925.971	11	DITCH	omit	3	635	1	3	3	1625	56,07,58,74
945.971	11	PISTOL	short	4	739	1	4	4	849	62,12,46,54
965.972	11	DISC	lure	1	676	1	4	2345	858	79,54,10,69
985.97	11	BELT	long	4	780	1	5	5	1162	63,56,80,23
1005.973	11	PITCHFORK	lure	1	988	1	4	2345	722	44,59,76,23
