onset	duration	cond	RT	resp	cresp	acc
5.002	0.917	scene	n/a	n/a	n/a	1
6.002	0.917	scene	690	2	2	1
7.002	0.917	scene	n/a	n/a	n/a	1
8.002	0.917	scene	570	2	2	1
9.002	0.917	scene	n/a	n/a	n/a	1
10.002	0.917	scene	595	2	2	1
11.002	0.917	scene	n/a	n/a	n/a	1
12.002	0.917	scene	n/a	n/a	n/a	1
13.002	0.917	scene	n/a	n/a	n/a	1
14.002	0.917	scene	555	2	2	1
15.002	0.917	scene	n/a	n/a	n/a	1
16.002	0.917	scene	555	2	2	1
17.002	0.9	scene	n/a	n/a	n/a	1
18.002	0.917	scene	n/a	n/a	n/a	1
19.002	0.9	scene	459	2	2	1
20.002	0.9	scene	n/a	n/a	n/a	1
31.054	0.915	word	n/a	n/a	n/a	1
32.002	0.917	word	n/a	n/a	2	0
33.002	0.917	word	n/a	n/a	n/a	1
34.002	0.917	word	587	2	2	1
34.985	0.917	word	n/a	n/a	n/a	1
36.002	0.917	word	n/a	n/a	n/a	1
37.002	0.917	word	467	2	2	1
38.002	0.917	word	n/a	n/a	n/a	1
39.002	0.917	word	n/a	n/a	n/a	1
40.002	0.918	word	467	2	2	1
40.985	0.917	word	n/a	n/a	n/a	1
42.002	0.917	word	491	2	2	1
43.002	0.917	word	n/a	n/a	n/a	1
44.002	0.9	word	n/a	n/a	n/a	1
45.002	0.9	word	n/a	n/a	n/a	1
46.002	0.917	word	563	2	2	1
57.068	0.917	car	n/a	n/a	n/a	1
58.018	0.917	car	n/a	n/a	n/a	1
59.002	0.9	car	n/a	n/a	n/a	1
60.002	0.917	car	499	2	2	1
61.002	0.917	car	n/a	n/a	n/a	1
62.002	0.917	car	555	2	2	1
63.001	0.917	car	n/a	n/a	n/a	1
64.001	0.917	car	531	2	2	1
65.002	0.917	car	659	2	n/a	0
66.001	0.9	car	n/a	n/a	2	0
67.001	0.917	car	19	2	n/a	0
68.001	0.917	car	643	2	2	1
69.001	0.917	car	n/a	n/a	n/a	1
70.001	0.917	car	n/a	n/a	n/a	1
71.001	0.917	car	659	2	2	1
72.001	0.917	car	n/a	n/a	n/a	1
83.068	0.917	face	n/a	n/a	n/a	1
84.018	0.9	face	n/a	n/a	n/a	1
85.001	0.917	face	628	2	2	1
85.985	0.9	face	n/a	n/a	n/a	1
87.001	0.917	face	524	2	2	1
88.001	0.917	face	n/a	n/a	n/a	1
89.001	0.917	face	516	2	2	1
90.001	0.917	face	n/a	n/a	n/a	1
91.001	0.9	face	n/a	n/a	n/a	1
92.001	0.917	face	620	2	2	1
93.001	0.9	face	n/a	n/a	n/a	1
94.001	0.917	face	n/a	n/a	n/a	1
95.001	0.917	face	484	2	2	1
96.001	0.917	face	n/a	n/a	n/a	1
97.001	0.917	face	556	2	2	1
98.001	0.917	face	n/a	n/a	n/a	1
109.067	0.917	face	n/a	n/a	n/a	1
110.017	0.917	face	603	2	2	1
111.001	0.917	face	n/a	n/a	n/a	1
112.001	0.917	face	n/a	n/a	n/a	1
113.001	0.9	face	460	2	2	1
114.001	0.917	face	n/a	n/a	n/a	1
115.001	0.9	face	n/a	n/a	n/a	1
116.001	0.917	face	508	2	2	1
117.001	0.917	face	n/a	n/a	n/a	1
118.001	0.917	face	n/a	n/a	n/a	1
119.001	0.917	face	628	2	2	1
120.001	0.917	face	n/a	n/a	n/a	1
121.001	0.917	face	508	2	2	1
122.001	0.917	face	n/a	n/a	n/a	1
123.001	0.917	face	n/a	n/a	2	0
124.001	0.917	face	n/a	n/a	n/a	1
135.051	0.917	scene	n/a	n/a	n/a	1
136.001	0.917	scene	n/a	n/a	n/a	1
137	0.917	scene	n/a	n/a	n/a	1
138	0.917	scene	532	2	2	1
139	0.9	scene	n/a	n/a	n/a	1
140	0.917	scene	n/a	n/a	n/a	1
141	0.917	scene	476	2	2	1
142	0.917	scene	n/a	n/a	n/a	1
143	0.917	scene	556	2	2	1
144	0.9	scene	n/a	n/a	n/a	1
145	0.917	scene	525	2	2	1
146	0.917	scene	n/a	n/a	n/a	1
147	0.917	scene	709	2	2	1
148	0.917	scene	n/a	n/a	n/a	1
149	0.917	scene	n/a	n/a	n/a	1
150	0.917	scene	477	2	2	1
161.05	0.917	car	n/a	n/a	n/a	1
162	0.917	car	501	2	2	1
163	0.9	car	n/a	n/a	n/a	1
164	0.917	car	n/a	n/a	n/a	1
165	0.917	car	565	2	2	1
166	0.917	car	n/a	n/a	n/a	1
167	0.917	car	485	2	2	1
168.004	0.912	car	n/a	n/a	n/a	1
169	0.917	car	493	2	2	1
170	0.917	car	n/a	n/a	n/a	1
171	0.918	car	469	2	2	1
172.004	0.912	car	n/a	n/a	n/a	1
173	0.9	car	n/a	n/a	n/a	1
174	0.917	car	n/a	n/a	n/a	1
175	0.917	car	549	2	2	1
176	0.917	car	n/a	n/a	n/a	1
187.066	0.917	word	n/a	n/a	n/a	1
188.016	0.917	word	n/a	n/a	n/a	1
189	0.918	word	477	2	2	1
190	0.917	word	n/a	n/a	n/a	1
191	0.917	word	717	2	2	1
192	0.9	word	n/a	n/a	n/a	1
193	0.917	word	n/a	n/a	n/a	1
194	0.917	word	493	2	2	1
195	0.917	word	n/a	n/a	n/a	1
196	0.917	word	n/a	n/a	n/a	1
197	0.917	word	453	2	2	1
198	0.917	word	n/a	n/a	n/a	1
199	0.917	word	n/a	n/a	n/a	1
200	0.917	word	645	2	2	1
201	0.917	word	n/a	n/a	n/a	1
202	0.917	word	501	2	2	1
213.066	0.917	face	n/a	n/a	n/a	1
214.016	0.917	face	n/a	n/a	n/a	1
214.999	0.917	face	n/a	n/a	n/a	1
215.999	0.917	face	781	2	2	1
216.999	0.917	face	n/a	n/a	n/a	1
217.999	0.918	face	478	2	2	1
218.999	0.917	face	n/a	n/a	n/a	1
219.999	0.917	face	n/a	n/a	n/a	1
221.016	0.917	face	n/a	n/a	n/a	1
221.999	0.917	face	614	2	2	1
222.999	0.917	face	n/a	n/a	n/a	1
223.999	0.917	face	662	2	2	1
224.999	0.917	face	n/a	n/a	n/a	1
225.999	0.917	face	574	2	2	1
226.999	0.917	face	n/a	n/a	n/a	1
227.999	0.917	face	n/a	n/a	2	0
239.069	0.913	word	n/a	n/a	n/a	1
240.016	0.917	word	n/a	n/a	n/a	1
240.999	0.918	word	590	2	2	1
241.999	0.917	word	n/a	n/a	n/a	1
242.999	0.917	word	678	2	2	1
244.016	0.917	word	n/a	n/a	n/a	1
244.999	0.917	word	n/a	n/a	n/a	1
246.016	0.917	word	n/a	n/a	n/a	1
246.999	0.917	word	742	2	2	1
248.016	0.917	word	n/a	n/a	n/a	1
248.999	0.9	word	n/a	n/a	n/a	1
249.999	0.917	word	534	2	2	1
250.999	0.917	word	n/a	n/a	n/a	1
251.999	0.917	word	590	2	2	1
252.999	0.917	word	n/a	n/a	n/a	1
253.999	0.919	word	582	2	2	1
265.065	0.917	scene	n/a	n/a	n/a	1
266.015	0.917	scene	n/a	n/a	n/a	1
266.999	0.917	scene	566	2	2	1
267.999	0.917	scene	n/a	n/a	n/a	1
269.015	0.917	scene	n/a	n/a	n/a	1
269.999	0.917	scene	n/a	n/a	n/a	1
271.015	0.917	scene	n/a	n/a	n/a	1
271.999	0.917	scene	750	2	2	1
273.015	0.917	scene	n/a	n/a	n/a	1
273.999	0.917	scene	542	2	2	1
275.015	0.9	scene	n/a	n/a	n/a	1
276.015	0.917	scene	518	2	2	1
276.998	0.9	scene	n/a	n/a	n/a	1
277.998	0.917	scene	710	2	2	1
278.998	0.917	scene	n/a	n/a	n/a	1
280.015	0.917	scene	542	2	2	1
291.083	0.915	car	n/a	n/a	n/a	1
292.032	0.917	car	549	2	2	1
292.998	0.9	car	n/a	n/a	n/a	1
293.998	0.917	car	575	2	2	1
294.998	0.917	car	n/a	n/a	n/a	1
295.998	0.917	car	n/a	n/a	n/a	1
297.015	0.917	car	n/a	n/a	n/a	1
297.998	0.917	car	535	2	2	1
298.998	0.9	car	n/a	n/a	n/a	1
299.998	0.917	car	487	2	2	1
300.998	0.9	car	n/a	n/a	n/a	1
301.998	0.917	car	n/a	n/a	n/a	1
302.998	0.9	car	503	2	2	1
303.998	0.917	car	n/a	n/a	n/a	1
305.015	0.919	car	774	2	2	1
305.998	0.9	car	n/a	n/a	n/a	1
317.049	0.915	scene	n/a	n/a	n/a	1
317.998	0.917	scene	n/a	n/a	n/a	1
319.015	0.917	scene	n/a	n/a	n/a	1
319.998	0.917	scene	n/a	n/a	n/a	1
321.014	0.917	scene	750	2	2	1
321.998	0.917	scene	n/a	n/a	n/a	1
323.014	0.917	scene	646	2	2	1
323.998	0.9	scene	n/a	n/a	n/a	1
325.014	0.9	scene	n/a	n/a	n/a	1
325.998	0.917	scene	415	2	2	1
327.014	0.9	scene	n/a	n/a	n/a	1
327.998	0.917	scene	527	2	2	1
329.014	0.917	scene	n/a	n/a	n/a	1
329.998	0.917	scene	415	2	2	1
330.998	0.917	scene	n/a	n/a	n/a	1
332.014	0.917	scene	527	2	2	1
343.082	0.916	word	n/a	n/a	n/a	1
344.048	0.9	word	397	2	2	1
344.998	0.917	word	n/a	n/a	n/a	1
346.014	0.917	word	519	2	2	1
346.998	0.917	word	n/a	n/a	n/a	1
348.014	0.919	word	543	2	2	1
348.997	0.917	word	n/a	n/a	n/a	1
350.014	0.917	word	535	2	2	1
350.997	0.917	word	n/a	n/a	n/a	1
352.014	0.9	word	n/a	n/a	n/a	1
353.014	0.9	word	n/a	n/a	n/a	1
354.014	0.917	word	n/a	n/a	n/a	1
354.997	0.917	word	672	2	2	1
356.014	0.917	word	n/a	n/a	n/a	1
356.997	0.917	word	432	2	2	1
358.014	0.917	word	n/a	n/a	n/a	1
369.08	0.917	car	n/a	n/a	n/a	1
370.047	0.917	car	806	2	2	1
371.014	0.918	car	n/a	n/a	n/a	1
371.997	0.917	car	488	2	n/a	0
373.014	0.917	car	n/a	n/a	n/a	1
373.997	0.917	car	592	2	2	1
375.014	0.917	car	n/a	n/a	n/a	1
375.997	0.917	car	512	2	2	1
377.014	0.917	car	n/a	n/a	n/a	1
377.997	0.917	car	n/a	n/a	n/a	1
379.014	0.917	car	n/a	n/a	n/a	1
379.997	0.917	car	584	2	2	1
381.014	0.917	car	n/a	n/a	n/a	1
381.997	0.917	car	656	2	2	1
383.014	0.9	car	n/a	n/a	n/a	1
384.014	0.917	car	703	2	2	1
395.08	0.917	face	n/a	n/a	n/a	1
396.047	0.917	face	n/a	n/a	n/a	1
397.013	0.92	face	679	2	2	1
398.013	0.9	face	n/a	n/a	n/a	1
399.013	0.917	face	496	2	2	1
400.013	0.917	face	n/a	n/a	n/a	1
401.013	0.917	face	n/a	n/a	n/a	1
402.013	0.917	face	607	2	2	1
403.013	0.917	face	n/a	n/a	n/a	1
404.013	0.917	face	n/a	n/a	2	0
405.013	0.917	face	n/a	n/a	n/a	1
406.013	0.918	face	712	2	2	1
407.013	0.917	face	n/a	n/a	n/a	1
408.013	0.9	face	n/a	n/a	n/a	1
409.013	0.917	face	648	2	2	1
410.013	0.917	face	n/a	n/a	n/a	1
421.08	0.917	face	n/a	n/a	n/a	1
422.046	0.917	face	n/a	n/a	n/a	1
423.013	0.917	face	664	2	2	1
424.013	0.917	face	n/a	n/a	n/a	1
425.013	0.917	face	432	2	2	1
426.013	0.917	face	n/a	n/a	n/a	1
427.013	0.917	face	488	2	2	1
428.013	0.9	face	n/a	n/a	n/a	1
429.016	0.914	face	n/a	n/a	n/a	1
430.013	0.9	face	592	2	2	1
431.013	0.917	face	n/a	n/a	n/a	1
432.013	0.9	face	n/a	n/a	n/a	1
433.013	0.917	face	592	2	2	1
434.013	0.917	face	n/a	n/a	n/a	1
435.013	0.917	face	608	2	2	1
436.013	0.917	face	n/a	n/a	n/a	1
447.083	0.913	word	n/a	n/a	n/a	1
448.046	0.917	word	n/a	n/a	2	0
449.013	0.917	word	n/a	n/a	n/a	1
450.013	0.9	word	n/a	n/a	n/a	1
451.013	0.917	word	n/a	n/a	2	0
452.013	0.9	word	n/a	n/a	n/a	1
453.013	0.917	word	616	2	2	1
454.013	0.917	word	n/a	n/a	n/a	1
455.013	0.918	word	416	2	2	1
456.013	0.917	word	n/a	n/a	n/a	1
457.013	0.917	word	n/a	n/a	n/a	1
458.013	0.9	word	n/a	n/a	2	0
459.013	0.9	word	n/a	n/a	n/a	1
460.013	0.917	word	n/a	n/a	n/a	1
461.013	0.917	word	n/a	n/a	n/a	1
462.013	0.917	word	472	2	2	1
473.079	0.917	car	n/a	n/a	n/a	1
474.046	0.917	car	407	2	2	1
475.012	0.921	car	n/a	n/a	n/a	1
475.996	0.917	car	441	2	2	1
477.012	0.917	car	n/a	n/a	n/a	1
478.012	0.917	car	n/a	n/a	n/a	1
479.012	0.917	car	705	2	2	1
480.012	0.9	car	n/a	n/a	n/a	1
481.012	0.917	car	737	2	2	1
482.012	0.917	car	n/a	n/a	n/a	1
483.012	0.917	car	513	2	2	1
484.012	0.917	car	n/a	n/a	n/a	1
485.012	0.917	car	505	2	2	1
486.012	0.9	car	n/a	n/a	n/a	1
487.012	0.9	car	n/a	n/a	n/a	1
