onset	duration	stim	cond	RT	resp	cresp	acc
4.046	0.414278692	GRINDER	lure	n/a	n/a	n/a	1
4.461	0.63332374	SANCTIMONY	lure	n/a	n/a	n/a	1
5.094	0.566705325	BOATMAN	lure	n/a	n/a	n/a	1
5.661	0.616610981	ANATOMY	lure	n/a	n/a	n/a	1
6.277	0.74999054	DROPPER	lure	n/a	n/a	n/a	1
7.027	0.483324119	CAREERISM	lure	n/a	n/a	n/a	1
7.51	2.016638308	COAT	long	n/a	n/a	n/a	1
9.527	0.59998731	NUISANCE	lure	n/a	n/a	n/a	1
10.127	0.483329916	MISFORTUNE	lure	n/a	n/a	n/a	1
10.61	0.649991103	WOLFHOUND	lure	n/a	n/a	n/a	1
11.26	0.616653913	FLAMINGO	lure	n/a	n/a	n/a	1
11.877	0.616663814	SIFTER	lure	n/a	n/a	n/a	1
12.494	0.71666258	ION	lure	n/a	n/a	n/a	1
13.21	0.55003991	DEVOTION	lure	n/a	n/a	n/a	1
13.76	0.6333247	AVIATOR	lure	n/a	n/a	n/a	1
14.394	0.516678143	APTITUDE	lure	n/a	n/a	n/a	1
14.91	0.349976699	OUTBREAK	lure	n/a	n/a	n/a	1
15.26	0.466657346	DOCKET	lure	n/a	n/a	n/a	1
15.727	0.65051286	ARROW	short	n/a	n/a	n/a	1
16.378	0.599415382	WELLSPRING	lure	n/a	n/a	n/a	1
16.977	0.666729454	MOMMY	lure	n/a	n/a	n/a	1
17.644	0.416590331	MARGIN	lure	n/a	n/a	n/a	1
18.06	0.750034867	TAILSPIN	lure	n/a	n/a	n/a	1
18.81	0.599945328	RATTLETRAP	lure	n/a	n/a	n/a	1
19.41	0.433327622	PERSON	lure	n/a	n/a	n/a	1
19.844	0.366661024	BREASTBONE	lure	n/a	n/a	n/a	1
20.21	0.483324028	LESSON	lure	n/a	n/a	n/a	1
20.694	0.399994862	BRIDGEWORK	lure	n/a	n/a	n/a	1
21.094	0.499992314	ANONYMITY	lure	n/a	n/a	n/a	1
21.594	0.466660977	SCAPULA	lure	n/a	n/a	n/a	1
22.06	0.416656931	PERSONAGE	lure	n/a	n/a	n/a	1
22.477	0.585055195	CONVICTION	lure	n/a	n/a	n/a	1
23.062	0.581600114	RIVERSIDE	lure	n/a	n/a	n/a	1
23.644	2.01664203	POLE	long	n/a	n/a	n/a	1
25.66	0.716652182	GENTILE	lure	n/a	n/a	n/a	1
26.377	0.483325505	MASTERSHIP	lure	n/a	n/a	n/a	1
26.86	0.59999332	POLYESTER	lure	n/a	n/a	n/a	1
27.46	0.500039557	STARLET	lure	n/a	n/a	n/a	1
27.96	0.63332369	PUPIL	lure	n/a	n/a	n/a	1
28.594	0.433279036	JAWBREAKER	lure	n/a	n/a	n/a	1
29.027	0.683378151	RECURRENCE	lure	n/a	n/a	n/a	1
29.71	0.533272821	REALITY	lure	n/a	n/a	n/a	1
30.243	0.433327133	FILTRATION	lure	n/a	n/a	n/a	1
30.677	0.583382077	CONFESSOR	lure	n/a	n/a	n/a	1
31.26	0.683263336	CONTENT	lure	n/a	n/a	n/a	1
31.943	0.616663485	REGISTER	short	n/a	n/a	n/a	1
32.56	0.749986947	SHIPMATE	lure	n/a	n/a	n/a	1
33.31	0.366662907	PASSBOOK	lure	n/a	n/a	n/a	1
33.677	0.516713186	SOPHOMORE	lure	n/a	n/a	n/a	1
34.193	0.633268159	HAIRDO	lure	n/a	n/a	n/a	1
34.827	0.366709576	BACKBEND	lure	n/a	n/a	n/a	1
35.193	0.316661	DRAGON	lure	n/a	n/a	n/a	1
35.51	0.466615784	TSUNAMI	lure	n/a	n/a	n/a	1
35.977	0.321156394	ROADWAY	lure	n/a	n/a	n/a	1
36.298	0.67888918	TRIBUTE	lure	n/a	n/a	n/a	1
36.977	0.533268253	ESCALATION	lure	n/a	n/a	n/a	1
37.51	0.766653389	WEEKEND	lure	n/a	n/a	n/a	1
38.277	0.666651652	MIDLAND	lure	n/a	n/a	n/a	1
38.943	0.549997308	FOXHOUND	lure	n/a	n/a	n/a	1
39.493	0.399992805	ANCHORMAN	lure	n/a	n/a	n/a	1
39.893	0.61666049	CANDLE	short	n/a	n/a	n/a	1
40.51	0.44999298	FRINGE	lure	n/a	n/a	n/a	1
40.96	0.483324987	ACCOUNTANT	lure	n/a	n/a	n/a	1
41.443	0.649992885	ROSEMARY	lure	n/a	n/a	n/a	1
42.093	0.549990955	DOCUMENT	lure	n/a	n/a	n/a	1
42.643	0.583320946	SUBTITLE	lure	n/a	n/a	n/a	1
43.227	0.700080268	GRADUATION	lure	n/a	n/a	n/a	1
43.927	0.416573893	PETITIONER	lure	n/a	n/a	n/a	1
44.343	0.433329113	TABLET	lure	n/a	n/a	n/a	1
44.777	0.783320644	COASTLINE	lure	n/a	n/a	n/a	1
45.56	0.666656749	DOORKEEPER	lure	n/a	n/a	n/a	1
46.227	0.433327996	GHETTO	lure	n/a	n/a	n/a	1
46.66	0.549993744	MORPHINE	lure	n/a	n/a	n/a	1
47.21	0.549991528	BACKGROUND	lure	n/a	n/a	n/a	1
47.76	0.649989289	PINWHEEL	lure	n/a	n/a	n/a	1
48.41	0.616660405	SEAT	short	n/a	n/a	n/a	1
49.027	0.566652418	ETHANOL	lure	n/a	n/a	n/a	1
49.593	0.521175719	ENTIRETY	lure	n/a	n/a	n/a	1
50.114	0.316560196	FOYER	lure	n/a	n/a	n/a	1
50.431	0.545582891	NIGHTHAWK	lure	n/a	n/a	n/a	1
50.977	0.533324825	ONSET	lure	n/a	n/a	n/a	1
51.51	0.366657527	BUILDUP	lure	n/a	n/a	n/a	1
51.877	0.449997647	PAUPER	lure	n/a	n/a	n/a	1
52.327	0.399990739	BELLBOY	lure	n/a	n/a	n/a	1
52.726	0.366661313	BARRICADE	lure	n/a	n/a	n/a	1
53.093	0.650038315	DOORNAIL	lure	n/a	n/a	n/a	1
53.743	0.733353452	HOSEPIPE	lure	n/a	n/a	n/a	1
54.477	0.499917321	PINEWOOD	lure	n/a	n/a	n/a	1
54.976	0.76665864	BIRDSEED	lure	n/a	n/a	n/a	1
55.743	0.716656638	LIMB	lure	n/a	n/a	n/a	1
56.46	0.570621814	COLLATION	lure	n/a	n/a	n/a	1
57.03	2.013598642	APRON	long	n/a	n/a	n/a	1
59.044	0.615734672	CARDIOGRAM	lure	n/a	n/a	n/a	1
59.66	0.649991657	SEMINARY	lure	n/a	n/a	n/a	1
60.31	0.683321789	STRAIT	lure	n/a	n/a	n/a	1
60.993	0.533326981	KEYPUNCH	lure	n/a	n/a	n/a	1
61.526	0.418958221	COURIER	lure	n/a	n/a	n/a	1
61.945	0.581568433	CLOVE	lure	n/a	n/a	n/a	1
62.527	0.632778395	NATURALIST	lure	n/a	n/a	n/a	1
63.16	0.766659901	HURLER	lure	n/a	n/a	n/a	1
63.926	0.333328858	LAMPSHADE	lure	n/a	n/a	n/a	1
64.26	0.766657	INFO	lure	n/a	n/a	n/a	1
65.026	0.3499943	TENET	lure	n/a	n/a	n/a	1
65.376	0.616659122	PIN	short	n/a	n/a	n/a	1
65.993	0.616655487	EPIDEMIC	lure	n/a	n/a	n/a	1
66.61	0.466660062	SEABOARD	lure	n/a	n/a	n/a	1
67.076	0.649993068	COMPANY	lure	n/a	n/a	n/a	1
67.726	0.533323682	PUBLICITY	lure	n/a	n/a	n/a	1
68.26	0.399995124	REGULATOR	lure	n/a	n/a	n/a	1
68.66	0.766653594	PUB	lure	n/a	n/a	n/a	1
69.426	0.583326027	OARSMAN	lure	n/a	n/a	n/a	1
70.01	0.499989853	SALESMAN	lure	n/a	n/a	n/a	1
70.51	0.633329094	SELF	lure	n/a	n/a	n/a	1
71.143	0.349995503	BISCUIT	lure	n/a	n/a	n/a	1
71.493	0.633323517	BOMBSIGHT	lure	n/a	n/a	n/a	1
72.126	0.717487047	LIVELIHOOD	lure	n/a	n/a	n/a	1
72.844	0.315831998	CHESTNUT	lure	n/a	n/a	n/a	1
73.16	1.016656869	ELDERBERRY	fruit	n/a	n/a	2	0
74.176	0.550046133	RUNWAY	lure	n/a	n/a	n/a	1
74.726	0.499932625	POWDERPUFF	lure	n/a	n/a	n/a	1
75.226	0.400053234	ARCHWAY	lure	n/a	n/a	n/a	1
75.626	0.416604885	CASSEROLE	lure	n/a	n/a	n/a	1
76.043	0.716656107	OVERKILL	lure	n/a	n/a	n/a	1
76.759	0.649989564	STOOL	lure	n/a	n/a	n/a	1
77.409	0.316711958	CHILI	lure	n/a	n/a	n/a	1
77.726	0.566604197	VELVET	lure	n/a	n/a	n/a	1
78.293	0.549996983	TEMPEST	lure	n/a	n/a	n/a	1
78.843	0.516660901	ROYALTY	lure	n/a	n/a	n/a	1
79.359	0.483326961	DRIFTWOOD	lure	n/a	n/a	n/a	1
79.843	0.633323054	COMPOSER	lure	n/a	n/a	n/a	1
80.476	0.349994483	HEADLIGHT	lure	n/a	n/a	n/a	1
80.826	2.01664033	CRAYON	long	n/a	n/a	n/a	1
82.843	0.383368835	GIBBERISH	lure	n/a	n/a	n/a	1
83.226	0.43328933	BARRIER	lure	n/a	n/a	n/a	1
83.659	0.599988961	CRUMB	lure	n/a	n/a	n/a	1
84.259	0.700033414	KITTEN	lure	n/a	n/a	n/a	1
84.959	0.483283519	SEMICIRCLE	lure	n/a	n/a	n/a	1
85.443	0.56665107	PETTICOAT	lure	n/a	n/a	n/a	1
86.009	0.433334374	EPISTLE	lure	n/a	n/a	n/a	1
86.443	0.516715402	PIGTAIL	lure	n/a	n/a	n/a	1
86.959	0.683268932	PHONECALL	lure	n/a	n/a	n/a	1
87.643	0.649988549	ENAMEL	lure	n/a	n/a	n/a	1
88.293	0.349994731	LATTICE	lure	n/a	n/a	n/a	1
88.643	1.016741311	LIME	fruit	820	2	2	1
89.659	0.566634776	SHIPLOAD	lure	n/a	n/a	n/a	1
90.226	0.666861312	VILLAGER	lure	n/a	n/a	n/a	1
90.893	0.416390443	POSTCODE	lure	n/a	n/a	n/a	1
91.309	0.549994429	PASTRY	lure	n/a	n/a	n/a	1
91.859	0.650046326	SOLDIERY	lure	n/a	n/a	n/a	1
92.509	0.416601397	LUMINOSITY	lure	n/a	n/a	n/a	1
92.926	0.416663566	SHOWMEN	lure	n/a	n/a	n/a	1
93.343	0.483329273	SPECTER	lure	n/a	n/a	n/a	1
93.826	0.683381453	DOORHANDLE	lure	n/a	n/a	n/a	1
94.509	0.69992518	SAILCLOTH	lure	n/a	n/a	n/a	1
