onset	duration	stim	cond	RT	resp	cresp	acc
4.052	0.463774766	NOBILITY	lure	n/a	n/a	n/a	1
4.516	0.516653182	ANNUITY	lure	n/a	n/a	n/a	1
5.033	0.38333296	BISON	lure	n/a	n/a	n/a	1
5.416	0.366663045	PATHOLOGY	lure	n/a	n/a	n/a	1
5.783	0.633318383	KAISER	lure	n/a	n/a	n/a	1
6.416	0.666663946	POSSESSOR	lure	n/a	n/a	n/a	1
7.083	0.649984471	NEEDLEWORK	lure	n/a	n/a	n/a	1
7.733	0.533325884	RESISTANCE	lure	n/a	n/a	n/a	1
8.266	0.616664178	ORNAMENT	short	n/a	n/a	n/a	1
8.883	0.466659671	FIRESIDE	lure	n/a	n/a	n/a	1
9.35	0.433326329	COMMOTION	lure	n/a	n/a	n/a	1
9.783	0.333330884	CELL	lure	n/a	n/a	n/a	1
10.116	0.449987223	HARDTACK	lure	n/a	n/a	n/a	1
10.566	0.400034356	BICYCLE	lure	n/a	n/a	n/a	1
10.966	0.649956545	RYE	lure	n/a	n/a	n/a	1
11.616	0.499991398	ASYMMETRY	lure	n/a	n/a	n/a	1
12.116	0.349997611	PITFALL	lure	n/a	n/a	n/a	1
12.466	0.566656741	NEWSREEL	lure	n/a	n/a	n/a	1
13.033	0.516661868	THING	lure	n/a	n/a	n/a	1
13.549	0.566658501	BARBARITY	lure	n/a	n/a	n/a	1
14.116	0.733322014	SIGNATURE	lure	n/a	n/a	n/a	1
14.849	0.333324283	FROCK	lure	n/a	n/a	n/a	1
15.183	0.333332767	COLLARBONE	lure	n/a	n/a	n/a	1
15.516	0.366660584	MANNEQUIN	lure	n/a	n/a	n/a	1
15.883	0.333329585	FLUX	lure	n/a	n/a	n/a	1
16.216	0.616659591	RIDGE	short	n/a	n/a	n/a	1
16.833	0.316698891	IMPULSE	lure	n/a	n/a	n/a	1
17.149	0.516622172	SNOUT	lure	n/a	n/a	n/a	1
17.666	0.466659684	EYEFUL	lure	n/a	n/a	n/a	1
18.133	0.449993677	PERTINENCE	lure	n/a	n/a	n/a	1
18.583	0.683323744	FUNERAL	lure	n/a	n/a	n/a	1
19.266	0.733374685	AVOCATION	lure	n/a	n/a	n/a	1
19.999	0.666606917	FOOTER	lure	n/a	n/a	n/a	1
