onset	duration	cond	RT	resp	cresp	acc
5.003	0.917	face	n/a	n/a	n/a	1
6.003	0.917	face	n/a	n/a	n/a	1
7.003	0.917	face	682	2	2	1
8.003	0.917	face	n/a	n/a	n/a	1
9.003	0.918	face	674	2	2	1
10.003	0.9	face	n/a	n/a	n/a	1
11.003	0.917	face	n/a	n/a	n/a	1
12.003	0.917	face	n/a	n/a	n/a	1
13.003	0.917	face	538	2	2	1
14.003	0.917	face	n/a	n/a	n/a	1
15.003	0.917	face	618	2	2	1
16.003	0.917	face	n/a	n/a	n/a	1
17.003	0.917	face	650	2	2	1
18.003	0.917	face	n/a	n/a	n/a	1
19.003	0.917	face	n/a	n/a	n/a	1
20.003	0.917	face	n/a	n/a	2	0
31.053	0.917	word	n/a	n/a	n/a	1
32.003	0.917	word	n/a	n/a	n/a	1
33.003	0.917	word	466	2	2	1
34.003	0.917	word	n/a	n/a	n/a	1
35.003	0.917	word	530	2	2	1
36.003	0.917	word	n/a	n/a	n/a	1
37.003	0.917	word	n/a	n/a	n/a	1
38.003	0.917	word	458	2	2	1
39.003	0.9	word	n/a	n/a	n/a	1
40.003	0.917	word	n/a	n/a	n/a	1
41.003	0.917	word	n/a	n/a	n/a	1
42.003	0.917	word	442	2	2	1
43.003	0.917	word	n/a	n/a	n/a	1
44.003	0.917	word	538	2	2	1
45.003	0.9	word	n/a	n/a	n/a	1
46.003	0.9	word	562	2	2	1
57.036	0.917	car	n/a	n/a	n/a	1
58.003	0.917	car	n/a	n/a	n/a	1
59.003	0.918	car	418	2	2	1
60.003	0.917	car	n/a	n/a	n/a	1
61.003	0.917	car	410	2	2	1
62.003	0.917	car	n/a	n/a	n/a	1
63.003	0.917	car	530	2	2	1
64.003	0.917	car	n/a	n/a	n/a	1
65.003	0.917	car	n/a	n/a	n/a	1
66.003	0.917	car	n/a	n/a	2	0
67.003	0.917	car	578	2	n/a	0
68.003	0.917	car	842	2	2	1
69.003	0.917	car	n/a	n/a	n/a	1
70.003	0.917	car	618	2	2	1
71.003	0.917	car	n/a	n/a	n/a	1
72.003	0.917	car	n/a	n/a	n/a	1
83.052	0.9	scene	n/a	n/a	n/a	1
84.002	0.917	scene	691	2	2	1
85.002	0.917	scene	n/a	n/a	n/a	1
86.002	0.917	scene	n/a	n/a	n/a	1
87.002	0.9	scene	n/a	n/a	n/a	1
88.002	0.9	scene	n/a	n/a	n/a	1
89.007	0.912	scene	446	2	2	1
90.002	0.9	scene	n/a	n/a	n/a	1
91.002	0.917	scene	515	2	2	1
92.002	0.9	scene	n/a	n/a	n/a	1
93.006	0.912	scene	n/a	n/a	n/a	1
94.002	0.917	scene	451	2	2	1
95.002	0.917	scene	n/a	n/a	n/a	1
96.002	0.917	scene	731	2	2	1
97.002	0.917	scene	n/a	n/a	n/a	1
98.002	0.917	scene	475	2	2	1
109.052	0.917	face	n/a	n/a	n/a	1
110.002	0.917	face	627	2	2	1
111.002	0.917	face	n/a	n/a	n/a	1
112.002	0.917	face	419	2	2	1
113.002	0.917	face	n/a	n/a	n/a	1
114.002	0.9	face	363	2	2	1
115.002	0.917	face	n/a	n/a	n/a	1
116.002	0.917	face	n/a	n/a	n/a	1
117.002	0.917	face	n/a	n/a	n/a	1
118.002	0.917	face	475	2	2	1
119.002	0.917	face	n/a	n/a	n/a	1
120.002	0.917	face	443	2	2	1
121.002	0.917	face	n/a	n/a	n/a	1
122.002	0.917	face	n/a	n/a	n/a	1
123.002	0.917	face	n/a	n/a	2	0
124.002	0.917	face	n/a	n/a	n/a	1
135.068	0.9	scene	n/a	n/a	n/a	1
136.002	0.917	scene	491	2	2	1
137.002	0.917	scene	n/a	n/a	n/a	1
138.002	0.917	scene	395	2	2	1
139.002	0.917	scene	n/a	n/a	n/a	1
140.002	0.917	scene	n/a	n/a	n/a	1
141.002	0.917	scene	755	2	2	1
142.002	0.917	scene	n/a	n/a	n/a	1
143.002	0.917	scene	427	2	2	1
144.001	0.9	scene	n/a	n/a	n/a	1
145.001	0.917	scene	n/a	n/a	n/a	1
146.002	0.917	scene	n/a	n/a	n/a	1
147.001	0.917	scene	n/a	n/a	n/a	1
148.001	0.917	scene	411	2	2	1
149.001	0.917	scene	n/a	n/a	n/a	1
150.001	0.917	scene	468	2	2	1
161.069	0.916	car	n/a	n/a	n/a	1
162.018	0.917	car	n/a	n/a	n/a	1
163.001	0.917	car	n/a	n/a	n/a	1
164.001	0.917	car	548	2	2	1
165.001	0.917	car	n/a	n/a	n/a	1
166.001	0.917	car	n/a	n/a	n/a	1
167.001	0.917	car	844	2	2	1
168.001	0.917	car	n/a	n/a	n/a	1
169.001	0.917	car	508	2	2	1
170.001	0.917	car	n/a	n/a	n/a	1
171.001	0.917	car	540	2	2	1
172.001	0.917	car	n/a	n/a	n/a	1
173.001	0.917	car	n/a	n/a	n/a	1
174.001	0.917	car	532	2	2	1
175.001	0.917	car	n/a	n/a	n/a	1
176.001	0.917	car	404	2	2	1
187.068	0.917	word	n/a	n/a	n/a	1
188.018	0.917	word	483	2	2	1
189.001	0.917	word	n/a	n/a	n/a	1
190.001	0.917	word	340	2	2	1
191.001	0.917	word	n/a	n/a	n/a	1
192.001	0.917	word	n/a	n/a	n/a	1
193.001	0.917	word	n/a	n/a	n/a	1
194.001	0.917	word	n/a	n/a	n/a	1
195.001	0.917	word	532	2	2	1
196.001	0.917	word	n/a	n/a	n/a	1
197.001	0.9	word	340	2	2	1
198.001	0.917	word	n/a	n/a	n/a	1
199.001	0.917	word	372	2	2	1
200.001	0.917	word	n/a	n/a	n/a	1
201.001	0.917	word	404	2	2	1
202.001	0.917	word	n/a	n/a	n/a	1
213.067	0.917	face	n/a	n/a	n/a	1
214.017	0.917	face	556	2	2	1
215.001	0.917	face	n/a	n/a	n/a	1
216.001	0.917	face	n/a	n/a	n/a	1
217	0.917	face	n/a	n/a	n/a	1
218	0.9	face	533	2	2	1
219.017	0.917	face	n/a	n/a	n/a	1
220	0.9	face	n/a	n/a	n/a	1
221.017	0.917	face	508	2	2	1
222	0.917	face	n/a	n/a	n/a	1
223	0.917	face	413	2	2	1
224	0.917	face	n/a	n/a	n/a	1
225	0.917	face	317	2	2	1
226	0.917	face	n/a	n/a	n/a	1
227	0.917	face	533	2	2	1
228	0.917	face	n/a	n/a	n/a	1
239.067	0.917	car	n/a	n/a	n/a	1
240.017	0.917	car	n/a	n/a	n/a	1
241	0.917	car	413	2	n/a	0
242	0.917	car	901	2	2	1
243	0.917	car	n/a	n/a	n/a	1
244	0.9	car	n/a	n/a	n/a	1
245	0.917	car	453	2	2	1
246	0.917	car	n/a	n/a	n/a	1
247	0.917	car	533	2	2	1
248	0.917	car	n/a	n/a	n/a	1
249	0.917	car	n/a	n/a	n/a	1
250	0.917	car	485	2	2	1
251	0.917	car	n/a	n/a	n/a	1
252	0.917	car	397	2	2	1
253	0.917	car	n/a	n/a	n/a	1
254	0.917	car	461	2	2	1
265.069	0.914	scene	n/a	n/a	n/a	1
266.016	0.917	scene	n/a	n/a	n/a	1
267	0.917	scene	n/a	n/a	n/a	1
268	0.919	scene	573	2	2	1
269	0.917	scene	n/a	n/a	n/a	1
270	0.917	scene	533	2	2	1
271	0.9	scene	n/a	n/a	n/a	1
272	0.917	scene	445	2	2	1
273	0.917	scene	n/a	n/a	n/a	1
274	0.917	scene	405	2	2	1
275	0.917	scene	n/a	n/a	n/a	1
276	0.917	scene	517	2	2	1
277	0.917	scene	n/a	n/a	n/a	1
278	0.919	scene	541	2	2	1
279	0.917	scene	n/a	n/a	n/a	1
280	0.917	scene	n/a	n/a	n/a	1
291.066	0.917	word	n/a	n/a	n/a	1
292.016	0.917	word	405	2	2	1
292.999	0.9	word	n/a	n/a	n/a	1
293.999	0.917	word	n/a	n/a	n/a	1
294.999	0.917	word	502	2	2	1
295.999	0.917	word	n/a	n/a	n/a	1
296.999	0.917	word	478	2	2	1
298.004	0.912	word	n/a	n/a	n/a	1
298.999	0.917	word	414	2	2	1
