onset	duration	stim	cond	RT	resp	cresp	acc
4.046	0.647039447	TOUCHSTONE	lure	n/a	n/a	n/a	1
4.693	0.433327689	FRONTAGE	lure	n/a	n/a	n/a	1
5.126	0.416662557	EXTRUSION	lure	n/a	n/a	n/a	1
5.543	0.500039585	BANDIT	lure	n/a	n/a	n/a	1
6.043	0.483281899	BANKER	lure	n/a	n/a	n/a	1
6.526	0.451132013	AIRCREW	lure	n/a	n/a	n/a	1
6.977	0.398855507	BIRDSEED	lure	n/a	n/a	n/a	1
7.376	0.583322412	TURTLE	lure	n/a	n/a	n/a	1
7.959	2.016639657	LABEL	long	n/a	n/a	n/a	1
9.976	0.499987442	SHAW	lure	n/a	n/a	n/a	1
10.476	0.633329978	CLOVER	lure	n/a	n/a	n/a	1
11.109	0.316657236	BRA	lure	n/a	n/a	n/a	1
11.426	0.583325603	ENSIGN	lure	n/a	n/a	n/a	1
12.009	0.383331563	MEANIE	lure	n/a	n/a	n/a	1
12.393	0.383330144	INKWELL	lure	n/a	n/a	n/a	1
12.776	0.383329721	GRENADINE	lure	n/a	n/a	n/a	1
13.159	0.433324143	SPATULA	lure	263	2	n/a	0
13.593	0.316663777	OPENER	lure	n/a	n/a	n/a	1
13.909	0.333324465	TICKER	lure	n/a	n/a	n/a	1
14.243	0.449992783	BLOOMER	lure	n/a	n/a	n/a	1
14.693	0.583328118	ADMIRALTY	lure	n/a	n/a	n/a	1
15.276	0.487876155	SIERRA	lure	n/a	n/a	n/a	1
15.764	0.432564473	ANKLET	lure	n/a	n/a	n/a	1
16.196	0.614562565	MATTER	short	n/a	n/a	n/a	1
16.811	0.481635703	BONDSMAN	lure	n/a	n/a	n/a	1
17.292	0.683324288	YOUNGSTER	lure	n/a	n/a	n/a	1
17.976	0.533327519	CREAMERY	lure	n/a	n/a	n/a	1
18.509	0.483327776	GAINER	lure	233	2	n/a	0
18.992	0.333321265	BROWNING	lure	n/a	n/a	n/a	1
19.326	0.533330395	MEADOW	lure	n/a	n/a	n/a	1
19.859	0.384635994	CRANIUM	lure	n/a	n/a	n/a	1
20.244	0.452563509	MILLENNIUM	lure	n/a	n/a	n/a	1
20.696	0.629444709	PASSENGER	lure	n/a	n/a	n/a	1
21.326	0.400685543	SESSION	lure	n/a	n/a	n/a	1
21.726	0.599303274	MERGER	lure	n/a	n/a	n/a	1
22.326	0.483325924	VEGETABLE	lure	n/a	n/a	n/a	1
22.809	0.733323869	HEADLINE	lure	n/a	n/a	n/a	1
23.542	0.399994254	MOCHA	lure	n/a	n/a	n/a	1
23.942	0.733322918	WRAPPER	lure	n/a	n/a	n/a	1
24.676	0.649991334	ROCK	short	n/a	n/a	n/a	1
25.326	0.43332595	CEREBELLUM	lure	n/a	n/a	n/a	1
25.759	0.566659476	PRIVILEGE	lure	n/a	n/a	n/a	1
26.326	0.616659983	INFLICTION	lure	n/a	n/a	n/a	1
26.942	0.583324596	CHEESE	lure	n/a	n/a	n/a	1
27.526	0.333328007	BRINK	lure	n/a	n/a	n/a	1
27.859	0.766660615	CORKSCREW	lure	n/a	n/a	n/a	1
28.626	0.466726979	BYLAW	lure	n/a	n/a	n/a	1
29.092	0.683300539	ELOQUENCE	lure	n/a	n/a	n/a	1
29.776	0.500006189	POLICEMAN	lure	n/a	n/a	n/a	1
30.276	0.784760834	DOORKEEPER	lure	n/a	n/a	n/a	1
31.06	0.415161246	JUBILEE	lure	n/a	n/a	n/a	1
31.476	0.499992626	UNICORN	lure	n/a	n/a	n/a	1
31.976	0.466661937	HOTPLATE	lure	n/a	n/a	n/a	1
32.442	0.466658242	COOKBOOK	lure	n/a	n/a	n/a	1
32.909	1.016653955	BERRY	fruit	610	2	2	1
33.926	0.437988708	LIQUIDITY	lure	n/a	n/a	n/a	1
34.364	0.362000479	EYELID	lure	n/a	n/a	n/a	1
34.726	0.44998908	ARCHDUKE	lure	n/a	n/a	n/a	1
35.176	0.533330126	VENTURER	lure	n/a	n/a	n/a	1
35.709	0.34999629	HEXAGRAM	lure	n/a	n/a	n/a	1
36.059	0.383326736	ROPEWALK	lure	n/a	n/a	n/a	1
36.442	0.366662448	DEERSKIN	lure	n/a	n/a	n/a	1
36.809	0.616658216	REMISSION	lure	n/a	n/a	n/a	1
37.426	0.399994515	IMMUNOLOGY	lure	n/a	n/a	n/a	1
37.826	0.383326783	COLONEL	lure	n/a	n/a	n/a	1
38.209	0.499995861	DIAPER	lure	n/a	n/a	n/a	1
38.709	0.599989686	PUBLICITY	lure	n/a	n/a	n/a	1
39.309	0.31665768	VECTOR	lure	n/a	n/a	n/a	1
