onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.037	11	MIST	warmup	1	1527	1	5	0	2788	19,33,72,43
26.721	11	RUST	omit	5	1453	0	2	1	1803	10,18,43,55
47.02	11	LEAF	short	2	593	0	2	1	1439	22,15,72,79
67.003	11	FRONTIER	lure	1	714	1	5	0	1580	18,36,55,73
87.02	11	GALLON	long	5	626	0	3	2	2455	82,19,74,15
107.019	11	OUTLET	lure	1	1882	1	5	0	1575	22,10,73,06
127.019	11	ORNAMENT	long	2	2922	0	2	1	1872	29,72,79,06
147.019	11	NAIL	lure	1	899	1	5	0	1270	16,74,73,67
167.006	11	COAL	short	3	754	0	5	4	1482	79,30,29,06
187.002	11	PICK	omit	3	1780	1	3	3	2398	36,77,61,64
207.018	11	MONSOON	lure	1	827	1	4	0	2841	78,79,53,06
227.004	11	SPARK	short	4	692	0	4	3	1928	53,28,30,58
247.005	11	MACHINE	lure	1	1197	0	n/a	0	n/a	53,33,58,74
267.003	11	CURB	lure	n/a	-1000	0	n/a	0	n/a	61,79,73,53
287	11	MAGNET	omit	3	741	0	2	1	1380	36,78,19,51
307.004	11	STADIUM	long	5	637	0	4	3	1434	15,64,73,58
327.003	11	GLASS	lure	1	742	0	n/a	0	n/a	43,61,28,82
347.004	11	SPEAR	omit	4	1630	0	4	3	784	70,33,28,18
367.002	11	PUPPET	long	3	1341	0	5	4	1011	74,79,67,54
386.999	11	BRIDGE	short	3	431	0	3	2	1683	77,64,15,53
407.002	11	PUMP	lure	1	999	0	n/a	0	n/a	78,22,47,28
426.998	11	CLUB	lure	1	647	0	n/a	0	n/a	74,67,64,36
446.999	11	LAKE	short	3	1432	0	4	3	717	36,15,58,18
466.998	11	PISTOL	long	3	448	0	2	1	1362	53,58,72,79
486.997	11	HILL	lure	1	2568	0	n/a	0	n/a	58,72,54,77
506.997	11	DUST	omit	2	1360	0	2	1	2446	77,19,82,70
526.997	11	FLAG	lure	1	617	0	n/a	0	n/a	29,79,10,67
546.997	11	BANNER	short	5	793	0	4	3	1032	30,53,33,77
566.996	11	WHEEL	omit	3	945	0	4	3	727	18,64,70,74
586.997	11	ROAD	lure	1	506	0	n/a	0	n/a	58,77,28,18
606.996	11	BRAKE	long	4	1354	0	4	3	752	16,47,78,74
626.979	11	TUNNEL	omit	5	531	0	2	1	1295	72,15,30,18
646.995	11	BUCKET	short	2	986	0	4	3	2311	22,79,43,74
666.995	11	BRASS	lure	1	1203	0	n/a	0	n/a	82,29,73,30
686.995	11	ELBOW	lure	1	707	0	n/a	0	n/a	22,47,64,15
706.994	11	GRAVEL	long	3	363	0	5	4	1793	61,82,79,55
726.994	11	PYRAMID	short	3	1556	0	4	3	938	82,64,47,10
746.994	11	SAND	lure	1	1508	0	n/a	0	n/a	72,15,16,33
766.993	11	CHALK	long	3	652	0	5	4	994	78,82,73,16
786.977	11	CLOTH	lure	1	813	0	n/a	0	n/a	61,55,51,33
806.981	11	QUILL	omit	3	1693	0	3	2	1500	72,74,58,64
826.981	11	GALLERY	lure	1	1070	0	n/a	0	n/a	55,22,16,72
846.98	11	CURTAIN	long	4	916	0	n/a	3	n/a	43,10,67,28
866.979	11	PIER	omit	1	1148	0	5	1	2019	79,53,74,29
886.979	11	MOON	lure	1	685	0	n/a	0	n/a	19,61,16,73
906.975	11	TICKET	short	4	1919	0	5	4	668	18,54,16,51
926.991	11	CHISEL	lure	1	1046	0	n/a	0	n/a	33,58,29,77
946.974	11	PIN	short	3	1111	0	2	1	1506	18,74,54,16
966.978	11	PATCH	omit	3	861	0	2	1	1382	82,51,58,72
986.974	11	NICKEL	lure	1	1640	0	n/a	0	n/a	51,18,43,79
1006.973	11	MAZE	long	5	968	0	4	3	1422	70,22,15,30
