onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.035	11	MIST	practice	2	690	1	2	2345	2352	54,07,69,39
26.001	11	DISC	short	4	284	1	3	3	1082	60,06,50,05
46.002	11	CLIFF	lure	1	436	1	2	2345	3154	70,46,07,12
66	11	TRUCK	long	3	268	1	4	4	1194	60,70,69,23
86	11	SWORD	lure	3	645	1	3	2345	2259	75,60,01,21
106.001	11	TEAR	omit	5	517	1	4	4	1016	58,34,60,54
126	11	SPONGE	lure	2	1309	1	3	2345	1755	50,34,23,70
145.999	11	COUNCIL	omit	5	701	1	4	4	1019	54,70,21,79
165.999	11	MARKET	long	4	1398	1	5	5	1556	06,69,49,70
186.001	11	CLOTH	short	3	638	1	4	4	1444	60,05,79,46
205.998	11	PLANK	lure	3	598	1	4	2345	2205	50,01,66,30
225.999	11	BUCKLE	lure	1	1142	1	2	2345	2461	50,66,60,01
245.999	11	SAWDUST	lure	3	2415	1	2	2345	2197	01,02,46,50
265.998	11	CHALK	short	3	815	1	4	4	709	12,78,30,50
285.997	11	MATTER	omit	5	111	1	5	5	813	49,80,72,50
305.997	11	STEEL	long	4	320	1	2	2	1294	39,79,12,34
325.997	11	HOSE	short	4	312	1	3	3	974	58,75,72,12
345.997	11	BATON	omit	3	328	1	3	3	934	21,35,23,72
365.996	11	NAIL	lure	2	1016	1	4	2345	1614	01,23,21,69
385.979	11	CLOAK	lure	3	313	1	4	2345	1911	43,24,58,79
405.996	11	PURSE	long	5	657	1	5	5	975	30,07,80,01
425.997	11	PIER	omit	5	1441	1	4	4	1055	21,30,54,70
445.995	11	COAT	long	5	466	1	3	3	736	39,72,46,02
465.995	11	BOTTLE	short	4	386	1	5	5	648	39,21,70,49
485.995	11	RAMP	lure	3	394	1	4	2345	1576	69,79,54,70
505.994	11	MACHINE	lure	2	1506	1	3	2345	2336	60,02,70,69
525.994	11	ACRE	lure	2	2171	1	2	2345	2321	78,05,54,46
545.994	11	JAIL	long	5	419	1	3	3	969	82,16,23,21
565.994	11	HOOD	short	5	1539	1	4	4	881	72,23,02,49
585.993	11	ISLAND	omit	5	643	1	3	3	833	01,43,46,66
605.993	11	MORNING	lure	2	476	1	4	2345	2658	69,43,58,46
625.976	11	MALLET	short	3	381	1	3	3	699	80,12,49,54
645.977	11	APRON	long	3	1613	1	4	4	1227	06,60,07,34
665.975	11	PUDDLE	lure	1	301	1	5	2345	2163	80,49,12,46
685.979	11	CHROME	omit	3	341	1	4	4	1235	72,58,05,07
705.978	11	CANOE	lure	2	1117	1	4	2345	2332	75,50,30,16
725.975	11	HURDLE	short	5	830	1	2	2	1052	78,01,34,43
745.979	11	RAINDROP	long	3	357	1	4	4	1156	79,06,34,78
765.974	11	EARTHQUAKE	lure	1	487	1	3	2345	2341	80,69,72,78
785.978	11	SACK	lure	2	471	1	3	2345	2197	21,23,02,46
805.974	11	PAINT	omit	3	343	1	5	5	1084	24,43,49,66
825.974	11	NOTE	omit	3	2279	1	4	4	1245	75,34,58,39
845.974	11	STAKE	long	3	1144	1	3	3	1270	75,24,82,06
865.973	11	PORTAL	short	4	488	1	4	4	1366	60,24,82,49
885.973	11	BRAKE	lure	1	464	1	4	2345	1942	34,07,49,05
905.973	11	NOVEL	lure	4	1273	1	4	2345	2335	46,06,58,72
925.973	11	FRONTIER	lure	3	657	1	2	2345	2871	43,12,02,06
945.972	11	HAIRPIN	omit	3	225	1	4	4	1279	02,34,46,23
965.971	11	DRILL	short	5	89	1	4	4	1191	30,34,80,79
985.971	11	CARD	long	5	322	1	3	3	776	70,23,69,72
1005.971	11	PICTURE	lure	3	594	1	5	2345	2504	75,39,66,05
