onset	duration	stim	cond	RT	resp	cresp	acc
4.045	0.315774079	CABBY	lure	n/a	n/a	n/a	1
4.361	0.749992698	SPECTRA	lure	n/a	n/a	n/a	1
5.111	0.36666012	KING	lure	n/a	n/a	n/a	1
5.477	0.433329105	CONSUMER	lure	n/a	n/a	n/a	1
5.911	0.566652882	BILLFOLD	lure	n/a	n/a	n/a	1
6.477	0.699990679	MANNER	lure	n/a	n/a	n/a	1
7.177	0.566656946	TONSIL	lure	n/a	n/a	n/a	1
7.744	0.584557638	SYMMETRY	lure	n/a	n/a	n/a	1
8.329	0.615434729	DRILL	short	n/a	n/a	n/a	1
8.944	0.516652282	ZONE	lure	n/a	n/a	n/a	1
9.461	0.616656446	DAYDREAM	lure	n/a	n/a	n/a	1
10.077	0.333334688	DEMOLITION	lure	n/a	n/a	n/a	1
10.411	0.733317108	LAWMEN	lure	n/a	n/a	n/a	1
11.144	0.733364038	INFERENCE	lure	n/a	n/a	n/a	1
11.877	0.483293669	AFFAIR	lure	n/a	n/a	n/a	1
12.361	0.58331749	SERGE	lure	n/a	n/a	n/a	1
12.944	0.449999437	FACADE	lure	n/a	n/a	n/a	1
13.394	0.599994673	PURIST	lure	n/a	n/a	n/a	1
13.994	0.699986064	OUTGROWTH	lure	n/a	n/a	n/a	1
14.694	0.516663873	PAYOFF	lure	n/a	n/a	n/a	1
15.211	0.383372478	GARMENT	lure	n/a	n/a	n/a	1
15.594	0.583273107	BOW	lure	n/a	n/a	n/a	1
16.177	0.366670566	BUTTONHOOK	lure	n/a	n/a	n/a	1
16.544	0.616657617	PORTAL	short	n/a	n/a	n/a	1
17.161	0.666651775	WHISKY	lure	n/a	n/a	n/a	1
17.827	0.333336258	EPICENTER	lure	n/a	n/a	n/a	1
18.161	0.699984657	SYMPOSIUM	lure	n/a	n/a	n/a	1
18.861	0.549994758	REDNECK	lure	n/a	n/a	n/a	1
19.411	0.499992072	HOLOGRAPH	lure	n/a	n/a	n/a	1
19.911	0.45162317	ACCORDANCE	lure	n/a	n/a	n/a	1
20.362	0.315081475	PREVISION	lure	n/a	n/a	n/a	1
20.677	0.749944766	SPARSITY	lure	n/a	n/a	n/a	1
21.427	0.333327582	CONTIGUITY	lure	n/a	n/a	n/a	1
21.761	0.616722289	ENSEMBLE	lure	n/a	n/a	n/a	1
22.377	0.616628223	CARNATION	lure	n/a	n/a	n/a	1
22.994	0.553492907	RIM	lure	n/a	n/a	n/a	1
23.547	0.429833974	EYELET	lure	n/a	n/a	n/a	1
23.977	0.416663163	SQUATTER	lure	n/a	n/a	n/a	1
24.394	0.533324073	PILLOWCASE	lure	n/a	n/a	n/a	1
24.927	1.04998921	KIWI	fruit	774	2	2	1
25.977	0.666673497	SLAPSTICK	lure	n/a	n/a	n/a	1
26.644	0.39993483	DINGO	lure	n/a	n/a	n/a	1
27.044	0.56665926	CONQUEST	lure	n/a	n/a	n/a	1
27.61	0.683368575	SCRUTINY	lure	n/a	n/a	n/a	1
28.294	0.58327958	CEREBELLUM	lure	n/a	n/a	n/a	1
28.877	0.74998801	CHEVRON	lure	n/a	n/a	n/a	1
29.627	0.316660012	EMBANKMENT	lure	n/a	n/a	n/a	1
29.944	0.316699131	CABDRIVER	lure	n/a	n/a	n/a	1
30.26	0.666623455	KEYPUNCH	lure	n/a	n/a	n/a	1
30.927	0.449990077	GENEROSITY	lure	n/a	n/a	n/a	1
31.377	0.400039405	CROQUET	lure	n/a	n/a	n/a	1
31.777	0.33328227	WISHBONE	lure	n/a	n/a	n/a	1
32.11	0.751151242	PRODUCT	lure	n/a	n/a	n/a	1
32.862	0.465497897	GIN	lure	n/a	n/a	n/a	1
33.327	1.016656317	BLUEBERRY	fruit	654	2	2	1
34.344	0.716659528	LEGION	lure	n/a	n/a	n/a	1
35.06	0.449995476	IMMINENCE	lure	n/a	n/a	n/a	1
35.51	0.483323648	FIDELITY	lure	n/a	n/a	n/a	1
35.994	0.699991109	DRAY	lure	n/a	n/a	n/a	1
36.694	0.483329413	DUSK	lure	n/a	n/a	n/a	1
37.177	0.483327094	SYNONYM	lure	n/a	n/a	n/a	1
37.66	0.483319431	BRAINWAVE	lure	n/a	n/a	n/a	1
38.144	0.583325387	DISK	lure	n/a	n/a	n/a	1
38.727	0.533325931	MANICURIST	lure	n/a	n/a	n/a	1
39.26	0.551500644	FRESHMEN	lure	n/a	n/a	n/a	1
39.812	0.315153887	BASEBOARD	lure	n/a	n/a	n/a	1
40.127	0.516660717	SHORTSTOP	lure	n/a	n/a	n/a	1
40.644	0.583324775	STOOGE	lure	n/a	n/a	n/a	1
41.227	0.349995741	INDENT	lure	n/a	n/a	n/a	1
41.577	2.050072235	JAIL	long	n/a	n/a	n/a	1
43.627	0.366560943	STORY	lure	n/a	n/a	n/a	1
