onset	duration	stim	cond	dur	RT	resp	cresp	acc
4.053	0.33333208	HILT	lure	n/a	n/a	n/a	n/a	1
4.386	0.349992904	TUBA	lure	n/a	n/a	n/a	n/a	1
4.736	0.716652135	CEMETERY	lure	n/a	n/a	n/a	n/a	1
5.453	0.333334656	INTRUDER	lure	n/a	n/a	n/a	n/a	1
5.786	0.733316766	DIVINITY	lure	n/a	n/a	n/a	n/a	1
6.519	0.666708664	VENTILATOR	lure	n/a	n/a	n/a	n/a	1
7.186	0.583279969	MISMATCH	lure	n/a	n/a	n/a	n/a	1
7.769	0.616656861	TUNNEL	short	n/a	n/a	n/a	n/a	1
8.386	0.633324865	FORMALITY	lure	n/a	n/a	n/a	n/a	1
9.019	0.516656755	ENTICEMENT	lure	n/a	n/a	n/a	n/a	1
9.536	0.39999059	SLEEPER	lure	n/a	n/a	n/a	n/a	1
9.936	0.670146793	PRESENCE	lure	n/a	n/a	n/a	n/a	1
10.606	0.646507067	EGOTISM	lure	n/a	n/a	n/a	n/a	1
11.253	0.416657787	STY	lure	n/a	n/a	n/a	n/a	1
11.669	0.68337101	GASKET	lure	n/a	n/a	n/a	n/a	1
12.353	0.749938689	INSISTENCE	lure	n/a	n/a	n/a	n/a	1
13.103	0.516663438	RAILROAD	lure	n/a	n/a	n/a	n/a	1
13.619	0.466660809	FRACTION	lure	n/a	n/a	n/a	n/a	1
14.086	0.616655493	CURLER	lure	n/a	n/a	n/a	n/a	1
14.703	0.499994532	EVICTION	lure	n/a	n/a	n/a	n/a	1
15.203	0.383331578	MANNEQUIN	lure	n/a	n/a	n/a	n/a	1
15.586	0.466658246	PROSECUTOR	lure	n/a	n/a	n/a	n/a	1
16.053	0.616656103	SUDS	short	n/a	n/a	n/a	n/a	1
16.669	0.483328416	CUISINE	lure	n/a	n/a	n/a	n/a	1
17.153	0.616659196	GOTHICISM	lure	n/a	n/a	n/a	n/a	1
17.769	0.666654265	RADICALISM	lure	n/a	n/a	n/a	n/a	1
18.436	0.749993307	PANDA	lure	n/a	n/a	n/a	n/a	1
19.186	0.716653679	WINDER	lure	n/a	n/a	n/a	n/a	1
19.903	0.466660178	POPCORN	lure	n/a	n/a	n/a	n/a	1
20.369	0.64998879	GROWTH	lure	n/a	n/a	n/a	n/a	1
21.019	0.599990626	Un/aEST	lure	n/a	n/a	n/a	n/a	1
21.619	0.733322325	COLONY	lure	n/a	n/a	n/a	n/a	1
22.353	0.733323866	CRESCENDO	lure	n/a	n/a	n/a	n/a	1
23.086	0.433326367	CONDENSER	lure	n/a	n/a	n/a	n/a	1
23.519	0.416658475	EVILDOER	lure	n/a	n/a	n/a	n/a	1
23.936	2.016641843	DIRT	long	n/a	n/a	n/a	n/a	1
25.953	0.333325011	CROSSBEAM	lure	n/a	n/a	n/a	n/a	1
26.286	0.616656688	TRADESMAN	lure	n/a	n/a	n/a	n/a	1
26.903	0.583333931	AIRPORT	lure	n/a	n/a	n/a	n/a	1
27.486	0.516654786	CLOSET	lure	n/a	n/a	n/a	n/a	1
28.003	0.399996409	GUST	lure	n/a	n/a	n/a	n/a	1
28.402	0.683319869	LEGUME	lure	n/a	n/a	n/a	n/a	1
29.086	0.483323984	MIDRIFF	lure	n/a	n/a	n/a	n/a	1
29.569	0.616663783	VIGIL	lure	n/a	n/a	n/a	n/a	1
30.186	0.683320605	BYPRODUCT	lure	n/a	n/a	n/a	n/a	1
30.869	0.4666556	BACKBEND	lure	n/a	n/a	n/a	n/a	1
31.336	0.483329733	INCREMENT	lure	n/a	n/a	n/a	n/a	1
31.819	0.549993231	PANSY	lure	n/a	n/a	n/a	n/a	1
32.369	1.016655087	GRAPE	fruit	n/a	n/a	n/a	2	0
33.386	0.566655674	GEEZER	lure	n/a	n/a	n/a	n/a	1
33.952	0.699989879	NEWSCAST	lure	n/a	n/a	n/a	n/a	1
34.652	0.466661729	HASP	lure	n/a	n/a	n/a	n/a	1
35.119	0.333322647	RESPITE	lure	n/a	n/a	n/a	n/a	1
35.452	0.566664283	KEYSTONE	lure	n/a	n/a	n/a	n/a	1
36.019	0.618607522	BRICKWORK	lure	n/a	n/a	n/a	n/a	1
36.638	0.71470766	STEREO	lure	n/a	n/a	n/a	n/a	1
37.352	0.633320502	OVEN	lure	n/a	n/a	n/a	n/a	1
37.986	0.666654537	MARLIN	lure	n/a	n/a	n/a	n/a	1
38.652	0.683326784	WINGER	lure	n/a	n/a	n/a	n/a	1
39.336	0.46665713	PROJECTION	lure	n/a	n/a	n/a	n/a	1
39.802	0.633328258	ICECUBE	lure	n/a	n/a	n/a	n/a	1
40.436	0.533325585	PARTICLE	lure	n/a	n/a	n/a	n/a	1
40.969	1.016651081	PINEAPPLE	fruit	n/a	645	2	2	1
41.986	0.333329229	SAUNA	lure	n/a	n/a	n/a	n/a	1
42.319	0.399990172	NORTHERNER	lure	n/a	n/a	n/a	n/a	1
42.719	0.583330332	COASTLINE	lure	n/a	n/a	n/a	n/a	1
43.302	0.533323053	MISCOUNT	lure	n/a	n/a	n/a	n/a	1
43.836	0.516657791	SAMPLER	lure	n/a	n/a	n/a	n/a	1
44.352	0.73332552	VELOCITY	lure	n/a	n/a	n/a	n/a	1
45.086	0.399990557	APPLICATOR	lure	n/a	n/a	n/a	n/a	1
45.486	0.433328241	CALORIE	lure	n/a	n/a	n/a	n/a	1
45.919	0.683322275	TURTLE	lure	n/a	n/a	n/a	n/a	1
46.602	0.749993424	PLAGIARIST	lure	n/a	n/a	n/a	n/a	1
47.352	0.516659382	DRAY	lure	n/a	n/a	n/a	n/a	1
47.869	0.399994432	CASUALTY	lure	n/a	n/a	n/a	n/a	1
48.269	0.416661595	TERROR	lure	n/a	n/a	n/a	n/a	1
48.686	0.549985859	SIDEWALK	lure	n/a	n/a	n/a	n/a	1
49.236	1.016660308	LIME	fruit	n/a	804	2	2	1
50.252	0.533323251	HUMORIST	lure	n/a	n/a	n/a	n/a	1
50.786	0.666654812	DISTILLERY	lure	n/a	n/a	n/a	n/a	1
51.452	0.450054303	SUMMARY	lure	n/a	n/a	n/a	n/a	1
51.902	0.499935098	AUTHORITY	lure	n/a	n/a	n/a	n/a	1
52.402	0.616658358	BERET	lure	n/a	n/a	n/a	n/a	1
53.019	0.583410676	UNIVERSE	lure	n/a	n/a	n/a	n/a	1
53.602	0.449905579	WHITETAIL	lure	n/a	n/a	n/a	n/a	1
54.052	0.333388945	EMPEROR	lure	n/a	n/a	n/a	n/a	1
54.386	0.46665906	ENZYME	lure	n/a	n/a	n/a	n/a	1
54.852	0.59993051	HORSEBACK	lure	n/a	n/a	n/a	n/a	1
55.452	0.600043202	PUZZLER	lure	n/a	n/a	n/a	n/a	1
56.052	0.683271408	EXAMINER	lure	n/a	n/a	n/a	n/a	1
56.735	0.466660461	HOMELAND	lure	n/a	n/a	n/a	n/a	1
57.202	0.46666454	STAPLER	lure	n/a	n/a	n/a	n/a	1
57.669	2.01663405	HAMMER	long	n/a	n/a	n/a	n/a	1
59.685	0.366663325	REGION	lure	n/a	n/a	n/a	n/a	1
60.052	0.51668453	ATTAINMENT	lure	n/a	n/a	n/a	n/a	1
60.569	0.749965542	REMODEL	lure	n/a	n/a	n/a	n/a	1
61.319	0.76665099	MUSIC	lure	n/a	n/a	n/a	n/a	1
62.085	0.333327006	ACADEMY	lure	n/a	n/a	n/a	n/a	1
62.419	0.649994829	HOUSEMAID	lure	n/a	n/a	n/a	n/a	1
63.069	0.399995221	STOPPAGE	lure	n/a	n/a	n/a	n/a	1
63.469	0.43332788	ORDINATE	lure	n/a	n/a	n/a	n/a	1
63.902	0.516655883	PISTACHIO	lure	n/a	n/a	n/a	n/a	1
64.419	0.45005079	RUG	lure	n/a	n/a	n/a	n/a	1
64.869	0.733262286	THEORIST	lure	n/a	n/a	n/a	n/a	1
65.602	0.733327262	IDOL	lure	n/a	n/a	n/a	n/a	1
66.335	2.016639461	BUBBLE	long	n/a	n/a	n/a	n/a	1
68.352	0.766649403	SALARY	lure	n/a	n/a	n/a	n/a	1
69.119	0.733328227	ARMFUL	lure	n/a	n/a	n/a	n/a	1
69.852	0.399989843	TABOO	lure	n/a	n/a	n/a	n/a	1
70.252	0.516661241	LEAGUE	lure	n/a	n/a	n/a	n/a	1
70.769	0.683322789	ANATOMY	lure	n/a	n/a	n/a	n/a	1
71.452	0.616662137	COUPE	lure	n/a	n/a	n/a	n/a	1
72.069	0.466665323	TINDERBOX	lure	n/a	n/a	n/a	n/a	1
72.535	0.633319564	INABILITY	lure	n/a	n/a	n/a	n/a	1
73.169	0.716652215	HUSBANDRY	lure	n/a	n/a	n/a	n/a	1
73.885	0.499995798	NAMESAKE	lure	n/a	n/a	n/a	n/a	1
74.385	0.466654776	CHAIRWOMAN	lure	n/a	n/a	n/a	n/a	1
74.852	2.016637759	LIGHT	long	n/a	n/a	n/a	n/a	1
76.868	0.34999824	HEARTBURN	lure	n/a	n/a	n/a	n/a	1
77.218	0.749989299	CAROL	lure	n/a	n/a	n/a	n/a	1
77.968	0.733325883	BROKERAGE	lure	n/a	n/a	n/a	n/a	1
78.702	0.699989143	VERNACULAR	lure	n/a	n/a	n/a	n/a	1
79.402	0.666651314	VACANCY	lure	n/a	n/a	n/a	n/a	1
80.068	0.433377476	ADVISEMENT	lure	n/a	n/a	n/a	n/a	1
80.502	0.333282525	RETENTION	lure	n/a	n/a	n/a	n/a	1
80.835	0.416659946	PINNACLE	lure	n/a	n/a	n/a	n/a	1
81.252	0.583326691	NINTENDO	lure	n/a	250	2	n/a	0
81.835	0.566658511	CARRYOVER	lure	n/a	n/a	n/a	n/a	1
82.402	0.716655214	SERPENT	lure	n/a	n/a	n/a	n/a	1
83.118	0.666655444	MATTER	short	n/a	n/a	n/a	n/a	1
83.785	0.487755455	SEDAN	lure	n/a	n/a	n/a	n/a	1
84.273	0.747570972	SLEET	lure	n/a	n/a	n/a	n/a	1
85.02	0.481366577	SHIRT	lure	n/a	n/a	n/a	n/a	1
85.502	0.433278782	REPROACH	lure	n/a	n/a	n/a	n/a	1
85.935	0.416659326	HEADACHE	lure	n/a	n/a	n/a	n/a	1
86.352	0.749984622	PEPPERCORN	lure	n/a	n/a	n/a	n/a	1
87.102	0.449998231	MILITANCY	lure	n/a	n/a	n/a	n/a	1
87.552	0.766658406	SESAME	lure	n/a	n/a	n/a	n/a	1
88.318	0.53573865	LAUNCHER	lure	n/a	n/a	n/a	n/a	1
88.854	0.614241292	VAN	lure	n/a	n/a	n/a	n/a	1
89.468	0.321110449	HEMLINE	lure	n/a	n/a	n/a	n/a	1
89.789	0.46221324	BREADFRUIT	lure	n/a	n/a	n/a	n/a	1
90.252	0.350052693	ROSEBUD	lure	n/a	n/a	n/a	n/a	1
90.602	0.733262538	PATRIARCH	lure	n/a	n/a	n/a	n/a	1
91.335	0.533325218	CABIN	lure	n/a	n/a	n/a	n/a	1
91.868	0.616658916	SANDPAPER	short	n/a	n/a	n/a	n/a	1
92.485	0.333332777	PANORAMA	lure	n/a	n/a	n/a	n/a	1
92.818	0.433323805	COMBO	lure	n/a	n/a	n/a	n/a	1
93.252	0.533329842	ARROW	lure	n/a	n/a	n/a	n/a	1
93.785	0.466657323	INFANTRY	lure	n/a	n/a	n/a	n/a	1
94.252	0.433329188	CAMERA	lure	n/a	n/a	n/a	n/a	1
94.685	0.483327208	DENIM	lure	n/a	n/a	n/a	n/a	1
95.168	0.64998802	MOOD	lure	n/a	n/a	n/a	n/a	1
95.818	0.583322944	HEREDITY	lure	n/a	n/a	n/a	n/a	1
96.402	0.349996909	KINGDOM	lure	n/a	n/a	n/a	n/a	1
96.752	0.549991048	PARISH	lure	n/a	n/a	n/a	n/a	1
97.302	0.549989179	DISTILLER	lure	n/a	n/a	n/a	n/a	1
97.851	0.466662916	ENDEARMENT	lure	n/a	n/a	n/a	n/a	1
98.318	0.666658298	JUDGESHIP	lure	n/a	n/a	n/a	n/a	1
98.985	0.48332735	DIRECTION	lure	n/a	n/a	n/a	n/a	1
99.468	0.449996536	STICKLER	lure	n/a	n/a	n/a	n/a	1
