onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.036	11	MIST	practice	1	646	1	2	2345	972	31,76,80,40
26.02	11	LEVER	lure	1	2946	1	2	2345	1099	23,48,46,05
46.019	11	FERRY	lure	2	1854	1	2	2345	737	08,40,35,16
66.002	11	FRONTIER	omit	4	644	1	3	3	1325	22,01,28,08
86.019	11	BRIDGE	long	5	1015	1	4	4	1671	45,24,49,25
106.002	11	SUDS	short	5	1897	1	3	3	1357	45,76,70,68
126.001	11	SANDPAPER	short	3	1271	1	2	2	1573	31,25,61,49
146.018	11	SUBWAY	lure	1	2350	1	4	2345	828	01,80,05,11
166.018	11	CARAVAN	lure	1	616	1	3	2345	999	36,30,23,01
186.017	11	PARCEL	omit	4	1007	1	5	5	2339	49,25,24,20
206	11	TERRACE	long	4	1592	1	2	2	1583	22,76,28,48
226	11	PHOTO	omit	4	1279	1	3	3	1709	49,24,22,56
246	11	ROPE	long	4	1103	1	5	5	1845	70,36,49,06
266.016	11	DEPOT	lure	1	787	1	4	2345	1286	35,25,76,40
285.999	11	RIDGE	lure	1	530	1	5	2345	1025	36,24,06,20
305.999	11	PYRAMID	short	3	947	1	5	5	2272	35,23,49,05
326	11	BASIN	lure	1	874	1	2	2345	680	67,80,01,70
345.998	11	STADIUM	lure	1	809	1	3	2345	1398	06,35,48,20
366.003	11	MATCH	short	5	1135	1	3	3	1310	67,28,74,68
385.999	11	GIFT	omit	5	611	1	3	3	1147	08,25,56,20
405.997	11	LIGHT	long	5	803	1	4	4	2057	31,76,35,56
425.997	11	CONE	long	5	581	1	5	5	1345	48,25,68,61
445.98	11	PLUG	lure	1	790	1	4	2345	1092	49,48,45,36
465.999	11	RAKE	lure	1	636	1	2	2345	1475	25,31,46,68
485.996	11	RAVINE	omit	4	1023	1	4	4	1098	25,61,36,68
505.996	11	CURTAIN	short	5	1013	1	2	2	1537	30,24,45,46
525.996	11	SCREEN	short	5	602	1	3	3	1282	76,70,25,22
545.995	11	PARADE	lure	1	952	1	4	2345	1121	61,30,05,24
565.995	11	CABLE	omit	5	735	1	4	4	1270	05,11,48,49
585.995	11	STAKE	lure	1	759	1	2	2345	1259	76,74,20,02
605.995	11	TRUCK	long	4	645	1	3	3	1350	67,23,56,68
625.995	11	ACRE	lure	1	679	1	3	2345	996	70,61,45,40
645.994	11	SAIL	lure	1	1372	1	5	2345	949	16,23,24,74
665.977	11	DIRT	long	4	621	1	5	5	2013	25,30,68,11
685.977	11	PIPE	omit	5	2240	1	5	5	1110	40,76,25,56
705.977	11	VAULT	short	4	2030	1	2	2	2061	68,08,16,35
725.976	11	TUNNEL	short	5	627	1	4	4	2541	22,01,02,40
745.976	11	RAINDROP	lure	1	847	1	4	2345	1285	76,11,49,22
765.992	11	RAIL	omit	3	913	1	3	3	1285	28,46,20,56
785.992	11	TIMBER	lure	2	649	1	2	2345	1093	76,61,06,05
805.975	11	HAMMER	long	5	1055	1	2	2	992	40,08,49,22
825.991	11	ARMOR	lure	1	692	1	3	2345	926	35,40,20,16
845.975	11	MOON	lure	1	1160	1	2	2345	1659	45,48,30,46
865.991	11	DENT	short	4	463	1	2	2	2272	16,05,01,30
885.974	11	WHEEL	omit	4	792	1	4	4	1358	40,11,74,45
905.978	11	BUBBLE	long	5	845	1	3	3	1290	46,67,70,11
925.975	11	RELIC	omit	5	569	1	5	5	1108	11,20,16,80
945.973	11	FOSSIL	lure	1	923	1	3	2345	1692	20,25,46,40
965.973	11	MATTER	short	3	2674	0	2	3	1395	30,45,28,40
985.975	11	BUCKLE	long	4	671	1	5	5	1594	46,30,61,08
1005.974	11	PIN	lure	1	503	1	2	2345	634	56,49,61,24
