onset	duration	stim	cond	RT	resp	cresp	acc
4.04	0.731499717	POSTCARD	lure	n/a	n/a	n/a	1
4.771	0.483232243	CHAUVINIST	lure	n/a	n/a	n/a	1
5.254	0.649989466	MEMORIAL	lure	n/a	n/a	n/a	1
5.904	0.333330466	ANTHILL	lure	n/a	n/a	n/a	1
6.238	0.366753441	ARTISTRY	lure	n/a	n/a	n/a	1
6.605	0.716619495	MALCONTENT	lure	n/a	n/a	n/a	1
7.321	0.566650779	NUTRITION	lure	n/a	n/a	n/a	1
7.888	2.016592511	BRUSH	long	n/a	n/a	n/a	1
9.904	0.366660142	HIP	lure	n/a	n/a	n/a	1
10.271	0.78332208	GULLET	lure	n/a	n/a	n/a	1
11.054	0.316662256	PROMOTER	lure	n/a	n/a	n/a	1
11.371	0.566657656	CONGRUITY	lure	n/a	n/a	n/a	1
11.938	0.433327624	HICKORY	lure	n/a	n/a	n/a	1
12.371	0.383329824	GRENADINE	lure	n/a	n/a	n/a	1
12.754	0.502150981	FORERUNNER	lure	n/a	n/a	n/a	1
13.257	0.635791252	PROSPERITY	lure	n/a	n/a	n/a	1
13.892	0.678763172	BURR	lure	n/a	n/a	n/a	1
14.571	0.68325505	FOLDER	lure	n/a	n/a	n/a	1
15.254	0.583327956	POSSESSOR	lure	n/a	n/a	n/a	1
15.838	0.466725188	PARTRIDGE	lure	n/a	n/a	n/a	1
16.304	1.016633212	NECTARINE	fruit	678	2	2	1
17.321	0.59994232	SALAD	lure	n/a	n/a	n/a	1
17.921	0.516660898	PRESSER	lure	n/a	n/a	n/a	1
18.438	0.433326213	MANICURE	lure	n/a	n/a	n/a	1
18.871	0.599996478	ABSENCE	lure	n/a	n/a	n/a	1
19.471	0.749988319	OPPRESSION	lure	n/a	n/a	n/a	1
20.221	0.416660823	DRAWBRIDGE	lure	n/a	n/a	n/a	1
20.638	0.349995593	WHIZ	lure	n/a	n/a	n/a	1
20.988	0.516659776	DISCIPLE	lure	n/a	n/a	n/a	1
21.504	0.383325803	MEDICATION	lure	n/a	n/a	n/a	1
21.888	0.433329045	Un/aEST	lure	n/a	n/a	n/a	1
22.321	0.449992968	WEATHERMAN	lure	n/a	n/a	n/a	1
22.771	0.38332868	ANYBODY	lure	n/a	n/a	n/a	1
23.154	0.499991851	QUARRYMEN	lure	n/a	n/a	n/a	1
23.654	0.53337682	NOVOCAINE	lure	n/a	n/a	n/a	1
24.188	0.666605629	DOMICILE	lure	n/a	n/a	n/a	1
24.854	2.016644235	CLUB	long	n/a	n/a	n/a	1
26.871	0.516656124	BIRCH	lure	n/a	n/a	n/a	1
27.388	0.483324162	DETONATOR	lure	n/a	n/a	n/a	1
27.871	0.433375606	RULEBOOK	lure	n/a	n/a	n/a	1
28.304	0.650004517	RUBELLA	lure	n/a	n/a	n/a	1
28.954	0.699928746	SHIPPER	lure	n/a	n/a	n/a	1
29.654	0.483326511	GYRO	lure	n/a	n/a	n/a	1
30.137	0.699993332	LOCKJAW	lure	n/a	n/a	n/a	1
30.837	0.466656769	LUMBERJACK	lure	n/a	n/a	n/a	1
31.304	0.700034269	SETTER	lure	n/a	n/a	n/a	1
32.004	0.599948363	OVERSPILL	lure	n/a	n/a	n/a	1
32.604	0.766657113	REVERSAL	lure	n/a	n/a	n/a	1
33.371	0.616658194	ASHES	short	n/a	n/a	n/a	1
33.987	0.733321555	LEGISLATOR	lure	n/a	n/a	n/a	1
34.721	0.366661408	BEDSIDE	lure	n/a	n/a	n/a	1
35.087	0.733323221	CRAFTER	lure	n/a	n/a	n/a	1
35.821	0.516661149	FUTILITY	lure	n/a	n/a	n/a	1
