onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.035	11	MIST	practice	1	1155	1	4	2345	2057	55,52,34,59
26.005	11	WALLET	short	3	613	1	2	2	1851	46,26,43,01
46.004	11	CLUB	omit	4	693	1	5	5	1483	80,57,59,34
66.004	11	SOCKET	lure	1	701	1	4	2345	2316	20,25,75,43
86.001	11	CORD	lure	1	662	1	3	2345	2460	75,23,34,72
106.005	11	ELBOW	long	4	1163	1	2	2	1156	26,46,72,01
126	11	PLANE	lure	1	662	1	3	2345	2660	26,46,70,12
146	11	FLEET	lure	1	783	1	5	2345	2205	67,80,78,34
166.003	11	DIRT	long	5	687	1	4	4	1349	20,70,23,43
185.999	11	IODINE	omit	4	1119	1	3	3	1093	02,01,26,75
205.999	11	MUZZLE	short	3	567	1	2	2	1525	06,02,36,75
225.999	11	PORTAL	lure	1	728	1	5	2345	2398	02,72,52,25
245.999	11	PATCH	omit	4	744	1	5	5	1166	55,67,78,54
265.998	11	HAMMER	short	5	616	1	2	2	1358	12,23,71,78
285.998	11	LETTER	long	4	568	1	2	2	1302	02,34,37,72
305.999	11	HILL	lure	1	577	1	4	2345	2535	72,59,52,43
325.997	11	RAVINE	omit	4	521	1	2	2	1447	41,67,12,06
345.997	11	DOME	long	4	489	1	2	2	1455	36,35,37,71
365.997	11	COUNCIL	short	3	754	1	4	4	912	73,39,59,23
385.997	11	BADGE	lure	1	658	1	3	2345	2104	25,78,34,35
405.98	11	SHIRT	lure	1	843	1	2	2345	2049	41,06,80,12
425.979	11	DITCH	long	4	899	1	2	2	1281	39,18,37,25
445.979	11	GOLF	lure	1	731	1	3	2345	2793	71,75,72,52
465.996	11	ROOT	short	4	507	1	3	3	993	34,78,37,39
485.979	11	PADDLE	omit	3	556	1	4	4	1322	34,52,71,72
505.995	11	POLE	lure	1	612	1	5	2345	1650	52,78,70,02
525.995	11	MAGAZINE	omit	4	716	1	3	3	1114	71,52,72,55
545.994	11	TIMBER	short	3	644	1	5	5	1114	26,37,70,18
565.994	11	SPONGE	long	4	668	1	5	5	1770	75,55,06,73
585.977	11	SUDS	lure	1	549	1	2	2345	2155	59,55,80,41
605.98	11	RADIO	lure	1	990	1	2	2345	2868	80,12,46,37
625.977	11	JAIL	long	4	1966	1	2	2	1596	80,06,72,46
645.976	11	LEAD	lure	1	446	1	2	2345	2188	57,67,20,59
665.98	11	COLUMN	short	3	501	1	2	2	1436	37,70,75,72
685.98	11	RAINDROP	lure	1	783	1	4	2345	2229	43,46,02,36
705.992	11	CYCLONE	omit	4	502	1	2	2	2012	35,36,25,55
725.975	11	FLOOD	omit	3	1271	1	2	2	1357	57,41,02,36
745.975	11	MONSOON	lure	1	832	1	4	2345	2662	43,73,18,70
765.979	11	FOREST	long	3	448	1	4	4	862	20,59,55,39
785.979	11	CARD	short	3	493	1	4	4	1918	23,43,72,57
805.974	11	STATUE	lure	1	728	1	3	2345	2574	80,36,43,41
825.974	11	SHIELD	lure	1	729	1	5	2345	2863	72,57,43,55
845.976	11	STADIUM	lure	1	1049	1	3	2345	2367	36,26,71,02
865.973	11	SAWDUST	short	4	553	1	3	3	1207	01,25,34,46
885.974	11	TAPE	omit	4	1585	1	2	2	1904	75,57,71,73
905.973	11	FRONTIER	long	4	458	1	3	3	1280	67,20,73,59
925.973	11	SOAP	lure	1	458	1	3	2345	2120	72,36,70,80
945.973	11	BRIDGE	lure	1	634	1	3	2345	2320	78,35,39,46
965.972	11	CURB	long	4	555	1	4	4	984	37,71,67,23
985.972	11	ROAD	short	2	1419	1	3	3	2513	43,70,78,37
1005.955	11	PAPER	omit	4	436	1	2	2	906	43,80,41,39
