onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.03	11	MIST	practice	1	1196	1	5	2345	2378	70,78,80,35
26.027	11	FIDDLE	lure	1	1357	1	5	2345	2419	67,12,55,06
46.009	11	TIMBER	short	3	469	1	4	4	1300	57,59,18,71
66.009	11	FOREST	long	4	670	1	5	5	1404	23,41,59,55
86.009	11	FERRY	lure	1	598	1	5	2345	2740	35,01,02,75
106.009	11	CYCLONE	omit	4	822	1	2	2	820	35,23,43,70
126.008	11	PATCH	omit	3	1551	1	4	4	709	71,72,54,57
146.008	11	DOME	long	4	631	1	3	3	1013	72,36,71,59
166.008	11	BRACELET	lure	1	791	1	4	2345	3141	59,39,43,41
186.008	11	COLUMN	short	3	871	1	3	3	1189	41,37,26,35
206.008	11	CANDLE	lure	1	648	1	3	2345	2286	80,06,01,52
226.008	11	BELT	lure	1	1136	1	3	2345	2942	70,78,80,57
246.008	11	RAVINE	omit	4	808	1	5	5	1382	75,54,02,41
266.006	11	COUNCIL	short	3	441	1	5	5	1199	06,67,18,59
286.008	11	FRONTIER	long	4	569	1	3	3	1119	80,20,02,59
306.006	11	PLUG	lure	1	713	1	5	2345	2519	78,25,39,06
326.008	11	CHASM	lure	1	833	1	4	2345	2535	06,02,67,78
346.005	11	ORNAMENT	lure	n/a	n/a	1	3	2345	2080	78,54,06,41
366.005	11	SAWDUST	short	3	1074	1	3	3	1024	35,25,55,67
386.005	11	ELBOW	long	4	370	1	2	2	1592	26,18,39,55
406.005	11	PADDLE	omit	3	474	1	3	3	1409	23,71,72,80
426.004	11	CARD	short	3	667	0	4	2	2081	72,55,43,34
446.004	11	FLOOD	omit	3	379	1	4	4	1177	80,46,57,25
466.004	11	ARROW	lure	1	899	1	3	2345	2633	36,73,59,72
486.003	11	MORNING	lure	1	620	1	3	2345	2850	67,39,70,34
506.003	11	LETTER	long	4	580	1	4	4	970	39,37,02,80
526.003	11	TART	lure	1	692	1	5	2345	2426	26,54,55,20
546.003	11	CURB	long	4	476	1	2	2	1586	67,54,02,26
565.988	11	MAGAZINE	omit	3	469	1	3	3	1579	41,52,57,26
585.988	11	RAKE	lure	1	742	1	4	2345	2492	67,18,70,55
605.985	11	WALLET	short	3	478	1	2	2	1996	46,25,37,70
625.988	11	RUST	lure	1	1174	1	5	2345	2412	72,41,06,20
645.989	11	DIRT	long	3	431	1	5	5	1413	52,36,78,23
665.984	11	PAPER	omit	3	695	1	3	3	1285	23,43,37,46
685.984	11	BLIZZARD	lure	1	519	1	4	2345	1109	23,25,78,73
705.984	11	ROAD	short	1	1279	1	5	5	2235	26,01,72,70
725.984	11	SPONGE	long	3	920	1	4	4	1214	54,59,73,55
745.983	11	IODINE	omit	4	736	1	5	5	1662	67,06,43,01
765.984	11	CHROME	lure	1	944	1	3	2345	1862	57,75,41,72
785.983	11	ROOT	short	4	640	1	3	3	1022	70,78,41,34
805.983	11	SUMMIT	lure	1	641	1	3	2345	2199	41,37,67,73
825.983	11	CART	lure	1	897	1	4	2345	2751	26,12,39,25
845.982	11	SANDPAPER	lure	1	745	1	4	2345	2967	55,34,25,41
865.985	11	DITCH	long	3	402	1	4	4	1368	46,01,39,67
885.982	11	CLUB	omit	4	434	1	4	4	1608	78,36,34,43
905.982	11	MUZZLE	short	3	1082	1	2	2	1544	06,70,36,25
925.981	11	HAMMER	short	4	1442	1	2	2	1768	12,26,59,39
945.98	11	JAIL	long	4	475	1	2	2	1673	80,20,36,01
965.981	11	TAPE	omit	3	483	1	5	5	1281	41,02,73,75
985.98	11	RAINBOW	lure	1	915	1	4	2345	2385	35,34,55,75
1005.98	11	ROPE	lure	1	1572	1	5	2345	2242	39,52,80,59
