onset	duration	cond	RT	resp	cresp	acc
5.008	0.917	word	n/a	n/a	n/a	1
6.008	0.917	word	n/a	n/a	n/a	1
7.008	0.917	word	n/a	n/a	2	0
8.008	0.917	word	45	2	n/a	0
9.008	0.917	word	557	2	2	1
10.008	0.917	word	n/a	n/a	n/a	1
11.008	0.917	word	n/a	n/a	n/a	1
12.008	0.917	word	n/a	n/a	n/a	1
13.008	0.917	word	493	2	2	1
14.008	0.917	word	n/a	n/a	n/a	1
15.008	0.917	word	461	2	2	1
16.008	0.917	word	n/a	n/a	n/a	1
17.008	0.917	word	445	2	2	1
18.008	0.917	word	n/a	n/a	n/a	1
19.008	0.9	word	n/a	n/a	n/a	1
20.008	0.917	word	630	2	2	1
31.058	0.917	face	n/a	n/a	n/a	1
32.008	0.917	face	n/a	n/a	n/a	1
33.008	0.917	face	574	2	2	1
34.008	0.917	face	n/a	n/a	n/a	1
35.008	0.917	face	558	2	2	1
36.008	0.917	face	n/a	n/a	n/a	1
37.008	0.917	face	n/a	n/a	n/a	1
38.008	0.917	face	470	2	2	1
39.008	0.917	face	n/a	n/a	n/a	1
40.008	0.917	face	n/a	n/a	n/a	1
41.008	0.917	face	n/a	n/a	n/a	1
42.008	0.917	face	454	2	2	1
43.008	0.917	face	n/a	n/a	n/a	1
44.008	0.917	face	470	2	2	1
45.008	0.917	face	n/a	n/a	n/a	1
46.008	0.917	face	462	2	2	1
57.058	0.917	scene	n/a	n/a	n/a	1
58.008	0.917	scene	n/a	n/a	n/a	1
59.008	0.917	scene	502	2	2	1
60.008	0.917	scene	n/a	n/a	n/a	1
61.008	0.917	scene	510	2	2	1
62.008	0.917	scene	n/a	n/a	n/a	1
63.008	0.917	scene	454	2	2	1
64.008	0.917	scene	n/a	n/a	n/a	1
65.008	0.917	scene	n/a	n/a	n/a	1
66.008	0.917	scene	526	2	2	1
67.008	0.917	scene	n/a	n/a	n/a	1
68.008	0.917	scene	686	2	2	1
69.008	0.9	scene	n/a	n/a	n/a	1
70.007	0.917	scene	494	2	2	1
71.007	0.917	scene	n/a	n/a	n/a	1
72.007	0.9	scene	n/a	n/a	n/a	1
83.041	0.917	car	n/a	n/a	n/a	1
84.007	0.917	car	518	2	2	1
85.007	0.917	car	n/a	n/a	n/a	1
86.007	0.917	car	n/a	n/a	n/a	1
87.007	0.917	car	n/a	n/a	n/a	1
88.007	0.917	car	n/a	n/a	n/a	1
89.007	0.917	car	615	2	2	1
90.007	0.917	car	n/a	n/a	n/a	1
91.007	0.917	car	486	2	2	1
92.007	0.917	car	n/a	n/a	n/a	1
93.007	0.917	car	n/a	n/a	n/a	1
94.007	0.917	car	526	2	2	1
95.007	0.917	car	n/a	n/a	n/a	1
96.007	0.917	car	447	2	2	1
97.007	0.917	car	n/a	n/a	n/a	1
98.007	0.917	car	503	2	2	1
109.057	0.9	face	n/a	n/a	n/a	1
110.007	0.917	face	543	2	2	1
111.007	0.917	face	n/a	n/a	n/a	1
112.007	0.917	face	527	2	2	1
113.007	0.917	face	n/a	n/a	n/a	1
114.007	0.919	face	511	2	2	1
115.007	0.917	face	n/a	n/a	n/a	1
116.007	0.917	face	n/a	n/a	n/a	1
117.007	0.9	face	n/a	n/a	n/a	1
118.007	0.917	face	567	2	2	1
119.007	0.917	face	n/a	n/a	n/a	1
120.007	0.917	face	527	2	2	1
121.007	0.917	face	n/a	n/a	n/a	1
122.007	0.917	face	n/a	n/a	n/a	1
123.007	0.917	face	679	2	2	1
124.007	0.917	face	n/a	n/a	n/a	1
135.057	0.917	scene	n/a	n/a	n/a	1
136.007	0.917	scene	495	2	2	1
137.007	0.917	scene	n/a	n/a	n/a	1
138.007	0.917	scene	463	2	2	1
139.007	0.917	scene	n/a	n/a	n/a	1
140.007	0.917	scene	n/a	n/a	n/a	1
141.007	0.917	scene	463	2	2	1
142.007	0.917	scene	n/a	n/a	n/a	1
143.006	0.917	scene	503	2	2	1
144.006	0.917	scene	n/a	n/a	n/a	1
145.006	0.917	scene	n/a	n/a	n/a	1
146.006	0.917	scene	n/a	n/a	n/a	1
147.006	0.917	scene	n/a	n/a	n/a	1
148.006	0.917	scene	495	2	2	1
149.006	0.917	scene	n/a	n/a	n/a	1
150.006	0.917	scene	503	2	2	1
161.056	0.917	word	n/a	n/a	n/a	1
162.006	0.917	word	n/a	n/a	n/a	1
163.006	0.917	word	n/a	n/a	n/a	1
164.006	0.917	word	536	2	2	1
