onset	duration	stim	cond	dur	RT	resp	cresp	acc
4.051	0.716661595	SLEEVE	lure	n/a	n/a	n/a	n/a	1
4.768	0.600041201	BARBARITY	lure	n/a	n/a	n/a	n/a	1
5.368	0.466603102	REPETITION	lure	n/a	n/a	n/a	n/a	1
5.835	0.533328438	FACTORY	lure	n/a	n/a	n/a	n/a	1
6.368	0.650044034	STARLIGHT	lure	n/a	n/a	n/a	n/a	1
7.018	0.433321901	URBANISM	lure	n/a	n/a	n/a	n/a	1
7.451	0.516611398	PLENITUDE	lure	n/a	n/a	n/a	n/a	1
7.968	2.016643064	DOME	long	n/a	n/a	n/a	n/a	1
9.984	0.333328799	SUITCASE	lure	n/a	n/a	n/a	n/a	1
10.318	0.616658056	MINESTRONE	lure	n/a	n/a	n/a	n/a	1
10.934	0.733322436	DEBILITATE	lure	n/a	n/a	n/a	n/a	1
11.668	0.599995319	APTITUDE	lure	n/a	n/a	n/a	n/a	1
12.268	0.466656815	UPHOLSTERY	lure	n/a	n/a	n/a	n/a	1
12.734	0.451874261	REFERENCE	lure	n/a	n/a	n/a	n/a	1
13.186	0.431445234	BRIAR	lure	n/a	n/a	n/a	n/a	1
13.618	0.533379626	MIGRATION	lure	n/a	n/a	n/a	n/a	1
14.151	0.31660948	TRUMPETER	lure	n/a	n/a	n/a	n/a	1
14.468	0.416662948	CONFUSION	lure	n/a	n/a	n/a	n/a	1
14.884	0.366661744	SYMPOSIUM	lure	n/a	n/a	n/a	n/a	1
15.251	0.450041172	FOOTSTEP	lure	n/a	n/a	n/a	n/a	1
15.701	0.433283755	PROTECTOR	lure	n/a	n/a	n/a	n/a	1
16.134	1.016648134	GOOSEBERRY	fruit	n/a	647	2	2	1
17.151	0.466664256	ZEBRA	lure	n/a	n/a	n/a	n/a	1
17.618	0.716653557	SANCTIMONY	lure	n/a	n/a	n/a	n/a	1
18.334	0.516661094	PREDATOR	lure	n/a	n/a	n/a	n/a	1
18.851	0.468961123	MEDICATION	lure	n/a	n/a	n/a	n/a	1
19.32	0.664359767	SLAB	lure	n/a	n/a	n/a	n/a	1
19.984	0.749987399	KNOB	lure	n/a	n/a	n/a	n/a	1
20.734	0.500044748	VIGOR	lure	n/a	n/a	n/a	n/a	1
21.234	0.699938438	UPSWING	lure	n/a	n/a	n/a	n/a	1
21.934	0.366709786	FEE	lure	n/a	n/a	n/a	n/a	1
22.301	0.699943129	WOMENFOLK	lure	n/a	n/a	n/a	n/a	1
23.001	0.499992723	WORKSHEET	lure	n/a	n/a	n/a	n/a	1
23.501	0.533329038	BREWERY	lure	n/a	n/a	n/a	n/a	1
24.034	0.616656926	CARD	short	n/a	n/a	n/a	n/a	1
24.651	0.383328389	GREMLIN	lure	n/a	n/a	n/a	n/a	1
25.034	0.333327352	CARAMEL	lure	n/a	n/a	n/a	n/a	1
25.368	0.466657937	POPULATION	lure	n/a	n/a	n/a	n/a	1
25.834	0.349995395	EXCEPTION	lure	n/a	n/a	n/a	n/a	1
26.184	0.499995987	MEMO	lure	n/a	n/a	n/a	n/a	1
26.684	0.316659702	SEMINARY	lure	n/a	n/a	n/a	n/a	1
27.001	0.699992884	NEAPOLITAN	lure	n/a	n/a	n/a	n/a	1
27.701	0.649987528	SNEAKER	lure	n/a	n/a	n/a	n/a	1
28.351	0.349998609	CITATION	lure	n/a	n/a	n/a	n/a	1
28.701	0.683328108	VAGABOND	lure	n/a	n/a	n/a	n/a	1
