onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.028	11	MIST	practice	1	660	1	3	2345	805	12,15,43,33
26.011	11	STAPLE	long	4	1197	1	3	3	1641	27,66,70,74
46.007	11	DENT	lure	1	726	1	3	2345	724	22,75,20,66
66.01	11	BRASS	omit	5	1190	1	4	4	1363	09,32,34,33
86.01	11	GALLON	short	4	982	0	2	3	1483	07,33,32,81
106.009	11	SOCKET	lure	1	582	1	4	2345	1212	07,32,03,02
126.006	11	NOVEL	lure	1	855	1	3	2345	917	70,30,74,20
146.006	11	BOTTLE	lure	1	1151	1	4	2345	1117	01,30,81,27
166.005	11	RECORD	short	3	2583	1	5	5	1533	57,74,27,09
186.005	11	RELIC	omit	5	1039	1	5	5	1422	77,66,76,01
206.005	11	PASTEL	long	5	1160	1	3	3	3446	76,54,66,22
226.006	11	CARD	lure	1	920	1	3	2345	1174	66,43,20,54
246.004	11	LEVER	omit	4	1016	1	3	3	1790	76,32,33,79
266.004	11	CURTAIN	lure	1	992	1	3	2345	999	09,27,81,66
286.004	11	CHROME	short	5	1097	1	3	3	1351	76,79,81,22
306.003	11	BROOM	long	4	1097	1	5	5	1503	12,77,30,15
326.003	11	PERMIT	short	4	865	1	3	3	1655	32,03,57,20
346.003	11	ASHES	long	4	818	1	4	4	1944	07,22,76,09
366.004	11	DRUM	lure	3	1586	1	5	2345	1585	25,22,81,74
386.002	11	ANCHOR	lure	1	890	1	4	2345	1024	33,25,43,57
406.002	11	CLOAK	omit	3	962	1	3	3	1529	79,75,19,07
426.002	11	FOSSIL	lure	1	1187	1	4	2345	1329	20,70,01,76
446.002	11	RAMP	lure	1	1011	1	2	2345	945	01,63,12,74
466.001	11	SACK	short	5	899	1	5	5	1113	19,33,12,27
486.001	11	CHAIN	omit	3	796	1	5	5	1266	57,77,74,19
505.985	11	ATLAS	long	4	892	1	5	5	1602	30,76,54,77
526	11	EASEL	omit	4	636	1	5	5	1074	15,27,03,74
546	11	SAWDUST	long	5	964	1	3	3	1290	09,25,19,81
565.986	11	BOLT	lure	1	981	1	4	2345	1363	09,14,19,79
585.983	11	CANDLE	short	4	1198	1	4	4	1604	30,74,22,20
605.986	11	SPOKE	lure	1	1374	1	3	2345	1396	25,70,34,74
625.982	11	BRAKE	omit	4	1750	1	3	3	1556	74,30,25,32
645.982	11	STAKE	lure	1	2078	1	3	2345	796	63,09,03,20
665.982	11	LIGHT	long	5	1143	1	3	3	1453	74,67,12,22
685.982	11	CORD	lure	1	1103	1	3	2345	1221	54,79,81,01
705.981	11	SHELL	short	4	647	1	3	3	1613	07,43,32,75
725.981	11	CORK	omit	4	903	1	3	3	1518	20,57,14,77
745.982	11	COLUMN	lure	1	880	1	3	2345	886	79,66,54,70
765.981	11	BRACELET	short	4	1392	1	3	3	1654	63,20,66,07
785.982	11	LUMBER	lure	1	1672	1	3	2345	886	03,25,30,33
805.98	11	FLEET	long	5	1169	1	4	4	1279	03,30,02,15
825.981	11	FRAME	omit	3	729	1	5	5	1423	77,19,27,07
845.98	11	CART	long	4	665	1	4	4	1327	07,14,63,66
865.98	11	CONTRACT	short	4	1137	1	3	3	1327	19,12,34,70
885.979	11	PUDDLE	lure	1	978	1	3	2345	1448	74,02,19,07
905.979	11	MAGAZINE	lure	1	1050	1	2	2345	1040	14,22,07,76
925.978	11	GALLERY	lure	1	1594	1	3	2345	1048	14,27,76,32
945.978	11	SWORD	lure	1	835	1	5	2345	1553	02,66,14,01
965.98	11	CHALK	long	4	939	1	5	5	1145	25,03,70,81
985.978	11	SOAP	short	4	931	1	3	3	1633	07,14,09,33
1005.977	11	ATOM	omit	4	707	1	3	3	1633	20,70,15,32
