onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.027	11	MIST	practice	1	1005	1	3	2345	1851	40,70,01,47
26.01	11	NICKEL	lure	1	1126	1	2	2345	1164	38,13,75,02
46.013	11	BASIN	lure	1	854	1	2	2345	1668	32,02,20,47
66.013	11	SOAP	short	3	655	1	4	4	1397	20,74,03,48
86.012	11	LABEL	omit	2	1791	1	2	2	2477	19,11,13,01
106.008	11	RAMP	long	4	1703	1	5	5	1661	74,19,13,40
126.024	11	ROCK	lure	1	735	1	3	2345	461	54,01,76,13
146.007	11	METAL	omit	4	1888	1	4	4	1222	19,01,20,03
166.008	11	PENNY	lure	1	800	1	2	2345	1814	32,47,79,25
186.008	11	PELLET	short	3	2200	1	2	2	2622	76,20,22,02
206.007	11	PARADE	long	4	984	1	5	5	1550	02,40,01,32
226.006	11	COAL	long	4	689	1	3	3	2575	56,47,38,34
246.008	11	SUDS	short	4	393	1	5	5	1463	76,13,50,22
266.007	11	CANDLE	lure	1	729	1	2	2345	1783	35,46,34,11
286.005	11	ARROW	omit	4	1618	1	2	2	1320	79,70,61,20
306.007	11	FORT	lure	1	234	1	3	2345	2608	42,40,34,74
326.005	11	SAWDUST	omit	3	698	1	2	2	1336	61,75,35,76
345.988	11	HURDLE	lure	1	891	1	3	2345	3113	34,54,48,56
366.004	11	RULER	lure	1	595	1	2	2345	1209	49,10,61,26
385.987	11	FLEET	short	3	964	1	5	5	2954	42,35,26,25
406.004	11	GIFT	long	4	2211	1	4	4	1689	74,20,01,42
426.003	11	RAIL	omit	5	1131	1	4	4	1138	26,47,56,42
446.003	11	PUTTY	long	4	1348	1	2	2	2482	46,42,22,11
466.003	11	BOTTLE	lure	1	2228	1	2	2345	922	56,75,49,01
486.003	11	MARBLE	lure	1	1468	1	2	2345	1074	56,11,03,49
505.986	11	COAT	short	4	2293	1	2	2	1531	74,32,13,19
525.989	11	EARTHQUAKE	long	3	1805	1	2	2	1675	50,03,48,42
545.99	11	MAGAZINE	short	n/a	n/a	0	4	2	356	02,75,79,32
565.987	11	CLOSET	lure	1	566	1	2	2345	492	02,74,20,54
585.985	11	MATTRESS	lure	1	1406	1	2	2345	4132	13,49,48,26
605.984	11	CLOAK	omit	n/a	n/a	1	4	4	2045	10,35,38,19
625.988	11	CRANE	omit	4	511	1	4	4	989	74,49,10,50
645.988	11	DEPOT	long	2	1423	1	5	5	2165	10,46,22,42
665.988	11	GRAVEL	lure	1	407	1	2	2345	1918	56,35,42,54
685.983	11	CORD	lure	1	976	1	2	2345	3038	34,46,10,01
705.985	11	CHART	short	3	864	1	5	5	1462	38,54,47,49
725.983	11	CORK	long	3	832	1	3	3	1646	35,75,10,22
745.984	11	BUBBLE	lure	1	752	1	2	2345	1527	32,13,48,75
765.984	11	ENGINE	short	n/a	n/a	0	4	5	215	35,32,49,13
785.982	11	WIRE	omit	3	585	1	2	2	1775	70,50,19,38
805.984	11	MUZZLE	lure	1	377	1	2	2345	2503	38,47,74,26
825.981	11	JAIL	short	3	626	1	4	4	1344	46,40,26,35
845.982	11	WALLET	omit	3	1194	1	2	2	968	48,40,49,47
865.981	11	SAIL	lure	1	1194	1	4	2345	2520	35,50,61,38
885.982	11	PUMP	long	3	1819	1	3	3	1985	61,11,01,40
905.982	11	ATLAS	lure	1	803	1	3	2345	1761	75,19,26,70
925.98	11	LAUNDRY	short	3	427	1	3	3	1249	75,34,48,79
945.98	11	PUDDLE	lure	1	715	1	2	2345	937	47,74,20,54
965.979	11	CHALK	omit	1	684	1	2	2	930	35,61,26,79
985.962	11	ESSAY	lure	1	493	1	2	2345	563	56,25,20,76
1005.979	11	FLAG	long	4	1668	1	5	5	882	19,32,47,54
