onset	duration	stim	cond	RT	resp	cresp	acc
4.048	0.399997798	INQUIRY	lure	n/a	n/a	n/a	1
4.448	0.333325689	PERIPHERY	lure	n/a	n/a	n/a	1
4.782	0.583321428	MERCHANT	lure	n/a	n/a	n/a	1
5.365	0.350000216	HUMANKIND	lure	n/a	n/a	n/a	1
5.715	0.433326849	PREVISION	lure	n/a	n/a	n/a	1
6.148	0.499992119	IGNITION	lure	n/a	n/a	n/a	1
6.648	0.583328576	TREASURY	lure	n/a	n/a	n/a	1
7.232	0.51665749	HEMLINE	lure	n/a	n/a	n/a	1
7.748	2.016641571	GIFT	long	n/a	n/a	n/a	1
9.765	0.516658053	ESSENCE	lure	n/a	n/a	n/a	1
10.282	0.333329516	SHEEPDOG	lure	n/a	n/a	n/a	1
10.615	0.49999212	STATUE	lure	n/a	n/a	n/a	1
11.115	0.383328344	SPARROW	lure	n/a	n/a	n/a	1
11.498	0.349996378	GIST	lure	n/a	n/a	n/a	1
11.848	0.616657851	CHAIRMEN	lure	n/a	n/a	n/a	1
12.465	0.549994148	AUDITORIUM	lure	n/a	n/a	n/a	1
13.015	0.566657546	POINTER	lure	n/a	n/a	n/a	1
13.582	0.59999143	CARTOONIST	lure	n/a	n/a	n/a	1
14.181	0.583324588	WHIMSY	lure	n/a	n/a	n/a	1
14.765	0.349996441	IDIOM	lure	n/a	n/a	n/a	1
15.115	0.566658348	ALIGNMENT	lure	n/a	n/a	n/a	1
15.681	0.549994812	REACTIVITY	lure	n/a	n/a	n/a	1
16.231	2.016638534	PUTTY	long	n/a	n/a	n/a	1
18.248	0.349995987	INFLICTION	lure	n/a	n/a	n/a	1
18.598	0.316662003	MARTINI	lure	n/a	n/a	n/a	1
18.915	0.483326282	MESSENGER	lure	n/a	n/a	n/a	1
19.398	0.733322891	TORMENT	lure	n/a	n/a	n/a	1
20.131	0.333329526	MEALTIME	lure	n/a	n/a	n/a	1
20.465	0.734555174	PHENOMENON	lure	n/a	n/a	n/a	1
21.199	0.448762889	EMBANKMENT	lure	n/a	n/a	n/a	1
21.648	0.516658397	MORTAR	lure	n/a	n/a	n/a	1
22.165	0.749990071	HYPERBOLA	lure	n/a	n/a	n/a	1
22.915	0.733326151	BRUSHWORK	lure	n/a	n/a	n/a	1
23.648	0.483324325	NUMEROLOGY	lure	n/a	n/a	n/a	1
24.131	0.616660483	COAT	short	n/a	n/a	n/a	1
24.748	0.316659937	MIRACLE	lure	n/a	n/a	n/a	1
25.065	0.666658005	BROOMSTICK	lure	n/a	n/a	n/a	1
25.731	0.699990303	DRAPER	lure	n/a	n/a	n/a	1
26.431	0.333328799	MANTLE	lure	n/a	n/a	n/a	1
26.765	0.699991222	STATEMENT	lure	n/a	n/a	n/a	1
27.465	0.566658446	SPITFIRE	lure	n/a	n/a	n/a	1
28.031	0.633325806	TOOLMAKER	lure	n/a	n/a	n/a	1
28.665	0.349990671	ALLEYWAY	lure	n/a	n/a	n/a	1
29.015	0.433331098	CONFIDANTE	lure	n/a	n/a	n/a	1
29.448	0.616658079	RAZOR	lure	n/a	n/a	n/a	1
30.065	0.466661292	DIGNITY	lure	n/a	n/a	n/a	1
30.531	0.416660309	COLLIE	lure	n/a	n/a	n/a	1
30.948	0.68332096	SNOOK	lure	n/a	n/a	n/a	1
31.631	0.49999251	ENGRAVER	lure	n/a	n/a	n/a	1
32.131	0.449997791	HEADBAND	lure	n/a	n/a	n/a	1
32.581	0.616658809	CHART	short	n/a	n/a	n/a	1
33.198	0.749992313	FEATHERBED	lure	n/a	n/a	n/a	1
33.948	0.670104119	DEVICE	lure	n/a	n/a	n/a	1
34.618	0.546544774	SUBMISSION	lure	n/a	n/a	n/a	1
35.165	0.416659747	CONGRUITY	lure	n/a	n/a	n/a	1
35.581	0.316663993	ANATOMY	lure	n/a	n/a	n/a	1
35.898	0.516657696	GIGGLE	lure	n/a	n/a	n/a	1
36.415	0.433329533	DROPOUT	lure	n/a	n/a	n/a	1
36.848	0.349995341	HIDEAWAY	lure	n/a	n/a	n/a	1
37.198	0.516659407	FLAPJACK	lure	n/a	n/a	n/a	1
37.715	0.716654744	ARK	lure	n/a	n/a	n/a	1
38.431	0.316663693	FEELER	lure	n/a	n/a	n/a	1
38.748	0.733320222	CHILD	lure	n/a	n/a	n/a	1
39.481	0.566663152	DRIFTER	lure	n/a	n/a	n/a	1
40.048	0.619637581	PARADOX	lure	n/a	n/a	n/a	1
40.667	0.613677102	JAIL	short	n/a	n/a	n/a	1
41.281	0.616662516	CURBSIDE	lure	n/a	n/a	n/a	1
41.898	0.516659242	INIQUITY	lure	n/a	n/a	n/a	1
42.414	0.333326581	DYNAMISM	lure	n/a	n/a	n/a	1
42.748	0.366663137	VIBRANCY	lure	n/a	n/a	n/a	1
43.114	0.537350393	MEMBRANE	lure	n/a	n/a	n/a	1
43.652	0.645966483	SPECTER	lure	n/a	n/a	n/a	1
