onset	duration	stim	cond	RT	resp	cresp	acc
4.045	0.397895118	VECTOR	lure	n/a	n/a	n/a	1
4.443	0.399989824	UNTRUTH	lure	n/a	n/a	n/a	1
4.843	0.633324253	BACON	lure	n/a	n/a	n/a	1
5.476	0.483323406	AUTOCRAT	lure	n/a	n/a	n/a	1
5.959	0.599997725	FOLLY	lure	n/a	n/a	n/a	1
6.559	0.54998998	PREDICTION	lure	n/a	n/a	n/a	1
7.109	0.333328078	SUPPRESSOR	lure	n/a	n/a	n/a	1
7.443	2.016641255	CONE	long	n/a	n/a	n/a	1
9.459	0.383325886	SACRILEGE	lure	n/a	n/a	n/a	1
9.843	0.666656884	CHALICE	lure	n/a	n/a	n/a	1
10.509	0.716656458	EYELID	lure	n/a	n/a	n/a	1
11.226	0.749990855	TECHNOLOGY	lure	n/a	n/a	n/a	1
11.976	0.383322782	DYNAMO	lure	n/a	n/a	n/a	1
12.359	0.333333307	BLOWPIPE	lure	n/a	n/a	n/a	1
12.693	0.683382702	MEMENTO	lure	n/a	n/a	n/a	1
13.376	0.616657204	INNOCENCE	lure	n/a	n/a	n/a	1
13.993	0.699932392	WALKER	lure	n/a	n/a	n/a	1
14.693	0.450053664	RELAXATION	lure	n/a	n/a	n/a	1
15.143	0.733264956	FRIAR	lure	n/a	n/a	n/a	1
15.876	2.049968132	MAST	long	n/a	n/a	n/a	1
17.926	0.350053481	FIREDOG	lure	n/a	n/a	n/a	1
18.276	0.649987749	INFORMER	lure	n/a	n/a	n/a	1
18.926	0.749938477	LEDGER	lure	n/a	n/a	n/a	1
19.676	0.649990106	HANDICRAFT	lure	n/a	n/a	n/a	1
20.326	0.333382917	DORM	lure	n/a	n/a	n/a	1
20.659	0.483326809	WIZARDRY	lure	n/a	n/a	n/a	1
21.143	0.666602749	DRIVER	lure	n/a	n/a	n/a	1
21.809	0.36666024	WINGSPAN	lure	n/a	n/a	n/a	1
22.176	0.333382391	HOOPLA	lure	n/a	n/a	n/a	1
22.509	0.583269929	IMBECILE	lure	n/a	n/a	n/a	1
23.093	0.616654212	WINDSTORM	lure	n/a	n/a	n/a	1
23.709	0.483336041	ABILITY	lure	n/a	n/a	n/a	1
24.193	0.616652375	CORK	short	n/a	n/a	n/a	1
24.809	0.317177379	INCIVILITY	lure	n/a	n/a	n/a	1
25.126	0.366149046	SHRUB	lure	n/a	n/a	n/a	1
25.492	0.749987999	SHELLSHOCK	lure	n/a	n/a	n/a	1
26.242	0.500049322	APOTHECARY	lure	n/a	n/a	n/a	1
26.743	0.599936916	SHIRTWAIST	lure	n/a	n/a	n/a	1
27.342	0.433381617	DEPTH	lure	n/a	n/a	n/a	1
27.776	0.749935404	LUSTRE	lure	n/a	n/a	n/a	1
28.526	0.318464374	LONGSHIP	lure	n/a	n/a	n/a	1
28.844	0.61656476	MARIGOLD	lure	n/a	n/a	n/a	1
29.461	0.331684576	CEDAR	lure	n/a	n/a	n/a	1
29.792	0.716590706	PESSIMISM	lure	n/a	n/a	n/a	1
30.509	0.701422638	CLASSICISM	lure	n/a	n/a	n/a	1
31.211	0.46556713	MACE	lure	n/a	n/a	n/a	1
31.676	0.332988476	INADEQUACY	lure	n/a	n/a	n/a	1
32.009	1.016651809	BLACKBERRY	fruit	718	2	2	1
33.026	0.499993889	WINDER	lure	n/a	n/a	n/a	1
33.526	0.599991412	CLAPBOARD	lure	n/a	n/a	n/a	1
34.126	0.566715612	HARDWOOD	lure	n/a	n/a	n/a	1
34.692	0.435553484	TOXIN	lure	n/a	n/a	n/a	1
35.128	0.697703966	COLLATERAL	lure	n/a	n/a	n/a	1
35.826	0.483388927	DUKE	lure	n/a	n/a	n/a	1
36.309	0.433268734	PUEBLO	lure	n/a	n/a	n/a	1
36.742	0.416662597	CABIN	lure	n/a	n/a	n/a	1
37.159	0.666654932	POLITICIAN	lure	n/a	n/a	n/a	1
37.826	0.483382897	ANTIPATHY	lure	n/a	n/a	n/a	1
38.309	0.701844173	PICKER	lure	n/a	n/a	n/a	1
39.011	0.769576935	ABOLITION	lure	n/a	n/a	n/a	1
39.78	0.645215513	JUBILEE	lure	n/a	n/a	n/a	1
40.426	0.61660446	CURB	short	n/a	n/a	n/a	1
41.042	0.566710062	TRUNK	lure	n/a	n/a	n/a	1
41.609	0.649932334	PAYMENT	lure	n/a	n/a	n/a	1
42.259	0.433387321	LIFEBOAT	lure	n/a	n/a	n/a	1
42.692	0.633270575	RITUALISM	lure	n/a	n/a	n/a	1
43.326	0.316658198	TESTICLE	lure	n/a	n/a	n/a	1
43.642	0.46672118	ARTIST	lure	n/a	n/a	n/a	1
44.109	0.749933291	PARASOL	lure	n/a	n/a	n/a	1
44.859	0.566655658	FREELOADER	lure	n/a	n/a	n/a	1
45.426	0.466662645	DAIQUIRI	lure	n/a	n/a	n/a	1
45.892	0.399993076	FIREBOX	lure	n/a	n/a	n/a	1
46.292	0.766658311	LOOKUP	lure	n/a	n/a	n/a	1
47.059	0.699987636	SHOWCASE	lure	n/a	n/a	n/a	1
47.759	0.466722899	NIGHTSHADE	lure	n/a	n/a	n/a	1
48.226	1.016585291	LIME	fruit	597	2	2	1
49.242	0.483332953	ANTIQUITY	lure	n/a	n/a	n/a	1
49.725	0.466658797	MIDAIR	lure	n/a	n/a	n/a	1
50.192	0.499994204	GOOSE	lure	n/a	n/a	n/a	1
50.692	0.76665316	WRONGDOER	lure	n/a	n/a	n/a	1
51.459	0.68332787	THERAPY	lure	n/a	n/a	n/a	1
52.142	0.633322958	WHOOPEE	lure	n/a	n/a	n/a	1
52.775	0.516659399	HAYWIRE	lure	n/a	n/a	n/a	1
53.292	0.416740926	FREEBIE	lure	n/a	n/a	n/a	1
53.709	0.352434853	UNDERTONE	lure	n/a	n/a	n/a	1
