onset	duration	stim	cond	RT	resp	cresp	acc
4.05	0.416662025	FIREMAN	lure	n/a	n/a	n/a	1
4.467	0.449997333	FRIGHT	lure	n/a	n/a	n/a	1
4.917	0.366662025	MOTEL	lure	n/a	n/a	n/a	1
5.283	0.383327267	ENZYME	lure	n/a	n/a	n/a	1
5.667	0.466659117	MOLEHILL	lure	n/a	n/a	n/a	1
6.133	0.333330283	TURNCOAT	lure	n/a	n/a	n/a	1
6.467	0.44999101	SHOWROOM	lure	n/a	n/a	n/a	1
6.917	0.702585153	PROPHECY	lure	n/a	n/a	n/a	1
7.619	2.014599066	CLUB	long	n/a	n/a	n/a	1
9.634	0.749431718	ENTHUSIAST	lure	n/a	n/a	n/a	1
10.383	0.766659138	VIOLA	lure	n/a	n/a	n/a	1
11.15	0.349990641	BRIDESMAID	lure	n/a	n/a	n/a	1
11.5	0.666657322	BIDDER	lure	n/a	n/a	n/a	1
12.167	0.683326424	HALLWAY	lure	n/a	n/a	n/a	1
12.85	0.316661525	BROCCOLI	lure	n/a	n/a	n/a	1
13.167	0.483325878	WINGSPREAD	lure	n/a	n/a	n/a	1
13.65	0.516720277	VARSITY	lure	n/a	n/a	n/a	1
14.167	0.333268296	PIECEWORK	lure	n/a	n/a	n/a	1
14.5	0.599987698	SECTOR	lure	n/a	n/a	n/a	1
15.1	0.43333475	EVANGELISM	lure	n/a	n/a	n/a	1
15.533	0.633369489	WORKSHOP	lure	n/a	n/a	n/a	1
16.167	2.016594308	RAVINE	long	n/a	n/a	n/a	1
18.183	0.350034516	HOMETOWN	lure	n/a	n/a	n/a	1
18.533	0.416619033	TERRAIN	lure	n/a	n/a	n/a	1
18.95	0.716653615	SLINGER	lure	n/a	n/a	n/a	1
19.666	0.4833292	DESOLATION	lure	n/a	n/a	n/a	1
20.15	0.750045344	BELT	lure	n/a	n/a	n/a	1
20.9	0.716597996	TRAITOR	lure	n/a	n/a	n/a	1
21.616	0.633327339	POPULISM	lure	n/a	n/a	n/a	1
22.25	0.683324273	PROJECTOR	lure	n/a	n/a	n/a	1
22.933	0.316706747	NAMEPLATE	lure	n/a	n/a	n/a	1
23.25	0.68333893	DISLOYALTY	lure	n/a	n/a	n/a	1
23.933	0.449933563	SHOEMAKER	lure	n/a	n/a	n/a	1
24.383	0.616659926	FOIL	short	n/a	n/a	n/a	1
25	0.433325507	CRAWLER	lure	n/a	n/a	n/a	1
25.433	0.466705884	CRAB	lure	n/a	n/a	n/a	1
25.9	0.366611718	CLOSEUP	lure	n/a	n/a	n/a	1
26.266	0.666654151	TWINE	lure	n/a	n/a	n/a	1
26.933	0.383379507	CLOUDBURST	lure	n/a	n/a	n/a	1
27.316	0.57135681	LINER	lure	n/a	n/a	n/a	1
27.888	0.361919337	ROSARY	lure	n/a	n/a	n/a	1
28.25	0.733322004	SHREDDER	lure	n/a	n/a	n/a	1
28.983	0.63332133	BEARD	lure	n/a	n/a	n/a	1
29.616	0.433330057	STOCKPOT	lure	n/a	n/a	n/a	1
30.05	0.583329668	APPAREL	lure	n/a	n/a	n/a	1
30.633	0.536039259	INVASION	lure	n/a	n/a	n/a	1
31.169	0.413943161	LYRICISM	lure	n/a	n/a	n/a	1
31.583	0.51670993	CASTAWAY	lure	n/a	n/a	n/a	1
32.1	0.733269558	PILL	lure	n/a	n/a	n/a	1
32.833	1.049987252	PLUM	fruit	n/a	n/a	2	0
33.883	0.433400381	RARITY	lure	n/a	n/a	n/a	1
34.316	0.63660148	SOFTWARE	lure	161	2	n/a	0
34.953	0.346644884	BROADSWORD	lure	n/a	n/a	n/a	1
35.3	0.533327504	ROUNDUP	lure	n/a	n/a	n/a	1
35.833	0.649989281	DISHCLOTH	lure	n/a	n/a	n/a	1
36.483	0.49999662	MAXIMA	lure	n/a	n/a	n/a	1
36.983	0.533322342	LAYMEN	lure	n/a	n/a	n/a	1
37.516	0.73332165	PROJECTILE	lure	n/a	n/a	n/a	1
38.25	0.46666344	AGGRESSOR	lure	n/a	n/a	n/a	1
38.716	0.666656902	SCRUTINY	lure	n/a	n/a	n/a	1
39.383	0.466657722	MADHOUSE	lure	n/a	n/a	n/a	1
39.85	0.74998839	CITIZEN	lure	n/a	n/a	n/a	1
40.6	0.649992307	FLYER	lure	n/a	n/a	n/a	1
41.249	0.61666029	DRILL	short	n/a	n/a	n/a	1
41.866	0.316659441	TABOO	lure	n/a	n/a	n/a	1
42.183	0.749988665	IDIOM	lure	n/a	n/a	n/a	1
42.933	0.383329558	TECHNICIAN	lure	n/a	n/a	n/a	1
43.316	0.716657685	CHAIRMEN	lure	n/a	n/a	n/a	1
44.033	0.60004929	JURIST	lure	n/a	n/a	n/a	1
44.633	0.399934211	COVE	lure	n/a	n/a	n/a	1
45.033	0.416661477	THRILLER	lure	n/a	n/a	n/a	1
45.449	0.366661242	TIMEPIECE	lure	n/a	n/a	n/a	1
45.816	0.349994877	SINCERITY	lure	n/a	n/a	n/a	1
46.166	0.733323796	SIMILARITY	lure	n/a	n/a	n/a	1
46.899	0.516713888	TOWNSHIP	lure	n/a	n/a	n/a	1
47.416	0.633272088	LATRINE	lure	n/a	n/a	n/a	1
48.049	0.666654702	GUNMEN	lure	n/a	n/a	n/a	1
48.716	0.566717313	CONDOLENCE	lure	n/a	n/a	n/a	1
49.283	2.016579279	MAST	long	n/a	n/a	n/a	1
51.299	0.566656788	INQUISITOR	lure	n/a	n/a	n/a	1
51.866	0.483331623	POSSE	lure	n/a	n/a	n/a	1
52.349	0.433326424	ACTIVITY	lure	n/a	n/a	n/a	1
52.783	0.449988478	GASKET	lure	n/a	n/a	n/a	1
53.233	0.53332848	FINANCIER	lure	n/a	n/a	n/a	1
53.766	0.649989353	DUDE	lure	n/a	n/a	n/a	1
54.416	0.333328742	CLUMP	lure	n/a	n/a	n/a	1
54.749	0.516665111	CLERIC	lure	n/a	n/a	n/a	1
55.266	0.716653203	BOXCAR	lure	n/a	n/a	n/a	1
55.983	0.433330107	METRO	lure	n/a	n/a	n/a	1
56.416	0.66666094	OUTREACH	lure	n/a	n/a	n/a	1
57.083	0.34999021	SACKCLOTH	lure	n/a	n/a	n/a	1
57.433	2.016634055	CONE	long	n/a	n/a	n/a	1
59.449	0.733372601	FOYER	lure	n/a	n/a	n/a	1
60.183	0.533280425	VEGETABLE	lure	n/a	n/a	n/a	1
60.716	0.566657426	FULLBACK	lure	n/a	n/a	n/a	1
61.283	0.633325001	HOUSEWIFE	lure	n/a	n/a	n/a	1
61.916	0.349992663	CINEMA	lure	n/a	n/a	n/a	1
62.266	0.383379836	BATHROBE	lure	n/a	n/a	n/a	1
62.649	0.633274588	EARTHWORM	lure	n/a	n/a	n/a	1
63.283	0.433325757	OBLIGATION	lure	n/a	n/a	n/a	1
63.716	0.31666208	COASTLINE	lure	n/a	n/a	n/a	1
64.033	0.649990472	CARPORT	lure	n/a	n/a	n/a	1
64.683	0.649991702	LAUNCHER	lure	n/a	n/a	n/a	1
65.332	0.433328379	INCREMENT	lure	n/a	n/a	n/a	1
65.766	1.020610165	PEAR	fruit	648	2	2	1
66.786	0.449121702	HEADROOM	lure	n/a	n/a	n/a	1
67.236	0.330242598	INTENT	lure	n/a	n/a	n/a	1
67.566	0.516658738	QUOTA	lure	n/a	n/a	n/a	1
68.082	0.316662078	MONOLOGUE	lure	n/a	n/a	n/a	1
68.399	0.583324879	PARAMETER	lure	n/a	n/a	n/a	1
68.982	0.75007874	FACT	lure	n/a	n/a	n/a	1
69.733	0.766568597	HEIGHT	lure	n/a	n/a	n/a	1
70.499	0.733320564	DIGIT	lure	n/a	n/a	n/a	1
71.232	0.416662314	ARTICHOKE	lure	n/a	n/a	n/a	1
71.649	0.733324044	PERPLEXITY	lure	n/a	n/a	n/a	1
72.382	0.500049893	BANDSTAND	lure	n/a	n/a	n/a	1
72.882	0.651338121	BAZAAR	lure	n/a	n/a	n/a	1
73.534	0.468563584	GEOGRAPHY	lure	n/a	n/a	n/a	1
74.002	0.614567046	DEPOT	short	n/a	n/a	n/a	1
74.617	0.615439602	CHURCHYARD	lure	n/a	n/a	n/a	1
75.232	0.699991258	PATELLA	lure	n/a	n/a	n/a	1
75.932	0.633318529	THIMBLE	lure	n/a	n/a	n/a	1
76.566	0.499999182	UPRISING	lure	n/a	n/a	n/a	1
77.066	0.733321858	VARIETY	lure	n/a	n/a	n/a	1
77.799	0.753839234	JANITOR	lure	n/a	n/a	n/a	1
78.553	0.662811679	LLAMA	lure	n/a	n/a	n/a	1
79.216	0.599986377	PROPORTION	lure	n/a	n/a	n/a	1
79.816	0.533328133	CONFERENCE	lure	n/a	n/a	n/a	1
80.349	0.683318105	MEAL	lure	n/a	n/a	n/a	1
81.032	0.616661257	RETAIL	lure	n/a	n/a	n/a	1
81.649	0.416662078	CAB	lure	n/a	n/a	n/a	1
82.066	2.016633692	PUTTY	long	n/a	n/a	n/a	1
84.082	0.583386916	BLOOMER	lure	n/a	n/a	n/a	1
84.666	0.599934786	PIANIST	lure	n/a	n/a	n/a	1
85.266	0.399994828	CALAMITY	lure	n/a	n/a	n/a	1
85.666	0.633324404	HOSTILITY	lure	n/a	n/a	n/a	1
86.299	0.516659089	CORONATION	lure	n/a	n/a	n/a	1
86.816	0.466709285	PARSON	lure	n/a	n/a	n/a	1
87.282	0.583273614	PEACOCK	lure	n/a	n/a	n/a	1
87.866	0.71665779	GOBBLER	lure	n/a	n/a	n/a	1
88.582	0.549991978	INFRACTION	lure	n/a	n/a	n/a	1
89.132	0.599988442	BODYWORK	lure	n/a	n/a	n/a	1
89.732	0.516664478	CLUBHOUSE	lure	n/a	n/a	n/a	1
90.249	0.616656482	RAMP	short	n/a	n/a	n/a	1
90.865	0.499998304	EVENING	lure	n/a	n/a	n/a	1
91.365	0.416655527	DOOR	lure	n/a	n/a	n/a	1
91.782	0.383329017	TORQUE	lure	n/a	n/a	n/a	1
92.165	0.399993549	PILLBOX	lure	n/a	n/a	n/a	1
92.565	0.349994541	CEREBELLUM	lure	n/a	n/a	n/a	1
92.915	0.68332508	OUTFIELD	lure	n/a	n/a	n/a	1
93.599	0.670701946	ALBINO	lure	n/a	n/a	n/a	1
94.269	0.596564747	DISSENSION	lure	n/a	n/a	n/a	1
94.866	0.499375794	ENCAMPMENT	lure	n/a	n/a	n/a	1
95.365	0.466703921	TUITION	lure	n/a	n/a	n/a	1
95.832	0.48328208	ZOMBIE	lure	n/a	n/a	n/a	1
96.315	0.466659245	STONEWORK	lure	n/a	n/a	n/a	1
96.782	0.466657731	BOOKCASE	lure	n/a	n/a	n/a	1
97.249	0.3999919	GRANDEUR	lure	n/a	n/a	n/a	1
97.649	0.349999198	HOG	lure	n/a	n/a	n/a	1
97.999	0.366663897	MEDALLION	lure	n/a	n/a	n/a	1
98.365	0.616657417	TIRE	short	n/a	n/a	n/a	1
98.982	0.699990999	NUCLEI	lure	n/a	n/a	n/a	1
99.682	0.749987271	PEGBOARD	lure	n/a	n/a	n/a	1
100.432	0.616657929	HEARTBURN	lure	n/a	n/a	n/a	1
101.049	0.616658971	BARRICADE	lure	n/a	n/a	n/a	1
101.665	0.566662323	BARBARITY	lure	n/a	n/a	n/a	1
102.232	0.683319215	MEDLEY	lure	n/a	n/a	n/a	1
102.915	0.549993822	SHUTDOWN	lure	n/a	n/a	n/a	1
103.465	0.516719535	GUESSWORK	lure	n/a	n/a	n/a	1
103.982	0.583263398	COMMUTE	lure	n/a	n/a	n/a	1
104.565	0.366698084	SHEET	lure	n/a	n/a	n/a	1
104.932	0.483292937	LIBERATION	lure	n/a	n/a	n/a	1
105.415	0.350039287	UNDERWORLD	lure	n/a	n/a	n/a	1
105.765	0.466612865	CAMEO	lure	n/a	n/a	n/a	1
106.232	2.016638207	BRUSH	long	n/a	n/a	n/a	1
108.249	0.616659981	HOLDER	lure	n/a	n/a	n/a	1
108.865	0.733369154	TRAVELLER	lure	n/a	n/a	n/a	1
109.599	0.666672496	CHASER	lure	n/a	n/a	n/a	1
110.265	0.586517773	GARDENER	lure	n/a	n/a	n/a	1
110.852	0.496737295	FEDERATION	lure	n/a	n/a	n/a	1
111.349	0.483322847	SMITH	lure	n/a	n/a	n/a	1
111.832	0.550041792	JAILBIRD	lure	n/a	n/a	n/a	1
112.382	0.516615554	CHASTITY	lure	n/a	n/a	n/a	1
112.898	0.416660465	ROADSIDE	lure	n/a	n/a	n/a	1
113.315	0.56670907	FRAILTY	lure	n/a	n/a	n/a	1
113.882	0.583274588	YEAST	lure	n/a	n/a	n/a	1
114.465	2.016639438	SAIL	long	n/a	n/a	n/a	1
116.482	0.716718671	DRAMA	lure	n/a	n/a	n/a	1
117.198	0.366645119	OBSERVER	lure	n/a	n/a	n/a	1
117.565	0.499945615	MOMENT	lure	n/a	n/a	n/a	1
118.065	0.583325052	STAIRCASE	lure	n/a	n/a	n/a	1
118.648	0.566659566	MILKSHAKE	lure	n/a	n/a	n/a	1
119.215	0.333373108	VINEGAR	lure	n/a	n/a	n/a	1
119.548	0.549947221	SENIORITY	lure	n/a	n/a	n/a	1
120.098	0.566701518	RELEVANCY	lure	n/a	n/a	n/a	1
120.665	0.399950262	DEFENCE	lure	n/a	n/a	n/a	1
121.065	0.583371117	LIMB	lure	n/a	n/a	n/a	1
121.648	0.483281721	MYSTIQUE	lure	n/a	n/a	n/a	1
122.132	0.383329232	GANDER	lure	n/a	n/a	n/a	1
122.515	0.650038695	LIGHT	short	n/a	n/a	n/a	1
123.165	0.349948094	FINALIST	lure	n/a	n/a	n/a	1
123.515	0.583372491	AQUEDUCT	lure	n/a	n/a	n/a	1
124.098	0.68327015	RIFLEMAN	lure	n/a	n/a	n/a	1
124.782	0.649996331	DALE	lure	n/a	n/a	n/a	1
125.432	0.649991537	CAGE	lure	n/a	n/a	n/a	1
126.082	0.666650671	MARE	lure	n/a	n/a	n/a	1
126.748	0.400000666	STREET	lure	n/a	n/a	n/a	1
127.148	0.599991091	MONARCH	lure	n/a	n/a	n/a	1
127.748	0.416697597	HEDONIST	lure	n/a	n/a	n/a	1
128.165	0.568422406	ENGRAVER	lure	n/a	n/a	n/a	1
128.733	0.381565836	AMPLIFIER	lure	n/a	n/a	n/a	1
129.115	0.503785897	UMBRELLA	lure	n/a	n/a	n/a	1
129.619	0.496564246	DEFECTION	lure	n/a	n/a	n/a	1
130.115	0.366259124	TRANCE	lure	n/a	n/a	n/a	1
130.482	0.616657538	CORK	short	n/a	n/a	n/a	1
131.098	0.71665763	WIFE	lure	n/a	n/a	n/a	1
131.815	0.766655406	QUILT	lure	n/a	n/a	n/a	1
132.582	0.383325872	RECITATIVE	lure	n/a	n/a	n/a	1
132.965	0.383324235	ANIMAL	lure	n/a	n/a	n/a	1
133.348	0.566663357	LULLABY	lure	n/a	n/a	n/a	1
133.915	0.349995987	SKEPTICISM	lure	n/a	n/a	n/a	1
134.265	0.333379846	MAIDENHOOD	lure	n/a	n/a	n/a	1
134.598	0.64993952	BOOZER	lure	n/a	n/a	n/a	1
