onset	duration	stim	cond	resp	acc	RT
37.45	0.543	COTE	lure	n/a	1	n/a
38	0.502	READER	lure	n/a	1	n/a
38.517	1.001	WATERMELON	fruit	detect	1	610
39.533	0.701	PORTRAIT	lure	n/a	1	n/a
40.25	0.676	WRECKER	lure	n/a	1	n/a
40.933	0.352	ALLEGIANCE	lure	n/a	1	n/a
41.3	0.344	SIMULATION	lure	n/a	1	n/a
41.65	0.704	TRUMPETER	lure	n/a	1	n/a
42.367	0.662	EYELID	lure	n/a	1	n/a
43.033	0.581	SPADE	lure	n/a	1	n/a
43.617	0.653	ITEM	lure	n/a	1	n/a
44.283	0.451	JUBILEE	lure	n/a	1	n/a
44.75	0.645	WATCHMAN	lure	n/a	1	n/a
45.4	0.567	EYEFUL	lure	n/a	1	n/a
45.983	0.704	FEET	lure	n/a	1	n/a
46.7	0.385	CINNAMON	lure	n/a	1	n/a
47.167	0.826	En/aICHMENT	lure	n/a	1	n/a
48	0.502	CONFERENCE	lure	n/a	1	n/a
48.517	0.601	BOLT	short	n/a	1	n/a
49.133	0.425	TRAPPER	lure	n/a	1	n/a
49.567	0.649	DIETICIAN	lure	n/a	1	n/a
50.233	0.362	CAMEO	lure	n/a	1	n/a
50.6	0.358	QUICKSTEP	lure	n/a	1	n/a
50.967	0.688	SHOEMAKER	lure	n/a	1	n/a
51.666	0.35	VINYL	lure	n/a	1	n/a
52.033	0.366	HOMESTEAD	lure	n/a	1	n/a
52.416	0.442	DOORKNOB	lure	n/a	1	n/a
52.866	0.548	TEARJERKER	lure	n/a	1	n/a
53.433	0.54	MAJESTY	lure	n/a	1	n/a
53.983	0.609	NEWT	lure	n/a	1	n/a
54.6	0.572	CULTIST	lure	n/a	1	n/a
55.184	0.572	JUMPER	lure	n/a	1	n/a
55.767	0.227	RATION	lure	n/a	1	n/a
56	0.502	SKELETON	lure	n/a	1	n/a
56.516	1.004	APPLE	fruit	detect	1	586
57.533	0.469	PUDDING	lure	n/a	1	n/a
58.083	0.329	ZOO	lure	n/a	1	n/a
58.417	0.448	WORKSHOP	lure	n/a	1	n/a
58.883	0.696	MADMAN	lure	n/a	1	n/a
59.583	0.54	AUDIENCE	lure	n/a	1	n/a
60.133	0.688	DISLOYALTY	lure	n/a	1	n/a
60.833	0.49	BACKLASH	lure	n/a	1	n/a
61.333	0.749	RACIALISM	lure	n/a	1	n/a
62.1	0.432	GORILLA	lure	n/a	1	n/a
62.55	0.673	INEPTITUDE	lure	n/a	1	n/a
63.233	0.355	GUY	lure	n/a	1	n/a
63.6	0.401	CAUSALITY	lure	n/a	1	n/a
64.016	0.501	BREAKAGE	lure	n/a	1	n/a
64.533	2.003	BASKET	long	n/a	1	n/a
66.55	0.681	TALC	lure	n/a	1	n/a
67.25	0.573	CONQUEROR	lure	n/a	1	n/a
