onset	duration	cond	RT	resp	cresp	acc
4.987	0.907	face	-1000	n/a	3	0
6.003	0.903	face	643	2	2	1
6.987	0.907	face	-1000	n/a	0	0
8.003	0.904	face	539	2	2	1
8.987	0.907	face	-1000	n/a	0	0
10.003	0.902	face	459	2	2	1
10.987	0.907	face	-1000	n/a	0	0
11.987	0.906	face	-1000	n/a	0	0
13.003	0.906	face	-1000	n/a	0	0
14.003	0.903	face	563	2	2	1
14.987	0.906	face	-1000	n/a	0	0
16.003	0.903	face	507	2	2	1
16.987	0.907	face	-1000	n/a	0	0
18.003	0.907	face	-1000	n/a	0	0
19.003	0.902	face	563	2	2	1
19.987	0.907	face	-1000	n/a	0	0
31.036	0.908	car	-1000	n/a	3	0
32.003	0.903	car	563	2	2	1
32.986	0.907	car	-1000	n/a	0	0
34.003	0.904	car	483	2	2	1
34.986	0.906	car	-1000	n/a	0	0
35.986	0.904	car	451	2	0	0
36.986	0.903	car	668	2	2	1
37.986	0.907	car	-1000	n/a	0	0
38.986	0.906	car	-1000	n/a	0	0
39.986	0.902	car	476	2	2	1
40.986	0.906	car	-1000	n/a	0	0
41.986	0.904	car	468	2	2	1
43.003	0.907	car	-1000	n/a	0	0
44.003	0.907	car	-1000	n/a	0	0
45.003	0.907	car	-1000	n/a	0	0
46.003	0.905	car	499	2	2	1
57.036	0.908	word	-1000	n/a	3	0
57.986	0.906	word	-1000	n/a	0	0
59.003	0.907	word	-1000	n/a	0	0
60.003	0.903	word	739	2	2	1
60.986	0.907	word	-1000	n/a	0	0
62.003	0.901	word	443	2	2	1
62.986	0.908	word	-1000	n/a	0	0
64.003	0.905	word	483	2	2	1
64.986	0.908	word	-1000	n/a	0	0
65.986	0.902	word	500	2	2	1
66.986	0.907	word	-1000	n/a	0	0
68.003	0.904	word	475	2	2	1
68.986	0.908	word	-1000	n/a	0	0
70.003	0.907	word	-1000	n/a	0	0
71.003	0.902	word	635	2	2	1
71.986	0.906	word	-1000	n/a	0	0
83.019	0.908	scene	-1000	n/a	3	0
84.002	0.906	scene	-1000	n/a	0	0
85.002	0.903	scene	548	2	2	1
85.986	0.907	scene	-1000	n/a	0	0
87.002	0.905	scene	412	2	2	1
87.986	0.907	scene	-1000	n/a	0	0
89.002	0.903	scene	452	2	2	1
89.986	0.907	scene	-1000	n/a	0	0
91.002	0.907	scene	-1000	n/a	0	0
92.002	0.903	scene	532	2	2	1
92.986	0.907	scene	-1000	n/a	0	0
94.002	0.907	scene	-1000	n/a	0	0
