onset	duration	stim	cond	resp	acc	RT
4.053	0.677	PAJAMA	lure	n/a	1	n/a
4.736	0.727	INFUSION	lure	n/a	1	n/a
5.469	0.325	EMPLOYMENT	lure	n/a	1	n/a
5.803	0.427	AIRLINER	lure	n/a	1	n/a
6.236	0.565	EGO	lure	n/a	1	n/a
6.819	0.598	SOLDIERY	lure	n/a	1	n/a
7.436	0.564	SEAHORSE	lure	n/a	1	n/a
8.086	0.502	HISTAMINE	lure	n/a	1	n/a
8.603	2.002	PHONE	long	n/a	1	n/a
10.619	0.395	SCREE	lure	n/a	1	n/a
11.019	0.386	REMORSE	lure	n/a	1	n/a
11.419	0.588	HURLER	lure	n/a	1	n/a
12.019	0.418	SYNTAX	lure	n/a	1	n/a
12.453	0.323	COMPUTER	lure	n/a	1	n/a
12.786	0.642	DOLPHIN	lure	n/a	1	n/a
13.436	0.327	PARODY	lure	n/a	1	n/a
13.769	0.232	MAINLAND	lure	n/a	1	n/a
14.019	0.502	UPTURN	lure	n/a	1	n/a
14.536	2.003	DISC	long	n/a	1	n/a
16.553	0.375	BROKERAGE	lure	n/a	1	n/a
16.936	0.629	OUTAGE	lure	n/a	1	n/a
17.569	0.544	MOSQUE	lure	n/a	1	n/a
18.119	0.509	LITERACY	lure	n/a	1	n/a
18.64	0.513	HUMILITY	lure	n/a	1	n/a
19.169	0.373	TYCOON	lure	n/a	1	n/a
19.553	0.36	OWNSELF	lure	n/a	1	n/a
19.919	0.404	CARDIGAN	lure	n/a	1	n/a
20.403	0.686	COMMUNISM	lure	n/a	1	n/a
21.103	0.897	FENDER	lure	n/a	1	n/a
22.019	0.501	DYNAMISM	lure	n/a	1	n/a
22.536	0.601	SIGN	short	n/a	1	n/a
23.153	0.374	DELL	lure	n/a	1	n/a
23.536	0.74	KINGDOM	lure	n/a	1	n/a
24.286	0.516	EVOLUTION	lure	n/a	1	n/a
24.822	0.611	CONVENT	lure	n/a	1	n/a
25.452	0.569	PERPLEXITY	lure	n/a	1	n/a
26.036	0.665	AIRLOCK	lure	n/a	1	n/a
26.719	0.675	COWARD	lure	n/a	1	n/a
27.402	0.647	SPACECRAFT	lure	n/a	1	n/a
28.052	0.616	CALIPER	lure	n/a	1	n/a
28.686	0.43	CHORD	lure	n/a	1	n/a
29.119	0.872	SALAMANDER	lure	n/a	1	n/a
30.002	0.503	MATRIARCH	lure	n/a	1	n/a
30.519	1.002	PEAR	fruit	detect	1	735
31.536	0.539	NONE	lure	n/a	1	n/a
32.086	0.399	TULIP	lure	n/a	1	n/a
32.502	0.407	PRISM	lure	n/a	1	n/a
33.002	0.477	PAINTER	lure	n/a	1	n/a
33.486	0.579	PEROXIDE	lure	n/a	1	n/a
34.069	0.571	BACKTALK	lure	n/a	1	n/a
34.652	0.493	SEQUOIA	lure	n/a	1	n/a
35.152	0.709	GUITAR	lure	n/a	1	n/a
35.869	0.43	COD	lure	n/a	1	n/a
36.302	0.516	VALET	lure	n/a	1	n/a
36.836	0.473	UNIVERSITY	lure	n/a	1	n/a
37.319	0.681	OBLIVION	lure	n/a	1	n/a
38.019	0.502	COMET	lure	n/a	1	n/a
38.536	2.002	SUMMIT	long	n/a	1	n/a
40.552	0.573	WITHDRAWAL	lure	n/a	1	n/a
41.137	0.513	PSYCHOLOGY	lure	n/a	1	n/a
41.669	0.579	RIFF	lure	n/a	1	n/a
42.252	0.644	PORTFOLIO	lure	n/a	1	n/a
42.902	0.396	COTTONSEED	lure	n/a	1	n/a
43.302	0.698	RUDDER	lure	n/a	1	n/a
44.019	0.502	CROSSWORD	lure	n/a	1	n/a
44.536	0.601	BLIZZARD	short	n/a	1	n/a
45.152	0.413	ENSIGN	lure	n/a	1	n/a
45.652	0.429	MONOTONE	lure	n/a	1	n/a
46.086	0.557	TEMPERANCE	lure	n/a	1	n/a
46.652	0.419	SHORTFALL	lure	n/a	1	n/a
47.086	0.695	RAILWAY	lure	n/a	1	n/a
47.786	0.313	PENDULUM	lure	n/a	1	n/a
48.102	0.55	DRUMSTICK	lure	n/a	1	n/a
