onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.036	11	MIST	warmup	1	865	1	4	0	1022	21,58,05,65
26.685	11	HAIRPIN	omit	3	1479	1	4	3	1917	43,49,69,74
47.018	11	BLIZZARD	short	5	778	1	4	3	1856	62,66,80,24
67.018	11	RAIL	long	3	1771	1	4	3	1752	24,17,21,05
87.018	11	BRAKE	lure	1	795	1	2	0	1138	02,13,44,40
107.018	11	ROPE	lure	1	579	1	2	0	1423	44,43,02,12
127.017	11	CHART	omit	3	1003	1	3	2	1466	49,52,25,44
147	11	BASKET	long	3	2484	1	2	1	1802	29,80,69,49
167	11	ANCHOR	short	3	493	1	3	2	1403	05,74,43,21
187.004	11	CYCLONE	lure	1	828	1	2	0	2442	05,49,25,18
207	11	BUCKLE	lure	n/a	-1000	1	2	0	2196	12,13,29,62
226.999	11	PICTURE	lure	1	1118	1	5	0	1572	54,21,02,40
246.999	11	PILE	short	4	1566	1	4	3	1404	51,62,66,13
266.999	11	COLLAR	lure	1	798	1	3	0	1154	18,62,52,51
287.002	11	EXIT	omit	5	1094	1	5	4	1521	74,13,65,51
306.998	11	COAL	long	5	1127	1	3	2	1387	24,54,44,74
326.998	11	OCEAN	lure	1	543	1	4	0	2254	80,05,43,13
346.998	11	BOLT	short	5	383	1	4	3	1180	54,62,12,52
366.997	11	GRAVEL	lure	1	1496	1	2	0	1710	44,78,02,26
386.997	11	SPONGE	long	4	800	1	5	4	1830	43,44,56,26
406.997	11	BASIN	omit	3	760	1	5	4	2739	21,26,02,25
426.997	11	LEVEL	omit	5	960	1	5	4	1427	21,66,15,65
446.996	11	RUNG	lure	1	769	1	2	0	2518	52,44,24,53
466.996	11	EASEL	lure	1	1921	1	3	0	1751	18,16,52,21
486.996	11	NOTE	long	5	897	1	4	3	1600	05,51,78,52
506.995	11	COAST	short	3	673	1	2	1	1519	24,26,16,02
526.995	11	LABEL	lure	1	1274	1	2	0	2335	17,16,56,25
546.978	11	CHASM	omit	4	1587	1	3	2	1319	17,58,43,24
566.978	11	PHONE	long	4	1339	1	2	1	1184	02,52,24,43
586.978	11	SIGN	short	5	947	1	2	1	1490	40,21,51,24
606.994	11	RATTLE	lure	1	427	1	4	0	2423	52,02,78,53
626.994	11	LAUNDRY	omit	5	1915	1	5	4	1581	56,58,51,13
646.977	11	PANEL	lure	1	836	1	2	0	1657	18,40,56,21
666.977	11	CLOAK	short	2	516	1	2	1	2122	16,80,65,21
686.993	11	CHROME	lure	1	804	1	4	0	1386	02,18,80,51
706.993	11	SUMMIT	long	3	492	1	2	1	1776	17,56,58,18
726.992	11	DISC	long	3	2501	1	3	2	1827	52,43,40,26
746.975	11	CORD	short	4	966	1	3	2	1443	24,15,56,80
766.979	11	SEAT	lure	1	718	1	2	0	1007	29,52,78,69
786.975	11	HAMMER	omit	4	574	1	2	1	1507	18,65,80,15
806.979	11	QUILL	lure	1	718	1	2	0	1284	49,44,74,05
826.974	11	SUBWAY	omit	4	1679	1	4	3	1539	53,52,05,54
846.977	11	RADIO	lure	1	631	1	2	0	1524	25,29,74,56
866.974	11	DRAIN	lure	1	455	1	3	0	765	54,18,66,49
886.974	11	SOAP	short	4	631	1	4	3	2045	17,62,49,02
906.973	11	DEPOT	long	4	680	1	4	3	2117	12,43,53,21
926.973	11	TEAR	omit	3	840	1	2	1	1445	56,65,69,80
946.973	11	RULER	lure	1	936	1	2	0	1217	69,18,12,78
966.972	11	SHELL	long	4	897	1	3	2	1647	66,62,16,26
986.989	11	FOIL	short	3	528	1	3	2	1246	40,44,17,21
1006.972	11	PUDDLE	lure	1	1217	1	4	0	1558	02,43,66,26
