onset	duration	stim	cond	RT	resp	acc
4.052	0.537	BORDERLAND	lure	n/a	n/a	1
4.603	0.309	RANCHER	lure	n/a	n/a	1
4.919	0.639	PURSUANCE	lure	n/a	n/a	1
5.569	0.43	MAID	lure	n/a	n/a	1
6.002	0.502	EQUATION	lure	n/a	n/a	1
6.519	0.602	BLIZZARD	short	n/a	n/a	1
7.136	0.657	TORSO	lure	n/a	n/a	1
7.802	0.533	DEFAMATION	lure	n/a	n/a	1
8.352	0.578	CHAMPAIGN	lure	n/a	n/a	1
8.936	0.397	MICROMETER	lure	n/a	n/a	1
9.336	0.606	IMMOBILITY	lure	n/a	n/a	1
9.952	0.704	CHIMPANZEE	lure	n/a	n/a	1
10.669	0.563	INCIDENCE	lure	n/a	n/a	1
11.236	0.635	DRESSER	lure	n/a	n/a	1
11.886	0.483	SOLILOQUY	lure	n/a	n/a	1
12.386	0.343	COWGIRL	lure	n/a	n/a	1
12.736	0.401	GARDENER	lure	n/a	n/a	1
13.152	0.332	REBOUND	lure	n/a	n/a	1
13.502	0.452	FATHERHOOD	lure	n/a	n/a	1
13.969	0.467	NONPAYMENT	lure	n/a	n/a	1
14.519	0.332	HOG	lure	n/a	n/a	1
14.869	0.415	CANON	lure	n/a	n/a	1
15.302	0.434	CHINAWARE	lure	n/a	n/a	1
15.752	0.247	CONTINENCE	lure	n/a	n/a	1
16.019	0.5	PROSPECTOR	lure	n/a	n/a	1
16.536	0.601	COAST	short	n/a	n/a	1
17.152	0.31	INSTEP	lure	n/a	n/a	1
17.469	0.31	CILIA	lure	n/a	n/a	1
17.786	0.304	SEGA	lure	n/a	n/a	1
18.102	0.425	SLINGER	lure	n/a	n/a	1
18.536	0.574	UMBRELLA	lure	n/a	n/a	1
19.119	0.446	AURA	lure	n/a	n/a	1
19.569	0.385	ACTOR	lure	n/a	n/a	1
19.969	0.375	ASSORTMENT	lure	n/a	n/a	1
20.352	0.418	TRIBUTARY	lure	n/a	n/a	1
20.786	0.528	BEELINE	lure	n/a	n/a	1
21.319	0.531	NEWCOMER	lure	n/a	n/a	1
21.869	0.726	IVY	lure	n/a	n/a	1
22.602	0.681	DRAWBRIDGE	lure	n/a	n/a	1
23.286	0.714	MATH	lure	n/a	n/a	1
24.086	0.501	ELF	lure	n/a	n/a	1
24.602	2	BASKET	long	n/a	n/a	1
26.619	0.751	HEROISM	lure	n/a	n/a	1
27.386	0.619	BEHALF	lure	n/a	n/a	1
28.019	0.318	RADIATOR	lure	n/a	n/a	1
28.352	0.322	MODESTY	lure	n/a	n/a	1
28.685	0.745	THRONE	lure	n/a	n/a	1
29.44	0.73	DREAMLAND	lure	n/a	n/a	1
30.185	0.485	LIGHTFOOT	lure	n/a	n/a	1
30.685	0.68	CONCEPT	lure	n/a	n/a	1
31.369	0.38	ACCORDANCE	lure	n/a	n/a	1
31.752	0.248	GNAT	lure	n/a	n/a	1
32.019	0.502	CENTIMETER	lure	n/a	n/a	1
32.535	1.007	GRAPEFRUIT	fruit	518	detect	1
33.556	0.433	HOSEPIPE	lure	n/a	n/a	1
34.002	0.473	TEASER	lure	n/a	n/a	1
34.485	0.534	GAP	lure	n/a	n/a	1
35.035	0.385	WHIZ	lure	n/a	n/a	1
35.435	0.555	WORKHORSE	lure	n/a	n/a	1
36.002	0.582	LANTERN	lure	n/a	n/a	1
36.669	0.388	GIVEAWAY	lure	n/a	n/a	1
37.069	0.37	YEAST	lure	n/a	n/a	1
37.452	0.409	TUNIC	lure	n/a	n/a	1
37.869	0.72	PULSAR	lure	n/a	n/a	1
38.602	0.672	FOLKLORIST	lure	n/a	n/a	1
39.285	0.644	COLLECTOR	lure	n/a	n/a	1
39.935	0.418	MEDALLIST	lure	n/a	n/a	1
40.369	0.344	PAGEANTRY	lure	n/a	n/a	1
40.719	0.741	JELLYFISH	lure	n/a	n/a	1
41.469	0.531	BETRAYER	lure	n/a	n/a	1
42.019	0.501	SAUCE	lure	n/a	n/a	1
42.535	2.001	RAIL	long	n/a	n/a	1
44.552	0.38	SABBATICAL	lure	n/a	n/a	1
44.935	0.308	GLEANER	lure	n/a	n/a	1
45.252	0.608	FAMINE	lure	n/a	n/a	1
45.869	0.429	SOLITUDE	lure	n/a	n/a	1
46.302	0.56	PLAZA	lure	n/a	n/a	1
46.869	0.7	BOTANIST	lure	n/a	n/a	1
47.585	0.414	THROWBACK	lure	n/a	n/a	1
48.019	0.502	NEUTRON	lure	n/a	n/a	1
48.602	1.004	GRAPE	fruit	571	detect	1
49.619	0.546	BARBELL	lure	n/a	n/a	1
50.169	0.446	SLOGAN	lure	n/a	n/a	1
50.619	0.346	AUDITION	lure	n/a	n/a	1
50.969	0.564	RECITAL	lure	n/a	n/a	1
51.535	0.375	DEVIANCE	lure	n/a	n/a	1
51.919	0.372	ATTRACTION	lure	n/a	n/a	1
52.302	0.441	LIFEBOAT	lure	n/a	n/a	1
52.752	0.389	STREET	lure	n/a	n/a	1
53.152	0.516	PEACETIME	lure	n/a	n/a	1
53.685	0.305	FREEDOM	lure	n/a	n/a	1
54.002	0.501	ALABASTER	lure	n/a	n/a	1
54.518	0.602	FOIL	short	n/a	n/a	1
55.135	0.69	TEn/aCY	lure	n/a	n/a	1
55.835	0.711	TUMBLEWEED	lure	n/a	n/a	1
56.552	0.655	GREENHORN	lure	n/a	n/a	1
57.218	0.581	TAILSPIN	lure	n/a	n/a	1
57.802	0.555	OPULENCE	lure	n/a	n/a	1
58.368	0.329	UPROAR	lure	n/a	n/a	1
58.702	0.502	SANDAL	lure	n/a	n/a	1
59.285	0.58	CHAUVINIST	lure	n/a	n/a	1
59.868	0.387	VIEWPOINT	lure	n/a	n/a	1
60.268	0.593	SUPERNOVA	lure	n/a	n/a	1
60.868	0.377	SOUTHPAW	lure	n/a	n/a	1
61.252	0.738	GLAMOR	lure	n/a	n/a	1
62.002	0.501	COCKTAIL	lure	n/a	n/a	1
62.518	0.602	PILE	short	n/a	n/a	1
