onset	duration	cond	RT	resp	cresp	acc
5.005	0.917	word	n/a	n/a	n/a	1
6.005	0.917	word	512	2	2	1
7.005	0.917	word	n/a	n/a	n/a	1
8.005	0.917	word	584	2	2	1
9.005	0.917	word	n/a	n/a	n/a	1
10.005	0.917	word	448	2	2	1
11.005	0.917	word	n/a	n/a	n/a	1
12.005	0.917	word	n/a	n/a	n/a	1
13.005	0.917	word	n/a	n/a	n/a	1
14.005	0.917	word	n/a	n/a	2	0
15.005	0.917	word	n/a	n/a	n/a	1
16.005	0.917	word	640	2	2	1
17.005	0.9	word	n/a	n/a	n/a	1
18.005	0.917	word	n/a	n/a	n/a	1
19.005	0.917	word	640	2	2	1
20.005	0.917	word	n/a	n/a	n/a	1
31.055	0.9	scene	n/a	n/a	n/a	1
32.005	0.917	scene	576	2	2	1
33.005	0.9	scene	n/a	n/a	n/a	1
34.005	0.917	scene	440	2	2	1
35.005	0.917	scene	n/a	n/a	n/a	1
36.005	0.917	scene	n/a	n/a	n/a	1
37.005	0.917	scene	544	2	2	1
38.005	0.917	scene	n/a	n/a	n/a	1
39.005	0.917	scene	n/a	n/a	n/a	1
40.005	0.917	scene	424	2	2	1
41.004	0.917	scene	n/a	n/a	n/a	1
42.004	0.917	scene	504	2	2	1
43.004	0.917	scene	n/a	n/a	n/a	1
44.004	0.917	scene	n/a	n/a	n/a	1
45.004	0.917	scene	n/a	n/a	n/a	1
46.004	0.918	scene	560	2	2	1
57.054	0.917	face	n/a	n/a	n/a	1
58.004	0.917	face	n/a	n/a	n/a	1
59.004	0.917	face	n/a	n/a	n/a	1
60.004	0.917	face	576	2	2	1
61.004	0.917	face	n/a	n/a	n/a	1
62.004	0.917	face	465	2	2	1
63.004	0.9	face	n/a	n/a	n/a	1
64.004	0.917	face	505	2	2	1
65.004	0.917	face	n/a	n/a	n/a	1
66.004	0.917	face	537	2	2	1
67.004	0.9	face	n/a	n/a	n/a	1
68.004	0.917	face	721	2	2	1
69.004	0.917	face	n/a	n/a	n/a	1
70.004	0.917	face	n/a	n/a	n/a	1
71.004	0.9	face	481	2	2	1
72.004	0.9	face	n/a	n/a	n/a	1
83.037	0.917	car	n/a	n/a	n/a	1
84.004	0.917	car	n/a	n/a	n/a	1
85.004	0.917	car	553	2	2	1
86.004	0.9	car	n/a	n/a	n/a	1
87.004	0.917	car	537	2	2	1
88.004	0.917	car	n/a	n/a	n/a	1
89.004	0.917	car	545	2	2	1
90.004	0.917	car	n/a	n/a	n/a	1
91.004	0.9	car	n/a	n/a	n/a	1
92.004	0.917	car	n/a	n/a	2	0
93.004	0.917	car	n/a	n/a	n/a	1
94.004	0.917	car	n/a	n/a	n/a	1
95.004	0.917	car	545	2	2	1
96.004	0.917	car	n/a	n/a	n/a	1
97.004	0.917	car	489	2	2	1
98.004	0.917	car	n/a	n/a	n/a	1
