onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.026	11	MIST	practice	1	888	1	2	2345	1174	17,56,06,67
26.006	11	BELT	short	4	529	1	3	3	1575	54,48,63,06
46.007	11	PATCH	lure	1	577	1	2	2345	1215	47,67,64,81
66.008	11	DOME	lure	1	553	1	2	2345	1295	49,47,40,63
86.005	11	MUZZLE	omit	3	937	1	4	4	888	69,72,47,54
106.005	11	FOAM	long	5	786	1	2	2	1848	52,25,10,81
126.005	11	MATTER	short	5	538	1	4	4	736	56,64,59,06
146.004	11	MOUNTAIN	lure	1	707	1	2	2345	1336	59,10,49,29
166.006	11	BOAT	omit	4	915	1	4	4	1257	54,06,64,69
186.004	11	MONSOON	lure	1	723	1	4	2345	1737	81,48,63,56
206.004	11	CLUB	long	4	987	1	3	3	1449	28,17,05,69
226.003	11	BUCKET	short	5	876	1	2	2	938	62,28,17,06
246.003	11	GATEWAY	lure	1	484	1	4	2345	1378	11,81,54,06
266.002	11	CORK	lure	1	932	1	5	2345	1594	05,59,62,67
286.002	11	RACKET	long	1	1277	0	2	4	1675	18,40,56,10
306.002	11	DRILL	omit	1	557	0	2	5	1627	59,29,10,49
326.001	11	WAGON	lure	1	453	1	2	2345	1547	67,25,81,10
346.001	11	CARAVAN	short	5	853	1	2	2	907	67,17,48,62
365.987	11	RUNG	omit	5	2790	1	2	2	1580	22,57,11,40
386.001	11	TART	long	4	1046	1	5	5	1564	47,63,50,29
405.984	11	DISTRICT	lure	1	567	1	2	2345	973	59,72,18,52
425.983	11	FIDDLE	omit	4	503	1	4	4	1389	81,69,54,62
445.983	11	BRASS	short	5	791	1	2	2	1453	53,17,75,06
465.983	11	CARD	lure	1	896	1	4	2345	750	25,49,69,53
485.982	11	COLUMN	long	3	992	1	3	3	2110	17,25,59,06
505.982	11	SOAP	lure	1	1264	1	5	2345	1006	69,11,06,54
525.982	11	NOVEL	short	5	449	0	5	2	1447	11,28,52,06
545.982	11	LIGHT	omit	5	1097	1	4	4	1287	25,10,06,56
565.982	11	EXIT	lure	n/a	n/a	1	2	2345	1711	48,49,63,47
585.981	11	PURSE	lure	n/a	n/a	1	2	2345	3000	11,31,18,67
605.982	11	SANDPAPER	long	4	842	1	4	4	1550	47,40,05,49
625.981	11	WIRE	lure	1	930	1	3	2345	1368	50,06,53,17
645.98	11	PYRAMID	long	5	186	1	5	5	2024	72,40,31,57
665.984	11	ASHES	short	3	608	1	5	5	1617	40,75,11,50
685.982	11	PADDLE	lure	1	723	1	2	2345	1929	53,28,50,05
705.982	11	CARBON	omit	5	1371	1	3	3	1977	54,81,53,22
725.983	11	PHONE	omit	5	723	1	5	5	793	50,22,47,75
745.979	11	SAIL	long	4	428	1	2	2	1034	63,62,53,59
765.98	11	SPARK	short	5	716	1	2	2	1754	69,59,63,56
785.978	11	POLE	lure	1	852	1	5	2345	322	75,22,52,62
805.978	11	PICTURE	lure	1	357	1	2	2345	1027	28,75,62,59
825.978	11	DOCK	omit	5	477	1	5	5	859	31,57,72,28
845.977	11	PIANO	short	4	1349	1	4	4	2171	06,22,18,56
865.977	11	BANNER	lure	n/a	n/a	0	n/a	2345	n/a	62,54,25,05
885.977	11	AXLE	lure	1	470	1	2	2345	2004	57,18,75,54
905.977	11	RIDGE	long	3	910	1	2	2	2372	72,67,40,10
925.976	11	TEAR	lure	1	942	1	3	2345	436	63,64,72,67
945.976	11	CITY	short	5	439	1	5	5	1309	81,47,53,10
965.976	11	PITCHFORK	lure	1	487	1	2	2345	326	22,50,05,53
985.959	11	PUZZLE	omit	4	1544	1	5	5	2222	48,49,54,31
1005.975	11	COUNCIL	long	5	960	1	2	2	1317	40,59,64,25
