onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.031	11	MIST	practice	1	458	1	3	2345	1107	56,22,40,47
26.014	11	LEAD	lure	1	647	1	5	2345	861	52,62,50,53
46.015	11	TART	long	5	551	1	3	3	1733	69,29,50,18
66.014	11	FOSSIL	lure	1	552	1	2	2345	1446	81,29,49,28
86.013	11	FIDDLE	omit	5	2968	1	2	2	1414	54,59,63,29
106.013	11	CARAVAN	short	1	464	0	2	3	510	63,67,17,49
125.996	11	SPARK	short	5	649	1	4	4	1031	62,22,69,59
146.012	11	BOTTLE	lure	1	753	1	2	2345	1583	47,10,18,17
166.012	11	MUZZLE	omit	5	689	1	4	4	1399	06,57,47,72
186.012	11	FRONTIER	lure	1	1193	1	2	2345	847	52,59,05,22
205.995	11	CLUB	long	5	770	1	3	3	1080	10,17,25,53
226.011	11	ANCHOR	lure	1	618	1	2	2345	1456	25,63,11,10
246.011	11	POUCH	lure	1	586	1	2	2345	600	72,47,17,54
266.011	11	COLUMN	long	4	1059	1	5	5	2425	54,06,31,25
286.01	11	DRILL	omit	5	427	1	3	3	873	63,49,28,52
306.01	11	BRASS	short	5	611	1	2	2	1817	53,50,49,48
325.997	11	BADGE	lure	1	770	1	2	2345	1114	05,62,56,67
346.01	11	SAIL	long	5	508	1	2	2	1242	63,59,57,64
365.993	11	BELT	short	5	2453	1	4	4	1043	53,62,48,54
385.992	11	SPONGE	lure	1	373	1	2	2345	1299	54,28,17,62
405.997	11	RUNG	omit	5	466	1	2	2	1763	22,75,62,50
425.992	11	LIGHT	omit	4	2574	0	n/a	5	n/a	49,17,47,06
445.991	11	RIDGE	long	5	438	1	3	3	2564	40,72,10,11
465.991	11	BUCKET	short	5	342	1	4	4	1172	67,72,62,18
485.991	11	MOON	lure	1	710	1	2	2345	797	69,28,67,59
505.991	11	FOREST	lure	1	1087	1	2	2345	1037	52,18,56,47
525.994	11	OCEAN	lure	1	845	1	2	2345	1525	18,56,48,67
545.99	11	PUZZLE	omit	4	447	1	2	2	1797	31,59,72,06
565.99	11	PYRAMID	long	5	728	1	4	4	942	29,40,57,67
585.989	11	CITY	short	5	592	1	4	4	1286	48,49,10,31
605.989	11	POWDER	lure	1	680	1	2	2345	1302	31,40,05,63
625.989	11	CLOAK	lure	1	904	1	2	2345	1063	62,25,40,57
645.99	11	DOCK	omit	5	497	1	5	5	735	81,67,29,28
665.989	11	MATTER	short	5	689	1	3	3	815	81,59,75,25
685.989	11	SAND	lure	1	641	1	2	2345	1551	63,11,59,50
705.988	11	COUNCIL	long	5	450	1	2	2	1056	40,18,62,63
725.987	11	CARBON	omit	5	450	1	5	5	2120	67,72,62,81
745.987	11	SANDPAPER	long	5	554	1	4	4	816	64,69,05,54
765.987	11	RATTLE	lure	1	499	1	2	2345	1353	72,17,11,18
785.987	11	ORNAMENT	lure	1	635	1	2	2345	313	72,54,57,22
805.986	11	PIANO	short	5	355	1	2	2	1305	18,11,63,72
825.986	11	MACHINE	lure	1	563	1	2	2345	1049	25,63,11,50
845.986	11	PARK	lure	1	468	1	2	2345	1826	67,06,56,05
865.985	11	ASHES	short	5	468	1	3	3	1410	40,50,48,69
885.985	11	BOAT	omit	5	404	1	3	3	794	17,64,22,11
905.985	11	FOAM	long	5	493	1	3	3	2267	69,52,64,22
925.985	11	SHIRT	lure	1	749	1	2	2345	739	75,48,72,28
945.968	11	PHONE	omit	5	470	1	2	2	1676	75,29,52,81
965.969	11	NOVEL	short	5	334	1	4	4	1204	48,62,11,18
985.967	11	RACKET	long	1	454	0	2	3	964	48,56,31,28
1005.967	11	TICKET	lure	1	1087	1	2	2345	493	59,29,11,31
