onset	duration	stim	cond	resp	acc	RT
4.052	0.543	WARLORD	lure	n/a	1	n/a
4.602	0.408	SOLICITOR	lure	n/a	1	n/a
5.018	0.421	LUCK	lure	n/a	1	n/a
5.452	0.633	EXERTION	lure	n/a	1	n/a
6.102	0.707	CLUMP	lure	n/a	1	n/a
6.818	0.649	CARAMEL	lure	n/a	1	n/a
7.485	0.514	IMMUNOLOGY	lure	n/a	1	n/a
8.018	0.502	COWBOY	lure	n/a	1	n/a
8.552	0.602	BRIDGE	short	n/a	1	n/a
9.168	0.438	OCTANE	lure	n/a	1	n/a
9.618	0.714	MUDSLINGER	lure	n/a	1	n/a
10.352	0.43	MONOXIDE	lure	n/a	1	n/a
10.785	0.48	MONOPOLY	lure	n/a	1	n/a
11.285	0.677	CUPCAKE	lure	n/a	1	n/a
11.968	0.682	MAIZE	lure	n/a	1	n/a
12.668	0.344	CURRENCY	lure	n/a	1	n/a
13.018	0.713	CRATER	lure	n/a	1	n/a
13.735	0.501	CREWMAN	lure	n/a	1	n/a
14.252	0.541	LOCALITY	lure	n/a	1	n/a
14.802	0.343	APOLOGY	lure	n/a	1	n/a
15.218	0.781	PEN	lure	n/a	1	n/a
16.018	0.502	ANTIBODY	lure	n/a	1	n/a
16.535	1.005	PLUM	fruit	detect	1	662
17.553	0.666	GESTATION	lure	n/a	1	n/a
18.235	0.338	EARTHQUAKE	lure	n/a	1	n/a
18.585	0.437	ALTO	lure	n/a	1	n/a
19.035	0.343	SYNTAX	lure	n/a	1	n/a
19.385	0.725	LUSTRE	lure	n/a	1	n/a
20.118	0.56	En/aICHMENT	lure	n/a	1	n/a
20.685	0.566	BUGABOO	lure	n/a	1	n/a
21.268	0.603	VIEWPOINT	lure	n/a	1	n/a
21.885	0.37	ION	lure	n/a	1	n/a
22.268	0.459	WICKET	lure	n/a	1	n/a
22.735	0.67	ARCHWAY	lure	n/a	1	n/a
23.418	0.324	PRINCIPLE	lure	n/a	1	n/a
23.751	0.568	SHORTCAKE	lure	n/a	1	n/a
24.335	0.526	COCKTAIL	lure	n/a	1	n/a
24.868	0.607	HUMIDITY	lure	n/a	1	n/a
25.485	0.42	VOLCANO	lure	n/a	1	n/a
25.918	0.487	GOOBER	lure	n/a	1	n/a
26.485	0.526	MOOD	lure	n/a	1	n/a
27.018	0.579	WAIST	lure	n/a	1	n/a
27.601	0.471	DOGMA	lure	n/a	1	n/a
28.085	0.356	GYM	lure	n/a	1	n/a
28.451	0.661	FLAPJACK	lure	n/a	1	n/a
29.118	0.613	WHEELBASE	lure	n/a	1	n/a
29.735	0.264	COSTUMER	lure	n/a	1	n/a
30.018	0.502	INFANTRY	lure	n/a	1	n/a
30.538	0.601	PIN	short	n/a	1	n/a
31.151	0.626	OFFENCE	lure	n/a	1	n/a
31.785	0.411	REFILL	lure	n/a	1	n/a
