onset	duration	stim	cond	resp	acc	RT
4.051	0.58	MINUTE	lure	n/a	1	n/a
4.648	0.52	STORY	lure	n/a	1	n/a
5.182	0.438	HOPSCOTCH	lure	n/a	1	n/a
5.632	0.592	PANEL	lure	n/a	1	n/a
6.232	0.38	SANDALWOOD	lure	n/a	1	n/a
6.632	0.708	OPTIMISM	lure	n/a	1	n/a
7.352	0.648	STIPEND	lure	n/a	1	n/a
8.015	0.501	CAPTIVITY	lure	n/a	1	n/a
8.532	0.602	LAKE	short	n/a	1	n/a
9.148	0.442	HARPIST	lure	n/a	1	n/a
9.598	0.359	REALM	lure	n/a	1	n/a
9.965	0.423	PAYROLL	lure	n/a	1	n/a
10.398	0.37	STORAGE	lure	n/a	1	n/a
10.782	0.71	FESTIVAL	lure	n/a	1	n/a
11.498	0.448	FLUTE	lure	n/a	1	n/a
11.965	0.426	FLOATER	lure	n/a	1	n/a
12.398	0.716	LID	lure	n/a	1	n/a
13.132	0.609	OSTEOPATHY	lure	n/a	1	n/a
13.748	0.466	BROADSWORD	lure	n/a	1	n/a
14.298	0.657	DIRECTION	lure	n/a	1	n/a
14.967	0.44	BUREAU	lure	n/a	1	n/a
15.415	0.552	SEASON	lure	n/a	1	n/a
15.982	0.415	SOOT	lure	n/a	1	n/a
16.415	0.322	DRAWBRIDGE	lure	n/a	1	n/a
16.748	0.442	DIALECTIC	lure	n/a	1	n/a
17.198	0.802	STERLING	lure	n/a	1	n/a
18.015	0.503	OUTHOUSE	lure	n/a	1	n/a
18.532	2.001	PISTOL	long	n/a	1	n/a
20.548	0.497	HABITAT	lure	n/a	1	n/a
21.065	0.719	MOUTHPIECE	lure	n/a	1	n/a
21.798	0.679	CROCK	lure	n/a	1	n/a
22.482	0.603	NECKLINE	lure	n/a	1	n/a
23.098	0.741	MIRAGE	lure	n/a	1	n/a
23.865	0.451	CONJUNCT	lure	n/a	1	n/a
24.332	0.496	SIRLOIN	lure	n/a	1	n/a
24.832	0.454	CASUALTY	lure	n/a	1	n/a
25.298	0.701	DRIFTWOOD	lure	n/a	1	n/a
26.015	0.502	CATARACT	lure	n/a	1	n/a
26.531	2.002	STADIUM	long	n/a	1	n/a
28.619	0.549	RESISTOR	lure	n/a	1	n/a
29.181	0.392	HEMISPHERE	lure	n/a	1	n/a
29.581	0.49	SCANDAL	lure	n/a	1	n/a
30.081	0.674	EMBARGO	lure	n/a	1	n/a
30.765	0.477	NONSMOKER	lure	n/a	1	n/a
31.248	0.651	LION	lure	n/a	1	n/a
31.915	0.56	DEPENDENCE	lure	n/a	1	n/a
32.481	0.473	FAIRWAY	lure	n/a	1	n/a
32.965	0.426	BOBCAT	lure	n/a	1	n/a
33.398	0.601	EXPOSURE	lure	n/a	1	n/a
34.015	0.503	PROBLEM	lure	n/a	1	n/a
34.531	0.603	BRIDGE	short	n/a	1	n/a
35.148	0.403	PERSONAGE	lure	n/a	1	n/a
35.565	0.728	KIDNEY	lure	n/a	1	n/a
36.298	0.462	CHARITY	lure	n/a	1	n/a
36.765	0.556	IMPOSTURE	lure	n/a	1	n/a
37.331	0.532	NORMALITY	lure	n/a	1	n/a
37.881	0.586	MANDIBLE	lure	n/a	1	n/a
38.481	0.4	COMMODORE	lure	n/a	1	n/a
38.898	0.444	HUBBY	lure	n/a	1	n/a
39.415	0.408	FIXATION	lure	n/a	1	n/a
39.831	0.627	BACHELOR	lure	n/a	1	n/a
40.465	0.523	CANDY	lure	n/a	1	n/a
40.998	0.751	ALUMNI	lure	n/a	1	n/a
41.765	0.235	SEAHORSE	lure	n/a	1	n/a
42.015	0.502	BROOMSTICK	lure	n/a	1	n/a
42.531	0.602	BUCKET	short	n/a	1	n/a
43.148	0.599	FOLLICLE	lure	n/a	1	n/a
43.765	0.459	BELLHOP	lure	n/a	1	n/a
44.231	0.419	DEN	lure	n/a	1	n/a
44.665	0.496	ANALYZER	lure	n/a	1	n/a
45.165	0.358	POLO	lure	n/a	1	n/a
45.531	0.465	MATURATION	lure	n/a	1	n/a
46.015	0.368	PIGPEN	lure	n/a	1	n/a
46.398	0.379	SAKE	lure	n/a	1	n/a
46.781	0.451	AMNESTY	lure	n/a	1	n/a
47.248	0.514	ANATOMY	lure	n/a	1	n/a
47.781	0.57	INFIELDER	lure	n/a	1	n/a
48.365	0.639	GASP	lure	n/a	1	n/a
49.015	0.747	MANICURE	lure	n/a	1	n/a
49.848	0.524	PODIUM	lure	n/a	1	n/a
50.381	0.451	PERMIT	lure	n/a	1	n/a
50.848	0.346	INTERLINK	lure	n/a	1	n/a
51.198	0.451	SUBURB	lure	n/a	1	n/a
51.664	0.623	LOOTER	lure	n/a	1	n/a
52.298	0.46	FORGERY	lure	n/a	1	n/a
52.764	0.6	DIVINATION	lure	n/a	1	n/a
53.381	0.611	CROPPER	lure	n/a	1	n/a
53.998	0.501	GRIMACE	lure	n/a	1	n/a
54.514	2.003	GALLON	long	n/a	1	n/a
56.531	0.589	GNAT	lure	n/a	1	n/a
57.131	0.342	INEPTITUDE	lure	n/a	1	n/a
57.481	0.451	RITUAL	lure	n/a	1	n/a
57.948	0.589	FIRTH	lure	n/a	1	n/a
58.548	0.721	FACULTY	lure	n/a	1	n/a
59.281	0.592	EGGPLANT	lure	n/a	1	n/a
59.884	0.114	CHLORIDE	lure	n/a	1	n/a
60.014	0.502	CROWBAR	lure	n/a	1	n/a
60.531	1.005	STRAWBERRY	fruit	detect	1	763
61.548	0.461	FLUKE	lure	n/a	1	n/a
62.081	0.66	VOYAGER	lure	n/a	1	n/a
62.748	0.503	TAXONOMY	lure	n/a	1	n/a
63.264	0.624	STEPSISTER	lure	n/a	1	n/a
63.898	0.698	LEUKEMIA	lure	n/a	1	n/a
64.614	0.589	MIRACLE	lure	n/a	1	n/a
65.214	0.512	EYEFUL	lure	n/a	1	n/a
65.731	0.355	ALLEYWAY	lure	n/a	1	n/a
66.099	0.375	STOPOVER	lure	n/a	1	n/a
66.485	0.326	BOWSTRING	lure	n/a	1	n/a
66.814	0.394	SHOPKEEPER	lure	n/a	1	n/a
67.214	0.68	EFFICACY	lure	n/a	1	n/a
67.898	0.473	UNDERLAY	lure	n/a	1	n/a
68.381	0.386	FIRESIDE	lure	n/a	1	n/a
68.781	0.394	STRENGTH	lure	n/a	1	n/a
69.181	0.533	FANTASIA	lure	n/a	1	n/a
69.731	0.382	PARENTHOOD	lure	n/a	1	n/a
70.131	0.466	EARACHE	lure	n/a	1	n/a
70.614	0.421	POWERHOUSE	lure	n/a	1	n/a
71.048	0.688	PROMINENCE	lure	n/a	1	n/a
71.748	0.244	CABINET	lure	n/a	1	n/a
72.081	0.502	INFUSION	lure	n/a	1	n/a
72.598	1.004	GRAPE	fruit	detect	1	880
73.614	0.591	SUNBONNET	lure	n/a	1	n/a
74.214	0.414	INDUCTION	lure	n/a	1	n/a
74.647	0.476	TON	lure	n/a	1	n/a
75.131	0.405	DEPUTY	lure	n/a	1	n/a
75.548	0.572	CROQUET	lure	n/a	1	n/a
76.132	0.528	EDDY	lure	n/a	1	n/a
76.664	0.366	OMELETTE	lure	n/a	1	n/a
77.047	0.373	COLORATION	lure	n/a	1	n/a
77.431	0.51	EMULATION	lure	n/a	1	n/a
