onset	duration	cue	cond	resp	acc	RT
4.049	0.479	TINFOIL	lure	n/a	1	n/a
4.532	0.719	STANDPOINT	lure	n/a	1	n/a
5.266	0.733	HOBBY	lure	n/a	1	n/a
6.016	0.502	MACE	lure	n/a	1	n/a
6.532	0.602	TICKET	short	n/a	1	n/a
7.149	0.329	ARISTOCRAT	lure	n/a	1	n/a
7.482	0.403	PREMISE	lure	n/a	1	n/a
7.899	0.617	WARSHIP	lure	n/a	1	n/a
8.532	0.719	ROOD	lure	n/a	1	n/a
9.265	0.389	MINISTRY	lure	n/a	1	n/a
9.665	0.572	DESERT	lure	n/a	1	n/a
10.25	0.427	ARBITRATOR	lure	n/a	1	n/a
10.682	0.429	SACCHARIN	lure	n/a	1	n/a
11.115	0.373	PASSAGE	lure	n/a	1	n/a
11.5	0.441	SUPREMACY	lure	n/a	1	n/a
11.949	0.442	VITAMIN	lure	n/a	1	n/a
12.399	0.752	TERRITORY	lure	n/a	1	n/a
13.232	0.767	COLLEAGUE	lure	n/a	1	n/a
14.015	0.5	TROUSER	lure	n/a	1	n/a
14.532	0.601	LEAF	short	n/a	1	n/a
15.149	0.66	SUFFERER	lure	n/a	1	n/a
15.815	0.698	ALTERATION	lure	n/a	1	n/a
16.532	0.443	OZONE	lure	n/a	1	n/a
16.982	0.701	INFORMER	lure	n/a	1	n/a
17.699	0.434	TOXICITY	lure	n/a	1	n/a
18.149	0.419	CHOIRBOY	lure	n/a	1	n/a
18.582	0.714	ALCHEMIST	lure	n/a	1	n/a
19.315	0.615	DOLT	lure	n/a	1	n/a
19.949	0.619	CELL	lure	n/a	1	n/a
20.582	0.34	SODA	lure	n/a	1	n/a
20.932	0.739	PULLEY	lure	n/a	1	n/a
21.682	0.317	REDUNDANCY	lure	n/a	1	n/a
22.015	0.503	APOLOGIST	lure	n/a	1	n/a
22.532	2.001	ORNAMENT	long	n/a	1	n/a
24.549	0.684	ADHESION	lure	n/a	1	n/a
25.249	0.687	INCEPTION	lure	n/a	1	n/a
25.949	0.751	CORNCOB	lure	n/a	1	n/a
26.782	0.415	LOLLY	lure	n/a	1	n/a
27.215	0.458	REPERTOIRE	lure	n/a	1	n/a
27.685	0.66	PRELUDE	lure	n/a	1	n/a
28.349	0.586	NEWSPRINT	lure	n/a	1	n/a
28.949	0.479	TOENAIL	lure	n/a	1	n/a
29.432	0.567	ASSIGNMENT	lure	n/a	1	n/a
30.015	0.501	FEET	lure	n/a	1	n/a
30.532	1.004	PLUM	fruit	detect	1	905
31.548	0.487	DECENCY	lure	n/a	1	n/a
32.049	0.524	MILLILITER	lure	n/a	1	n/a
32.582	0.408	DRIFTER	lure	n/a	1	n/a
32.999	0.322	CESSION	lure	n/a	1	n/a
33.332	0.454	CHAPEL	lure	n/a	1	n/a
33.798	0.537	POODLE	lure	n/a	1	n/a
34.348	0.693	COWHIDE	lure	n/a	1	n/a
35.048	0.75	SUBJECTION	lure	n/a	1	n/a
35.815	0.467	INEQUITY	lure	n/a	1	n/a
36.298	0.661	HANDMAIDEN	lure	n/a	1	n/a
36.965	0.44	CANOPY	lure	n/a	1	n/a
37.416	0.686	ACETONE	lure	n/a	1	n/a
38.198	0.608	ENSEMBLE	lure	n/a	1	n/a
38.815	0.585	TURNTABLE	lure	n/a	1	n/a
39.415	0.482	RELEVANCE	lure	n/a	1	n/a
39.915	0.622	STAIRCASE	lure	n/a	1	n/a
40.548	0.542	ORCHID	lure	n/a	1	n/a
41.098	0.484	TRANSIENCE	lure	n/a	1	n/a
41.598	0.401	PRAYER	lure	n/a	1	n/a
42.015	0.502	TRADESMEN	lure	n/a	1	n/a
42.532	2.003	STADIUM	long	n/a	1	n/a
44.548	0.71	GASOLINE	lure	n/a	1	n/a
45.265	0.723	CONFORMITY	lure	n/a	1	n/a
45.998	0.496	HANGMAN	lure	n/a	1	n/a
46.498	0.326	PATHWAY	lure	n/a	1	n/a
46.832	0.627	PAINTBOX	lure	n/a	1	n/a
47.465	0.379	ADOPTION	lure	n/a	1	n/a
47.848	0.365	SLANG	lure	n/a	1	n/a
48.232	0.391	NORMALCY	lure	n/a	1	n/a
48.632	0.714	CUSTODIAN	lure	n/a	1	n/a
49.348	0.65	SCARF	lure	n/a	1	n/a
50.015	0.503	EMBLEM	lure	n/a	1	n/a
50.598	1.003	LIME	fruit	detect	1	838
51.615	0.568	JUDICIARY	lure	n/a	1	n/a
52.198	0.572	BOWEL	lure	n/a	1	n/a
52.782	0.377	FATHERHOOD	lure	n/a	1	n/a
53.165	0.535	WOMBAT	lure	n/a	1	n/a
53.715	0.679	PAINTWORK	lure	n/a	1	n/a
54.398	0.354	CRICKET	lure	n/a	1	n/a
54.765	0.401	JOKER	lure	n/a	1	n/a
55.182	0.584	RAT	lure	n/a	1	n/a
55.781	0.629	PINGPONG	lure	n/a	1	n/a
56.415	0.46	LORE	lure	n/a	1	n/a
56.881	0.629	POVERTY	lure	n/a	1	n/a
57.515	0.554	VALE	lure	n/a	1	n/a
58.081	0.437	VIAL	lure	n/a	1	n/a
58.531	0.742	IMPOSITION	lure	n/a	1	n/a
59.281	0.716	SWEATSHOP	lure	n/a	1	n/a
60.015	0.556	PERIMETER	lure	n/a	1	n/a
60.581	0.665	OVERGROWTH	lure	n/a	1	n/a
61.265	0.734	SERVANT	lure	n/a	1	n/a
62.015	0.503	EGGNOG	lure	n/a	1	n/a
62.598	0.602	COAL	short	n/a	1	n/a
63.215	0.389	REVIVAL	lure	n/a	1	n/a
63.615	0.656	MAILMAN	lure	n/a	1	n/a
64.282	0.507	PIZZERIA	lure	n/a	1	n/a
64.802	0.621	ARCHAISM	lure	n/a	1	n/a
65.434	0.354	PLAYROOM	lure	n/a	1	n/a
65.8	0.516	JAG	lure	n/a	1	n/a
66.331	0.742	PERMAFROST	lure	n/a	1	n/a
67.081	0.629	COUNTDOWN	lure	n/a	1	n/a
67.715	0.744	BODY	lure	n/a	1	n/a
68.465	0.329	ZEALOT	lure	n/a	1	n/a
68.815	0.699	PRESERVER	lure	n/a	1	n/a
69.531	0.688	PRESENCE	lure	n/a	1	n/a
70.231	0.504	IRONY	lure	n/a	1	n/a
70.748	0.35	PACESETTER	lure	n/a	1	n/a
71.115	0.885	SCHOOLWORK	lure	n/a	1	n/a
72.015	0.503	BASIL	lure	n/a	1	n/a
72.531	1.005	BLACKBERRY	fruit	detect	1	745
73.548	0.611	PUSHOVER	lure	n/a	1	n/a
74.165	0.751	TANG	lure	n/a	1	n/a
74.998	0.483	EPICENTER	lure	n/a	1	n/a
75.498	0.377	PROVIDENT	lure	n/a	1	n/a
75.881	0.436	PEACETIME	lure	n/a	1	n/a
76.331	0.568	STAMINA	lure	n/a	1	n/a
76.915	0.637	BARBARISM	lure	n/a	1	n/a
77.565	0.731	TALE	lure	n/a	1	n/a
78.318	0.35	OUTREACH	lure	n/a	1	n/a
78.681	0.398	NEUROLOGY	lure	n/a	1	n/a
79.098	0.43	LEOTARD	lure	n/a	1	n/a
79.531	0.741	ROWBOAT	lure	n/a	1	n/a
80.281	0.716	COMPLIMENT	lure	n/a	1	n/a
81.014	0.319	IRONSIDE	lure	n/a	1	n/a
81.348	0.498	GREMLIN	lure	n/a	1	n/a
81.864	0.352	SWORDFISH	lure	n/a	1	n/a
82.231	0.312	WASHBOARD	lure	n/a	1	n/a
82.548	0.489	ADEQUACY	lure	n/a	1	n/a
83.048	0.303	SPITFIRE	lure	n/a	1	n/a
83.365	0.407	TRIBE	lure	n/a	1	n/a
83.781	0.217	PASSAGEWAY	lure	n/a	1	n/a
84.014	0.501	SIGMA	lure	n/a	1	n/a
84.598	2.001	CURTAIN	long	n/a	1	n/a
86.614	0.584	BARLEY	lure	n/a	1	n/a
87.214	0.561	SONOGRAM	lure	n/a	1	n/a
87.781	0.536	SANDER	lure	n/a	1	n/a
88.331	0.698	MILLENNIUM	lure	n/a	1	n/a
89.048	0.658	WASHOUT	lure	n/a	1	n/a
89.714	0.621	ATHEISM	lure	n/a	1	n/a
90.348	0.377	BERET	lure	n/a	1	n/a
90.731	0.552	SPANIEL	lure	n/a	1	n/a
91.298	0.382	GOLF	lure	n/a	1	n/a
91.698	0.478	ORACLE	lure	n/a	1	n/a
92.181	0.424	WASP	lure	n/a	1	n/a
92.614	0.631	TIMIDITY	lure	n/a	1	n/a
93.264	0.735	MAIDEN	lure	n/a	1	n/a
94.014	0.501	SLOTH	lure	n/a	1	n/a
94.531	0.603	BUCKET	short	n/a	1	n/a
