onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.03	11	MIST	warmup	2	1719	0	n/a	0	n/a	51,33,74,73
26.646	11	BUBBLE	lure	1	423	1	5	0	396	70,77,15,47
47.013	11	CURTAIN	long	4	496	1	3	3	1399	64,79,67,54
67.013	11	SPARK	short	4	505	0	5	4	1911	82,28,70,30
87.014	11	RUST	omit	3	577	0	5	4	803	64,79,30,10
107.012	11	MALLET	lure	1	657	1	4	0	503	10,55,30,28
126.995	11	DENT	lure	1	1162	1	2	0	520	77,36,61,19
147.011	11	PIER	omit	4	1402	0	3	2	1296	54,79,28,16
167.011	11	CORK	lure	1	506	1	3	0	424	78,77,79,19
187.011	11	PYRAMID	short	4	1186	0	3	2	2095	30,47,28,55
206.994	11	ORNAMENT	long	4	651	0	5	4	1409	53,54,33,29
227.01	11	PIN	short	3	779	0	3	2	1816	43,18,67,06
247.01	11	PICK	omit	2	691	0	2	1	2713	61,73,53,28
267.01	11	BASIN	lure	1	699	1	2	0	1117	53,72,58,30
286.993	11	OCEAN	lure	1	724	1	2	0	1146	58,06,19,78
307.009	11	PUPPET	long	5	940	0	4	3	899	51,55,54,61
326.992	11	LAKE	short	3	1973	0	2	1	1706	58,36,06,55
347.009	11	MAZE	long	5	428	0	2	1	2218	15,10,73,06
366.992	11	HOSE	lure	1	773	1	2	0	627	77,36,15,43
386.996	11	WAGON	lure	1	862	1	2	0	531	79,10,77,51
406.995	11	SPEAR	omit	5	790	0	5	4	1021	10,19,33,28
426.991	11	CHALK	long	3	2166	0	2	1	1872	16,51,73,78
446.995	11	BRIDGE	short	3	2212	0	3	2	1897	70,64,67,78
466.995	11	JEEP	lure	n/a	-1000	1	5	0	2077	30,64,36,82
486.99	11	WHEEL	omit	5	375	0	2	1	2272	70,74,36,19
506.993	11	ARCTIC	lure	1	767	1	2	0	565	61,51,72,67
526.99	11	COAL	short	3	352	0	3	2	1134	53,06,77,10
546.989	11	HAIRPIN	lure	1	672	1	2	0	1061	78,47,33,54
566.989	11	BRAKE	long	5	1088	0	2	1	1365	78,54,29,19
586.99	11	RATTLE	lure	1	712	1	2	0	926	16,82,74,30
606.989	11	PATCH	omit	1	873	0	5	1	1046	82,55,74,67
626.988	11	PLANET	lure	1	1201	1	5	0	1115	47,16,29,79
646.988	11	DUST	omit	2	1433	0	n/a	3	n/a	82,33,77,64
666.988	11	GRAVEL	long	5	1658	0	2	1	1416	55,72,79,74
686.987	11	PAINT	lure	1	826	1	5	0	895	78,36,18,22
706.987	11	BANNER	short	5	634	0	2	1	1471	33,06,82,67
726.99	11	BUCKET	short	2	722	0	3	2	1768	79,43,18,67
746.987	11	ATLAS	lure	1	427	1	5	0	656	67,47,10,55
766.97	11	TUNNEL	omit	5	692	0	4	3	1160	06,47,72,77
786.969	11	GALLON	long	3	1932	0	3	2	2277	55,19,22,77
806.969	11	ATOM	lure	n/a	-1000	1	2	0	1323	16,15,33,72
826.985	11	QUILL	omit	n/a	-1000	0	5	4	2121	10,30,53,74
846.985	11	STADIUM	long	5	1844	0	2	3	2162	36,64,73,10
866.985	11	ASHES	lure	n/a	-1000	1	2	0	1771	10,30,70,22
886.985	11	ROOT	lure	1	365	1	5	0	961	06,33,79,16
906.984	11	TICKET	short	5	1453	0	5	4	899	43,74,70,51
926.984	11	LEAF	short	2	813	0	4	3	2299	58,16,22,29
946.984	11	PISTOL	long	3	1846	0	5	4	1842	16,43,33,53
966.971	11	BUCKLE	lure	1	908	1	2	0	2236	16,54,18,53
986.966	11	GATEWAY	lure	1	1711	1	3	0	813	67,33,10,51
1006.966	11	MAGNET	omit	3	367	0	3	2	1532	43,36,67,30
