onset	duration	stim	cond	resp	acc	RT
4.05	0.364	TUNAFISH	lure	n/a	1	n/a
4.432	0.593	MISSILE	lure	n/a	1	n/a
5.032	0.595	PELLET	lure	n/a	1	n/a
5.632	0.728	POOCH	lure	n/a	1	n/a
6.366	0.607	TIDBIT	lure	n/a	1	n/a
6.984	0.359	COMPETENCE	lure	n/a	1	n/a
7.349	0.649	FOXHOLE	lure	n/a	1	n/a
8.016	0.502	BIRTHMARK	lure	n/a	1	n/a
8.532	0.603	BUCKET	short	n/a	1	n/a
9.216	0.694	STOWAWAY	lure	n/a	1	n/a
9.916	0.493	SHOEMAKER	lure	n/a	1	n/a
10.416	0.568	RATION	lure	n/a	1	n/a
10.999	0.586	CHINCHILLA	lure	n/a	1	n/a
11.599	0.528	BACKDROP	lure	n/a	1	n/a
12.132	0.464	UBIQUITY	lure	n/a	1	n/a
12.616	0.484	DOORFRAME	lure	n/a	1	n/a
13.116	0.567	WRANGLER	lure	n/a	1	n/a
13.699	0.366	PATRIMONY	lure	n/a	1	n/a
14.082	0.563	PROM	lure	n/a	1	n/a
14.649	0.459	GALAXY	lure	n/a	1	n/a
15.116	0.884	POLARITY	lure	n/a	1	n/a
16.016	0.501	CRANNY	lure	n/a	1	n/a
16.532	2.001	MAZE	long	n/a	1	n/a
18.549	0.535	EQUATION	lure	n/a	1	n/a
19.099	0.389	ALLEGATION	lure	n/a	1	n/a
19.499	0.577	BRISKET	lure	n/a	1	n/a
20.082	0.628	BREAKWATER	lure	n/a	1	n/a
20.716	0.618	PATHFINDER	lure	n/a	1	n/a
21.349	0.65	HOCKEY	lure	n/a	1	n/a
22.082	0.502	LAUNCHER	lure	n/a	1	n/a
22.599	2.002	PUPPET	long	n/a	1	n/a
24.615	0.604	DIESEL	lure	n/a	1	n/a
25.232	0.564	VALET	lure	n/a	1	n/a
25.799	0.691	SITTER	lure	n/a	1	n/a
26.499	0.609	PROVERB	lure	n/a	1	n/a
27.115	0.559	CLEFT	lure	n/a	1	n/a
27.687	0.654	ARROW	lure	n/a	1	n/a
28.352	0.642	ENIGMA	lure	n/a	1	n/a
28.999	0.605	FIREPOWER	lure	n/a	1	n/a
29.615	0.319	INNOCENCE	lure	n/a	1	n/a
29.949	0.511	CONTRACTOR	lure	n/a	1	n/a
30.465	0.738	CRACKPOT	lure	n/a	1	n/a
31.215	0.784	SABRE	lure	n/a	1	n/a
32.015	0.502	BATHROBE	lure	n/a	1	n/a
32.532	2.002	CURTAIN	long	n/a	1	n/a
34.549	0.462	WEAKLING	lure	n/a	1	n/a
35.015	0.305	SPATULA	lure	n/a	1	n/a
35.332	0.567	TOGA	lure	n/a	1	n/a
35.915	0.486	DOGFIGHT	lure	n/a	1	n/a
36.482	0.356	OVERHANG	lure	n/a	1	n/a
36.849	0.302	COALFIELD	lure	n/a	1	n/a
37.165	0.537	POSSESSOR	lure	n/a	1	n/a
37.715	0.745	NUTRIENT	lure	n/a	1	n/a
38.465	0.376	JUICE	lure	n/a	1	n/a
38.849	0.518	MYSTERY	lure	n/a	1	n/a
39.382	0.618	INDIGNITY	lure	n/a	1	n/a
40.015	0.501	SPANGLE	lure	n/a	1	n/a
40.532	0.602	BANNER	short	n/a	1	n/a
41.149	0.656	RIGGER	lure	n/a	1	n/a
41.816	0.672	QUAD	lure	n/a	1	n/a
42.499	0.432	DIVORCEE	lure	n/a	1	n/a
42.949	0.438	PEST	lure	n/a	1	n/a
43.399	0.661	DOCKET	lure	n/a	1	n/a
44.065	0.635	POORHOUSE	lure	n/a	1	n/a
44.715	0.682	FREIGHTER	lure	n/a	1	n/a
45.415	0.32	FRIDGE	lure	n/a	1	n/a
45.749	0.562	TISSUE	lure	n/a	1	n/a
46.315	0.442	BUCKWHEAT	lure	n/a	1	n/a
46.765	0.489	EMPIRE	lure	n/a	1	n/a
47.332	0.543	BALLOONIST	lure	n/a	1	n/a
47.882	0.447	STARLIGHT	lure	n/a	1	n/a
48.332	0.529	HORNPIPE	lure	n/a	1	n/a
48.865	0.542	IMPEDIMENT	lure	n/a	1	n/a
49.415	0.584	COB	lure	n/a	1	n/a
50.015	0.503	TIARA	lure	n/a	1	n/a
50.532	0.602	COAL	short	n/a	1	n/a
51.148	0.438	SALTWATER	lure	n/a	1	n/a
51.598	0.603	ANNEX	lure	n/a	1	n/a
52.215	0.497	BACTERIA	lure	n/a	1	n/a
52.732	0.669	ALLIANCE	lure	n/a	1	n/a
53.415	0.355	EXORCISM	lure	n/a	1	n/a
53.782	0.68	LINER	lure	n/a	1	n/a
54.465	0.408	CENTRIFUGE	lure	n/a	1	n/a
54.882	0.666	GIRAFFE	lure	n/a	1	n/a
55.565	0.47	SADDLEBAG	lure	n/a	1	n/a
56.048	0.461	BUN	lure	n/a	1	n/a
56.515	0.473	MOMENT	lure	n/a	1	n/a
56.998	0.991	DEPOSITORY	lure	n/a	1	n/a
57.998	0.503	REFLEX	lure	n/a	1	n/a
58.586	1.005	CANTELOUPE	fruit	detect	1	787
59.598	0.712	EXTRACTOR	lure	n/a	1	n/a
60.315	0.408	PARABOLA	lure	n/a	1	n/a
60.732	0.71	CLOAKROOM	lure	n/a	1	n/a
61.448	0.519	LIVER	lure	n/a	1	n/a
61.982	0.621	SALON	lure	n/a	1	n/a
62.615	0.428	BOWMAN	lure	n/a	1	n/a
63.048	0.393	SCAPEGOAT	lure	n/a	1	n/a
63.448	0.354	SAUCE	lure	n/a	1	n/a
63.815	0.626	FURY	lure	n/a	1	n/a
64.453	0.521	LEGACY	lure	n/a	1	n/a
64.985	0.34	MUFFLER	lure	n/a	1	n/a
65.332	0.531	Un/aEASON	lure	n/a	1	n/a
65.865	0.354	POLLEN	lure	n/a	1	n/a
66.232	0.732	CORONA	lure	n/a	1	n/a
66.982	0.531	PSYCHIATRY	lure	n/a	1	n/a
67.532	0.529	HALTER	lure	n/a	1	n/a
68.065	0.619	MEDICINE	lure	n/a	1	n/a
68.698	0.442	BREAKOUT	lure	n/a	1	n/a
69.148	0.425	TRUMPETER	lure	n/a	1	n/a
69.648	0.684	LEVITATION	lure	n/a	1	n/a
70.348	0.615	PUDDLE	lure	n/a	1	n/a
70.982	1.018	PRODUCER	lure	n/a	1	n/a
72.015	0.501	GRAIN	lure	n/a	1	n/a
72.532	1.003	GRAPEFRUIT	fruit	detect	1	705
73.548	0.422	POCKETFUL	lure	n/a	1	n/a
73.981	0.619	DETRACTOR	lure	n/a	1	n/a
74.615	0.641	AUTONOMY	lure	n/a	1	n/a
75.268	0.74	CAMPER	lure	n/a	1	n/a
76.02	0.607	SCRIBE	lure	n/a	1	n/a
76.631	0.454	TWEED	lure	n/a	1	n/a
77.098	0.711	SAX	lure	n/a	1	n/a
77.815	0.569	STYLIST	lure	n/a	1	n/a
78.398	0.313	FRACTURE	lure	n/a	1	n/a
78.715	0.382	NEWSMEN	lure	n/a	1	n/a
79.115	0.723	FROSTBITE	lure	n/a	1	n/a
79.848	0.472	TALISMAN	lure	n/a	1	n/a
80.331	0.604	NEPHEW	lure	n/a	1	n/a
80.948	0.597	BREADLINE	lure	n/a	1	n/a
81.565	0.428	CHIEFTAIN	lure	n/a	1	n/a
82.065	0.671	LITERATURE	lure	n/a	1	n/a
82.748	0.37	ACCOUNTANT	lure	n/a	1	n/a
83.131	0.694	DESOLATION	lure	n/a	1	n/a
83.831	0.444	SPASM	lure	n/a	1	n/a
84.281	0.365	VINE	lure	n/a	1	n/a
84.665	0.629	ACORN	lure	n/a	1	n/a
85.298	0.702	DRAGONFLY	lure	n/a	1	n/a
86.015	0.502	FELLOWSHIP	lure	n/a	1	n/a
86.531	0.603	TICKET	short	n/a	1	n/a
87.148	0.647	VOCATION	lure	n/a	1	n/a
87.815	0.503	LATEX	lure	n/a	1	n/a
88.331	0.726	CRACKER	lure	n/a	1	n/a
89.065	0.531	RIPTIDE	lure	n/a	1	n/a
89.615	0.69	CHASM	lure	n/a	1	n/a
90.315	0.664	MEDAL	lure	n/a	1	n/a
90.998	0.312	REDHEAD	lure	n/a	1	n/a
91.315	0.613	STORYLINE	lure	n/a	1	n/a
91.931	0.525	EDITION	lure	n/a	1	n/a
92.465	0.692	VEHICLE	lure	n/a	1	n/a
93.165	0.835	ALE	lure	n/a	1	n/a
94.081	0.502	TORCHLIGHT	lure	n/a	1	n/a
94.598	2.001	BRAKE	long	n/a	1	n/a
96.615	0.394	MUSCLEMAN	lure	n/a	1	n/a
97.015	0.616	TENACITY	lure	n/a	1	n/a
97.648	0.612	LEFTHANDER	lure	n/a	1	n/a
98.264	0.503	JAILBIRD	lure	n/a	1	n/a
98.781	0.469	PRESIDENT	lure	n/a	1	n/a
99.264	0.354	HOTHEAD	lure	n/a	1	n/a
99.631	0.545	TABERNACLE	lure	n/a	1	n/a
100.181	0.505	FABRIC	lure	n/a	1	n/a
100.698	0.519	ELOQUENCE	lure	n/a	1	n/a
101.231	0.714	HESITANCE	lure	n/a	1	n/a
101.964	0.027	WINNER	lure	n/a	1	n/a
101.998	0.501	VINYL	lure	n/a	1	n/a
102.514	0.603	BRIDGE	short	n/a	1	n/a
103.131	0.48	DISPOSAL	lure	n/a	1	n/a
103.631	0.521	HIDEAWAY	lure	n/a	1	n/a
104.165	0.524	PARASOL	lure	n/a	1	n/a
104.702	0.587	INFRACTION	lure	n/a	1	n/a
105.298	0.398	ANIMOSITY	lure	n/a	1	n/a
105.781	0.649	COMBAT	lure	n/a	1	n/a
106.448	0.384	PUBLISHER	lure	n/a	1	n/a
106.848	0.498	HYPERBOLE	lure	n/a	1	n/a
107.364	0.433	SPHINX	lure	n/a	1	n/a
107.814	0.612	ENTRY	lure	n/a	1	n/a
108.431	0.417	LEGION	lure	n/a	1	n/a
108.864	1.126	FLUENCY	lure	n/a	1	n/a
109.998	0.502	SLAW	lure	n/a	1	n/a
110.514	1.004	WATERMELON	fruit	detect	1	650
111.531	0.591	CARTRIDGE	lure	n/a	1	n/a
112.131	0.709	LESSON	lure	n/a	1	n/a
112.848	0.384	MALCONTENT	lure	n/a	1	n/a
113.248	0.387	SHEEN	lure	n/a	1	n/a
113.648	0.533	DOMINION	lure	n/a	1	n/a
114.198	0.589	FIANCE	lure	n/a	1	n/a
114.798	0.595	CAMISOLE	lure	n/a	1	n/a
115.398	0.375	SWORD	lure	n/a	1	n/a
115.781	0.322	BACKLOG	lure	n/a	1	n/a
116.114	0.709	PARAKEET	lure	n/a	1	n/a
116.831	0.319	PAWNBROKER	lure	n/a	1	n/a
117.231	0.607	HORIZON	lure	n/a	1	n/a
117.848	0.324	GROUNDHOG	lure	n/a	1	n/a
118.181	0.302	KINGPIN	lure	n/a	1	n/a
118.498	0.614	DEADWOOD	lure	n/a	1	n/a
119.114	0.538	PLAYGROUP	lure	n/a	1	n/a
119.664	0.387	ANGLER	lure	n/a	1	n/a
120.064	0.666	AFFLUENCE	lure	n/a	1	n/a
120.748	0.682	BLIZZARD	lure	n/a	1	n/a
121.448	0.373	SPECK	lure	n/a	1	n/a
121.831	0.521	VEGETABLE	lure	n/a	1	n/a
122.364	0.538	NIGHTSHADE	lure	n/a	1	n/a
122.914	0.608	ACCOMPLICE	lure	n/a	1	n/a
123.531	0.461	CRYSTAL	lure	n/a	1	n/a
123.997	0.503	QUARRYMEN	lure	n/a	1	n/a
124.514	2.001	STADIUM	long	n/a	1	n/a
126.531	0.423	STREAMSIDE	lure	n/a	1	n/a
126.964	0.584	APPLAUSE	lure	n/a	1	n/a
127.564	0.5	DONATION	lure	n/a	1	n/a
128.081	0.468	CHAIRMAN	lure	n/a	1	n/a
128.564	0.74	HAIRNET	lure	n/a	1	n/a
129.381	0.468	MORROW	lure	n/a	1	n/a
129.864	0.347	DEERSKIN	lure	n/a	1	n/a
130.214	0.435	SNATCHER	lure	n/a	1	n/a
130.664	0.494	GOLFER	lure	n/a	1	n/a
131.164	0.826	CENT	lure	n/a	1	n/a
131.997	0.502	LANDSLIDE	lure	n/a	1	n/a
132.514	0.603	SPARK	short	n/a	1	n/a
133.131	0.421	FLOODLIGHT	lure	n/a	1	n/a
133.564	0.689	PRAIRIE	lure	n/a	1	n/a
134.265	0.709	MANTLE	lure	n/a	1	n/a
134.985	0.547	CHANTER	lure	n/a	1	n/a
135.547	0.415	TURNAROUND	lure	n/a	1	n/a
135.981	0.01	SPARKLER	lure	n/a	1	n/a
135.997	0.5	ASPIRIN	lure	n/a	1	n/a
136.514	0.603	PIN	short	n/a	1	n/a
137.131	0.461	MARKUP	lure	n/a	1	n/a
137.597	0.361	MANUSCRIPT	lure	n/a	1	n/a
137.964	0.684	TRIVIALITY	lure	n/a	1	n/a
138.664	0.421	GIBLET	lure	n/a	1	n/a
139.097	0.608	VELVETEEN	lure	n/a	1	n/a
139.781	0.387	JEALOUSY	lure	n/a	1	n/a
140.181	0.386	COLLAGEN	lure	n/a	1	n/a
140.581	0.535	DUMPLING	lure	n/a	1	n/a
141.131	0.684	CROSSROAD	lure	n/a	1	n/a
141.831	0.449	NIGHTGOWN	lure	n/a	1	n/a
142.297	0.415	TEDDY	lure	n/a	1	n/a
142.731	0.607	COURTYARD	lure	n/a	1	n/a
143.347	0.644	CONTINUITY	lure	n/a	1	n/a
143.997	0.501	KILOMETER	lure	n/a	1	n/a
144.514	2.001	PISTOL	long	n/a	1	n/a
146.53	0.665	WAISTCOAT	lure	n/a	1	n/a
147.214	0.717	UPSHOT	lure	n/a	1	n/a
147.947	0.537	SUBVERSION	lure	n/a	1	n/a
148.497	0.403	RELATIVITY	lure	n/a	1	n/a
148.914	1.077	SCIENTIST	lure	n/a	1	n/a
149.997	0.502	SOCKET	lure	n/a	1	n/a
150.514	2.002	CHALK	long	n/a	1	n/a
152.53	0.599	ANOREXIA	lure	n/a	1	n/a
153.147	0.369	IVY	lure	n/a	1	n/a
153.53	0.408	PACIFIER	lure	n/a	1	n/a
154.014	0.426	AMORALITY	lure	n/a	1	n/a
154.447	0.312	TRAJECTORY	lure	n/a	1	n/a
154.764	0.386	VIABILITY	lure	n/a	1	n/a
155.164	0.329	DESPERADO	lure	n/a	1	n/a
155.497	0.426	HEARTBEAT	lure	n/a	1	n/a
155.93	0.061	MILLIMETER	lure	n/a	1	n/a
155.997	0.503	SLIPCOVER	lure	n/a	1	n/a
156.514	2.002	GALLON	long	n/a	1	n/a
158.53	0.505	APPAREL	lure	n/a	1	n/a
159.047	0.644	BOBSLED	lure	n/a	1	n/a
159.697	0.74	DRONE	lure	n/a	1	n/a
160.447	0.662	POLLUTION	lure	n/a	1	n/a
161.114	0.465	DOUCHE	lure	n/a	1	n/a
161.597	0.397	PULLBACK	lure	n/a	1	n/a
161.997	0.502	NARRATION	lure	n/a	1	n/a
162.514	0.559	DEMON	lure	n/a	1	n/a
163.08	0.488	LECH	lure	n/a	1	n/a
163.58	0.41	POACHER	lure	n/a	1	n/a
163.997	0.503	GRENADINE	lure	n/a	1	n/a
164.514	1.005	CRANBERRY	fruit	detect	1	739
165.597	0.605	ICECAP	lure	n/a	1	n/a
166.214	0.533	HOMICIDE	lure	n/a	1	n/a
166.764	0.484	FLATFOOT	lure	n/a	1	n/a
167.264	0.447	SETTLER	lure	n/a	1	n/a
167.714	0.595	EAR	lure	n/a	1	n/a
168.314	0.593	INTAKE	lure	n/a	1	n/a
168.918	0.387	HAT	lure	n/a	1	n/a
169.317	0.475	MISCHIEF	lure	n/a	1	n/a
169.797	0.703	PETUNIA	lure	n/a	1	n/a
170.514	0.343	SCRIPTURE	lure	n/a	1	n/a
170.864	0.504	MINUTEMEN	lure	n/a	1	n/a
171.38	0.698	FACTORY	lure	n/a	1	n/a
172.097	0.626	EGOTIST	lure	n/a	1	n/a
172.735	0.658	PICNIC	lure	n/a	1	n/a
173.397	0.412	THRONE	lure	n/a	1	n/a
173.814	0.315	MANIA	lure	n/a	1	n/a
174.147	0.508	EMISSION	lure	n/a	1	n/a
174.663	0.517	STATEROOM	lure	n/a	1	n/a
175.197	0.635	SKINNER	lure	n/a	1	n/a
175.847	0.359	FOREFATHER	lure	n/a	1	n/a
176.28	0.41	DOORMEN	lure	n/a	1	n/a
176.697	0.611	CONTROLLER	lure	n/a	1	n/a
177.313	0.678	DOGCATCHER	lure	n/a	1	n/a
177.997	0.502	FLAW	lure	n/a	1	n/a
178.513	2.002	GRAVEL	long	n/a	1	n/a
180.53	0.384	SUBMERSION	lure	n/a	1	n/a
180.93	0.688	BROTH	lure	n/a	1	n/a
181.63	0.356	TOURIST	lure	n/a	1	n/a
181.997	0.359	SOCIOLOGY	lure	n/a	1	n/a
182.363	0.452	BOUT	lure	n/a	1	n/a
182.83	0.462	PILLBOX	lure	n/a	1	n/a
183.297	0.693	MISSTEP	lure	n/a	1	n/a
183.997	0.503	BOUNCER	lure	n/a	1	n/a
184.513	0.603	LEAF	short	n/a	1	n/a
185.13	0.663	VERTEBRAE	lure	n/a	1	n/a
185.797	0.407	TRAIT	lure	n/a	1	n/a
186.215	0.406	SHOESTRING	lure	n/a	1	n/a
186.63	0.305	ABDUCTION	lure	n/a	1	n/a
186.947	0.567	CRIMP	lure	n/a	1	n/a
187.53	0.435	DIVERSITY	lure	n/a	1	n/a
188.047	0.667	PRECEPT	lure	n/a	1	n/a
188.73	0.752	CLICHE	lure	n/a	1	n/a
189.497	0.493	CONCEPT	lure	n/a	1	n/a
189.997	0.502	GUNMAN	lure	n/a	1	n/a
190.513	0.601	PYRAMID	short	n/a	1	n/a
191.13	0.354	GUILT	lure	n/a	1	n/a
191.497	0.412	RESILIENCE	lure	n/a	1	n/a
191.913	0.434	SONGBIRD	lure	n/a	1	n/a
192.363	0.722	TURTLE	lure	n/a	1	n/a
193.097	0.309	PACEMAKER	lure	n/a	1	n/a
193.413	0.669	SKIRMISH	lure	n/a	1	n/a
194.097	0.626	LARCENY	lure	n/a	1	n/a
194.73	0.619	RETROSPECT	lure	n/a	1	n/a
195.363	0.648	MIDST	lure	n/a	1	n/a
196.03	0.525	OVATION	lure	n/a	1	n/a
196.563	0.674	ACCEPTANCE	lure	n/a	1	n/a
197.246	0.357	EUPHEMISM	lure	n/a	1	n/a
197.613	0.336	RITE	lure	n/a	1	n/a
197.963	0.375	DOORBELL	lure	n/a	1	n/a
198.346	0.584	PIGLET	lure	n/a	1	n/a
