onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.04	11	MIST	practice	1	832	1	5	2345	2070	02,66,39,16
26.02	11	MIRROR	short	3	1058	1	3	3	1720	61,37,64,39
46.003	11	TAPE	long	2	739	1	5	5	2097	50,60,56,06
66.002	11	RAVINE	lure	2	1819	1	5	2345	2193	16,74,41,04
86.019	11	POUCH	omit	4	1498	0	4	2	2040	36,50,39,64
106.018	11	PHOTO	lure	1	843	1	5	2345	2977	77,48,41,70
126.018	11	CIRCUIT	lure	2	739	1	3	2345	2865	36,29,56,50
146.003	11	PIANO	short	3	444	1	2	2	2354	46,78,06,50
166.006	11	SPOKE	lure	2	930	1	4	2345	2562	78,75,42,36
186.001	11	TERRACE	omit	2	997	1	2	2	2107	60,56,03,74
206	11	CART	long	2	1093	0	3	5	2795	28,60,64,04
226.003	11	DITCH	long	5	749	1	5	5	1395	70,30,49,28
246.004	11	HOSE	lure	2	1029	1	2	2345	2332	30,28,02,75
266.002	11	PELLET	lure	2	1302	1	3	2345	2252	78,04,38,70
285.999	11	RULER	short	3	550	1	4	4	1724	78,46,66,42
305.999	11	MONSOON	omit	2	622	1	5	5	2540	74,50,02,16
325.999	11	HAMMER	lure	1	1327	1	2	2345	1869	78,41,06,56
345.998	11	BARREL	long	3	575	1	4	4	1829	04,60,42,29
365.998	11	TEAR	short	5	1263	1	4	4	1269	04,60,49,06
385.998	11	NAIL	lure	1	536	1	5	2345	2102	28,16,39,64
405.997	11	MUZZLE	omit	2	808	0	n/a	2	n/a	74,78,66,30
425.997	11	TIRE	short	4	976	1	2	2	2150	56,74,24,30
445.997	11	RUNG	lure	1	536	1	2	2345	2302	41,75,29,42
465.998	11	PORTAL	omit	4	681	1	5	5	2287	02,03,77,13
485.996	11	CORK	lure	2	505	1	2	2345	2415	29,60,39,77
505.998	11	CABLE	long	3	921	0	n/a	2	n/a	24,77,61,42
525.996	11	FERRY	short	2	553	1	3	3	1552	42,50,06,78
545.995	11	BASIN	lure	1	874	1	5	2345	2080	38,24,36,77
565.995	11	RAINBOW	long	2	1826	0	5	3	2080	37,61,04,24
585.995	11	WIRE	omit	4	786	0	4	5	1336	30,13,75,41
605.995	11	HIGHWAY	lure	1	579	1	5	2345	1209	77,46,50,39
625.994	11	HAIRPIN	lure	1	563	1	3	2345	3153	64,61,02,28
645.994	11	MATTRESS	short	5	1667	1	3	3	2065	77,48,78,42
665.994	11	NOVEL	long	3	612	1	4	4	1506	61,30,75,39
685.994	11	PENNY	omit	3	564	1	4	4	1570	13,49,29,50
705.977	11	ISSUE	lure	1	1221	1	5	2345	2651	77,75,06,37
725.993	11	LAUNDRY	lure	1	1884	1	2	2345	2643	70,13,64,42
745.976	11	BOTTLE	short	4	813	1	5	5	1835	39,74,38,77
765.978	11	SAND	lure	1	1294	1	4	2345	2044	16,64,06,03
785.979	11	PARCEL	long	3	870	1	5	5	1060	78,64,37,39
805.979	11	MORNING	omit	4	1382	1	4	4	2404	41,42,30,75
825.978	11	FOSSIL	long	3	2229	0	4	3	1707	74,64,16,66
845.975	11	HOOD	omit	2	951	1	5	5	2077	46,64,30,03
865.979	11	SHELL	lure	1	1367	1	2	2345	2005	60,13,74,37
885.974	11	DUST	short	2	735	1	3	3	1885	50,02,39,37
905.978	11	SCOUT	lure	1	816	1	4	2345	2254	36,46,04,75
925.973	11	DOME	omit	3	784	1	4	4	1630	02,48,38,16
945.977	11	LEAF	lure	2	1712	1	3	2345	2350	75,06,24,28
965.973	11	STAKE	lure	1	1057	1	5	2345	2135	24,04,06,29
985.974	11	CLOAK	short	n/a	n/a	1	3	3	2231	70,78,49,42
1005.974	11	ORNAMENT	long	2	481	1	5	5	1151	13,30,78,70
