onset	duration	stim	cond	RT	resp	cresp	acc
4.042	0.366659563	DUCKLING	lure	n/a	n/a	n/a	1
4.409	0.599989523	ORCHESTRA	lure	n/a	n/a	n/a	1
5.009	0.349997416	MENTHOL	lure	n/a	n/a	n/a	1
5.359	0.749990727	MIXER	lure	n/a	n/a	n/a	1
6.109	0.333329439	NAVIGATOR	lure	n/a	n/a	n/a	1
6.442	0.433329311	FORMAT	lure	n/a	n/a	n/a	1
6.875	0.43332295	BARRACUDA	lure	n/a	n/a	n/a	1
7.309	0.733324672	JOY	lure	n/a	n/a	n/a	1
8.042	0.616652646	MIRROR	short	n/a	n/a	n/a	1
8.659	0.45006435	OUTFLOW	lure	n/a	n/a	n/a	1
9.109	0.38326115	THRILLER	lure	n/a	n/a	n/a	1
9.492	0.433392922	CHOW	lure	n/a	n/a	n/a	1
9.925	0.535175302	MASON	lure	n/a	n/a	n/a	1
10.46	0.731563379	POLLUTANT	lure	n/a	n/a	n/a	1
11.192	0.766504481	FORESTRY	lure	n/a	n/a	n/a	1
11.959	0.499988248	RACQUET	lure	n/a	n/a	n/a	1
12.459	0.683327051	SEAWEED	lure	n/a	n/a	n/a	1
13.142	0.749990745	INLET	lure	n/a	n/a	n/a	1
13.892	0.566656779	DIFFUSION	lure	n/a	n/a	n/a	1
14.458	0.433386457	ILLUSION	lure	n/a	n/a	n/a	1
14.892	0.399975514	BLOWHOLE	lure	n/a	n/a	n/a	1
15.292	0.749945501	ECTOPLASM	lure	n/a	n/a	n/a	1
16.042	0.350001856	FALCON	lure	n/a	n/a	n/a	1
16.392	0.616656053	TEAR	short	n/a	n/a	n/a	1
17.008	0.650028136	PALLET	lure	n/a	n/a	n/a	1
17.658	0.36662327	RECLUSE	lure	n/a	n/a	n/a	1
18.025	0.549990048	INNKEEPER	lure	n/a	n/a	n/a	1
18.575	0.716693982	GLAMOR	lure	n/a	n/a	n/a	1
19.292	0.599954893	ASPHALT	lure	n/a	n/a	n/a	1
19.892	0.400042828	RETAIL	lure	n/a	n/a	n/a	1
20.292	0.366612525	AFFAIR	lure	n/a	n/a	n/a	1
20.658	0.616660184	KNOWLEDGE	lure	n/a	n/a	n/a	1
21.275	0.649989682	FREEHOLDER	lure	n/a	n/a	n/a	1
21.925	0.349993682	CAESAREAN	lure	n/a	n/a	n/a	1
22.275	0.383376833	HINDRANCE	lure	n/a	n/a	n/a	1
22.658	0.39994467	HOSTILITY	lure	n/a	n/a	n/a	1
23.058	0.383329631	HEMISPHERE	lure	n/a	n/a	n/a	1
23.442	0.516658975	LONGITUDE	lure	n/a	n/a	n/a	1
23.958	0.736820199	AWNING	lure	n/a	n/a	n/a	1
24.695	0.379829839	ALIGNMENT	lure	n/a	n/a	n/a	1
25.075	2.01664016	FOSSIL	long	n/a	n/a	n/a	1
27.092	0.416709634	LARYNX	lure	n/a	n/a	n/a	1
27.508	0.483325112	HAREM	lure	n/a	n/a	n/a	1
27.992	0.599940232	LOVEBIRD	lure	n/a	n/a	n/a	1
28.592	0.570030756	RIGGER	lure	n/a	n/a	n/a	1
29.162	0.563290422	APOLOGY	lure	n/a	n/a	n/a	1
29.725	0.666694401	FRINGE	lure	n/a	n/a	n/a	1
30.392	0.733283531	DOUBTER	lure	n/a	n/a	n/a	1
31.125	0.466663183	WAGON	lure	n/a	n/a	n/a	1
31.592	0.416658547	VESTIBULE	lure	n/a	n/a	n/a	1
32.008	0.666660274	CRACKER	lure	n/a	n/a	n/a	1
32.675	0.549992431	KILOGRAM	lure	n/a	n/a	n/a	1
33.225	0.349992646	MOUTHWASH	lure	n/a	n/a	n/a	1
33.575	1.016653541	BERRY	fruit	696	2	2	1
34.592	0.316708271	BEDFELLOW	lure	n/a	n/a	n/a	1
34.908	0.333283143	OUTPOST	lure	n/a	n/a	n/a	1
35.242	0.599992134	TREATY	lure	n/a	n/a	n/a	1
35.842	0.533325444	COLLISION	lure	n/a	n/a	n/a	1
36.375	0.46670485	MEANIE	lure	n/a	n/a	n/a	1
36.842	0.599945998	SUBSYSTEM	lure	n/a	n/a	n/a	1
37.441	0.333329028	TOPOGRAPHY	lure	n/a	n/a	n/a	1
37.775	0.699984559	IMPUDENCE	lure	n/a	n/a	n/a	1
38.475	0.452414245	SHOWBOAT	lure	n/a	n/a	n/a	1
38.927	0.71556862	LEEWAY	lure	n/a	n/a	n/a	1
39.643	0.765328569	RETHINK	lure	n/a	n/a	n/a	1
40.408	0.616658417	SUPPLIER	lure	n/a	n/a	n/a	1
41.025	0.349994932	FORTE	lure	n/a	n/a	n/a	1
41.375	0.649985352	ROBIN	lure	n/a	n/a	n/a	1
42.025	2.016644086	CABLE	long	n/a	n/a	n/a	1
44.041	0.550036148	BYLAW	lure	n/a	n/a	n/a	1
44.591	0.716656995	DRAKE	lure	n/a	n/a	n/a	1
45.308	0.399947539	POWDERPUFF	lure	n/a	n/a	n/a	1
45.708	0.466662431	TONSIL	lure	n/a	n/a	n/a	1
46.175	0.35004037	SOLICITOR	lure	n/a	n/a	n/a	1
46.525	0.483281623	PAJAMA	lure	n/a	n/a	n/a	1
47.008	0.749989695	RAMPART	lure	n/a	n/a	n/a	1
