onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.037	11	MIST	practice	1	848	1	4	2345	830	70,12,22,27
26.005	11	FRAME	omit	3	1162	1	2	2	1790	07,14,70,34
46.005	11	WHEEL	lure	1	1306	1	4	2345	952	22,19,79,75
66.004	11	PURSE	lure	n/a	n/a	1	5	2345	2640	22,77,01,20
86.007	11	FLEET	long	5	738	1	5	5	1169	19,25,67,02
106.004	11	SHELL	short	5	979	1	5	5	1985	67,33,77,43
126.004	11	OUTLET	lure	2	1187	1	3	2345	1145	20,30,63,07
146.002	11	MORNING	lure	1	1292	1	3	2345	1049	32,03,57,01
165.985	11	CLOAK	omit	3	916	1	4	4	1010	22,02,75,30
186.001	11	CHROME	short	4	948	1	5	5	1154	66,76,67,79
206.001	11	LIGHT	long	4	1084	1	5	5	1594	19,01,15,67
226.001	11	BRAKE	omit	4	1533	1	3	3	1851	66,30,75,20
246.001	11	BASIN	lure	1	949	1	5	2345	891	19,12,81,15
266	11	PATCH	lure	3	1509	1	5	2345	1419	01,79,25,74
285.987	11	BROOM	long	4	1006	1	2	2	1844	15,81,79,20
305.987	11	PERMIT	short	4	1366	1	4	4	1300	66,14,03,63
326	11	COAL	lure	1	1030	1	2	2345	740	15,77,03,12
345.986	11	PISTOL	lure	1	1439	1	4	2345	1077	81,66,09,63
365.986	11	CANDLE	short	5	903	1	4	4	1165	77,74,22,25
385.999	11	LEVER	omit	4	999	1	3	3	1069	27,32,19,74
405.998	11	SAWDUST	long	4	1199	1	2	2	1261	25,70,12,57
425.982	11	CARBON	lure	1	1200	1	3	2345	830	81,63,30,12
445.981	11	GALLON	short	4	824	1	4	4	1302	22,14,33,57
465.981	11	BRASS	omit	5	1265	1	5	5	1399	22,75,79,34
485.981	11	PASTEL	long	5	1177	1	2	2	1255	54,67,15,33
505.98	11	LETTER	lure	1	1129	1	2	2345	711	79,76,27,33
525.997	11	CART	long	4	1161	1	3	3	1583	22,63,76,27
545.98	11	CENT	lure	1	1210	1	4	2345	1152	33,02,07,67
565.98	11	APRON	lure	1	930	1	4	2345	1000	43,15,22,74
585.983	11	BRACELET	short	4	1297	1	3	3	1416	43,20,30,22
605.98	11	CORK	omit	4	987	1	4	4	1240	12,32,57,01
625.98	11	RECORD	short	3	1075	1	2	2	1865	09,79,54,20
645.979	11	PLUG	lure	1	963	1	4	2345	801	63,12,02,70
665.981	11	SHIELD	lure	1	1027	1	4	2345	617	66,34,07,67
685.979	11	ATOM	omit	4	940	1	5	5	1122	63,54,09,70
705.978	11	STAPLE	long	3	1204	1	5	5	1786	34,54,07,66
725.977	11	SACK	short	5	1036	1	4	4	1050	77,14,27,81
745.979	11	DITCH	lure	1	980	1	4	2345	707	09,43,20,22
765.977	11	ATLAS	long	4	1437	1	2	2	1739	77,54,19,01
785.977	11	CLUB	lure	2	933	1	5	2345	1563	77,63,07,79
805.976	11	EASEL	omit	3	1021	1	5	5	1083	81,33,20,74
825.976	11	CHAIN	omit	3	830	1	2	2	1796	19,07,03,34
845.976	11	PELLET	lure	1	1190	1	4	2345	1044	15,74,01,20
865.976	11	CHALK	long	4	902	1	3	3	1868	27,81,30,75
885.975	11	SOAP	short	4	1366	1	2	2	1620	14,30,27,02
905.962	11	POWDER	lure	1	903	1	4	2345	1005	34,32,57,03
925.975	11	CONTRACT	short	3	1295	1	2	2	1941	12,77,15,14
945.974	11	HIGHWAY	lure	1	1015	1	3	2345	597	57,63,14,34
965.957	11	MONSOON	lure	n/a	n/a	1	3	2345	1031	43,33,76,01
985.974	11	ASHES	long	4	1280	1	3	3	1710	67,76,81,77
1005.957	11	RELIC	omit	5	913	1	4	4	1143	14,30,01,43
