onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.031	11	MIST	practice	1	925	1	2	2345	1237	38,09,16,11
26.014	11	DITCH	lure	n/a	n/a	1	2	2345	1720	78,46,18,69
46.013	11	NICKEL	short	3	681	1	3	3	2055	20,46,59,62
66.014	11	PISTOL	omit	4	2122	1	2	2	2328	30,60,41,34
86.013	11	PITCHFORK	long	3	1810	1	4	4	1880	22,30,17,18
105.996	11	BANNER	lure	1	1227	1	2	2345	1857	40,81,37,17
126.012	11	ATOM	lure	1	1491	1	2	2345	1481	18,32,16,47
146.012	11	PUMP	omit	3	931	1	2	2	2145	73,59,18,69
166.012	11	NAIL	short	3	1275	1	3	3	2401	62,59,81,28
186.011	11	LEAF	long	4	1915	1	2	2	2409	22,18,34,06
206.011	11	CANOE	lure	1	1108	1	2	2345	898	34,78,18,40
226.011	11	PICK	lure	2	2380	1	2	2345	2362	12,28,20,81
245.995	11	PICTURE	omit	3	2413	1	2	2	2763	50,60,73,11
266.01	11	TRUCK	short	4	1996	0	2	3	2146	40,38,11,09
285.997	11	RAKE	long	3	813	1	3	3	1771	12,62,73,34
306.01	11	BASIN	lure	1	2717	1	2	2345	811	69,78,76,62
325.995	11	CURB	long	4	654	1	2	2	2412	78,50,40,60
345.992	11	APRON	short	2	726	1	2	2	2500	39,20,62,38
365.992	11	PAINT	omit	4	591	1	2	2	1221	40,76,71,06
385.992	11	ISLAND	lure	1	919	1	2	2345	1677	41,22,69,59
405.992	11	SPEAR	lure	2	2095	1	2	2345	1941	38,47,41,71
425.991	11	POLISH	omit	4	656	1	2	2	2309	06,28,09,69
445.991	11	WHEEL	lure	1	624	1	2	2345	2662	32,40,12,41
466.007	11	PLANK	long	4	1591	1	4	4	1989	34,47,71,62
485.99	11	SOAP	short	3	480	1	3	3	2079	71,37,59,18
505.992	11	LIGHT	lure	1	841	1	2	2345	1231	11,41,47,20
525.99	11	TIMBER	short	4	1921	1	5	5	1567	18,41,30,20
545.99	11	EXIT	omit	5	1001	1	5	5	1039	30,71,40,60
565.989	11	MAGNET	lure	1	666	1	2	2345	1008	62,06,50,18
585.989	11	TIRE	long	4	802	1	4	4	2400	81,38,16,60
605.992	11	SCREEN	lure	1	1474	1	2	2345	2152	41,17,78,12
625.988	11	PLUG	lure	1	674	1	2	2345	2048	06,81,16,18
645.99	11	ROOT	short	3	715	1	2	2	2993	34,06,71,12
665.971	11	RAINDROP	lure	1	1436	1	2	2345	1762	50,60,39,40
685.99	11	LEAD	omit	4	659	1	4	4	2537	39,06,11,28
705.987	11	FOSSIL	long	4	380	1	4	4	858	37,16,12,62
725.987	11	WALLET	omit	5	1372	1	3	3	2930	34,81,06,28
745.987	11	PILE	lure	1	932	1	2	2345	1466	39,62,40,20
765.986	11	PATCH	long	4	1389	1	2	2	2338	09,32,46,71
785.986	11	SEAT	lure	1	1013	1	2	2345	1339	06,73,34,09
805.986	11	MATTRESS	short	5	893	1	2	2	2523	28,17,59,20
825.985	11	POLE	lure	1	2029	1	2	2345	2324	12,37,62,76
845.985	11	PENNY	short	4	1014	1	2	2	1468	41,81,37,34
865.985	11	SCOUT	omit	5	470	1	4	4	2372	73,32,18,39
885.968	11	PHOTO	lure	1	1263	1	2	2345	2181	18,28,50,32
905.968	11	CONTRACT	long	4	2007	1	5	5	1749	81,12,22,76
925.967	11	SUBWAY	lure	1	1608	1	2	2345	509	37,34,71,09
945.967	11	SKETCH	long	4	816	1	5	5	1766	78,22,34,47
965.967	11	FLEET	omit	3	1864	1	2	2	1934	69,40,46,30
985.966	11	LENS	short	4	1168	1	3	3	1654	16,32,50,40
1005.966	11	POWDER	lure	1	1049	1	2	2345	991	18,34,71,37
